start_time,away_team,away_team_score,home_team,home_team_score
1951-11-01 05:00:00+00:00,FORT WAYNE PISTONS,75,SYRACUSE NATIONALS,90
1951-11-01 05:00:00+00:00,BALTIMORE BULLETS,97,ROCHESTER ROYALS,101
1951-11-03 05:00:00+00:00,NEW YORK KNICKS,68,MILWAUKEE HAWKS,66
1951-11-03 05:00:00+00:00,FORT WAYNE PISTONS,69,PHILADELPHIA WARRIORS,70
1951-11-03 05:00:00+00:00,MINNEAPOLIS LAKERS,93,ROCHESTER ROYALS,74
1951-11-03 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,90,BALTIMORE BULLETS,86
1951-11-04 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,65,BOSTON CELTICS,97
1951-11-04 05:00:00+00:00,NEW YORK KNICKS,75,FORT WAYNE PISTONS,84
1951-11-04 05:00:00+00:00,MINNEAPOLIS LAKERS,67,SYRACUSE NATIONALS,98
1951-11-05 05:00:00+00:00,PHILADELPHIA WARRIORS,90,BALTIMORE BULLETS,96
1951-11-06 05:00:00+00:00,NEW YORK KNICKS,83,INDIANAPOLIS OLYMPIANS,73
1951-11-06 05:00:00+00:00,FORT WAYNE PISTONS,62,MILWAUKEE HAWKS,65
1951-11-09 05:00:00+00:00,FORT WAYNE PISTONS,77,INDIANAPOLIS OLYMPIANS,92
1951-11-09 05:00:00+00:00,MINNEAPOLIS LAKERS,86,PHILADELPHIA WARRIORS,98
1951-11-10 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,89,ROCHESTER ROYALS,100
1951-11-10 05:00:00+00:00,MINNEAPOLIS LAKERS,89,NEW YORK KNICKS,73
1951-11-10 05:00:00+00:00,SYRACUSE NATIONALS,82,BALTIMORE BULLETS,91
1951-11-10 05:00:00+00:00,PHILADELPHIA WARRIORS,69,BOSTON CELTICS,83
1951-11-11 05:00:00+00:00,MINNEAPOLIS LAKERS,72,BOSTON CELTICS,77
1951-11-11 05:00:00+00:00,MILWAUKEE HAWKS,59,FORT WAYNE PISTONS,74
1951-11-11 05:00:00+00:00,NEW YORK KNICKS,78,ROCHESTER ROYALS,80
1951-11-11 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,79,SYRACUSE NATIONALS,93
1951-11-12 05:00:00+00:00,MINNEAPOLIS LAKERS,90,BALTIMORE BULLETS,80
1951-11-13 05:00:00+00:00,ROCHESTER ROYALS,91,MILWAUKEE HAWKS,75
1951-11-13 05:00:00+00:00,NEW YORK KNICKS,85,PHILADELPHIA WARRIORS,82
1951-11-13 05:00:00+00:00,MINNEAPOLIS LAKERS,77,INDIANAPOLIS OLYMPIANS,71
1951-11-14 05:00:00+00:00,FORT WAYNE PISTONS,91,BOSTON CELTICS,98
1951-11-15 05:00:00+00:00,BOSTON CELTICS,95,SYRACUSE NATIONALS,97
1951-11-16 05:00:00+00:00,MILWAUKEE HAWKS,78,INDIANAPOLIS OLYMPIANS,68
1951-11-16 05:00:00+00:00,SYRACUSE NATIONALS,97,PHILADELPHIA WARRIORS,90
1951-11-17 05:00:00+00:00,PHILADELPHIA WARRIORS,72,ROCHESTER ROYALS,86
1951-11-17 05:00:00+00:00,SYRACUSE NATIONALS,79,NEW YORK KNICKS,72
1951-11-17 05:00:00+00:00,FORT WAYNE PISTONS,64,MINNEAPOLIS LAKERS,68
1951-11-17 05:00:00+00:00,BOSTON CELTICS,88,BALTIMORE BULLETS,75
1951-11-17 05:00:00+00:00,MILWAUKEE HAWKS,58,INDIANAPOLIS OLYMPIANS,68
1951-11-18 05:00:00+00:00,NEW YORK KNICKS,93,BOSTON CELTICS,92
1951-11-18 05:00:00+00:00,ROCHESTER ROYALS,76,FORT WAYNE PISTONS,71
1951-11-18 05:00:00+00:00,BALTIMORE BULLETS,68,SYRACUSE NATIONALS,71
1951-11-19 05:00:00+00:00,MILWAUKEE HAWKS,70,BALTIMORE BULLETS,71
1951-11-20 05:00:00+00:00,NEW YORK KNICKS,88,BALTIMORE BULLETS,86
1951-11-20 05:00:00+00:00,ROCHESTER ROYALS,65,INDIANAPOLIS OLYMPIANS,69
1951-11-20 05:00:00+00:00,MILWAUKEE HAWKS,64,PHILADELPHIA WARRIORS,80
1951-11-22 05:00:00+00:00,MILWAUKEE HAWKS,72,BOSTON CELTICS,103
1951-11-22 05:00:00+00:00,SYRACUSE NATIONALS,96,FORT WAYNE PISTONS,72
1951-11-22 05:00:00+00:00,ROCHESTER ROYALS,65,MINNEAPOLIS LAKERS,70
1951-11-22 05:00:00+00:00,PHILADELPHIA WARRIORS,88,NEW YORK KNICKS,102
1951-11-23 05:00:00+00:00,SYRACUSE NATIONALS,68,INDIANAPOLIS OLYMPIANS,82
1951-11-23 05:00:00+00:00,BOSTON CELTICS,102,PHILADELPHIA WARRIORS,100
1951-11-24 05:00:00+00:00,FORT WAYNE PISTONS,63,ROCHESTER ROYALS,74
1951-11-24 05:00:00+00:00,MINNEAPOLIS LAKERS,72,MILWAUKEE HAWKS,59
1951-11-24 05:00:00+00:00,BOSTON CELTICS,70,NEW YORK KNICKS,68
1951-11-24 05:00:00+00:00,PHILADELPHIA WARRIORS,74,BALTIMORE BULLETS,81
1951-11-25 05:00:00+00:00,PHILADELPHIA WARRIORS,85,BOSTON CELTICS,103
1951-11-25 05:00:00+00:00,BALTIMORE BULLETS,66,FORT WAYNE PISTONS,83
1951-11-25 05:00:00+00:00,ROCHESTER ROYALS,73,MILWAUKEE HAWKS,75
1951-11-25 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,73,MINNEAPOLIS LAKERS,82
1951-11-25 05:00:00+00:00,NEW YORK KNICKS,73,SYRACUSE NATIONALS,100
1951-11-27 05:00:00+00:00,NEW YORK KNICKS,81,PHILADELPHIA WARRIORS,83
1951-11-27 05:00:00+00:00,MILWAUKEE HAWKS,73,ROCHESTER ROYALS,77
1951-11-28 05:00:00+00:00,BOSTON CELTICS,76,MINNEAPOLIS LAKERS,90
1951-11-29 05:00:00+00:00,MILWAUKEE HAWKS,64,BALTIMORE BULLETS,77
1951-11-29 05:00:00+00:00,ROCHESTER ROYALS,78,NEW YORK KNICKS,74
1951-11-29 05:00:00+00:00,FORT WAYNE PISTONS,78,SYRACUSE NATIONALS,82
1951-11-30 05:00:00+00:00,BOSTON CELTICS,87,INDIANAPOLIS OLYMPIANS,92
1951-11-30 05:00:00+00:00,SYRACUSE NATIONALS,75,PHILADELPHIA WARRIORS,82
1951-12-01 05:00:00+00:00,FORT WAYNE PISTONS,69,MINNEAPOLIS LAKERS,89
1951-12-01 05:00:00+00:00,NEW YORK KNICKS,82,BALTIMORE BULLETS,84
1951-12-01 05:00:00+00:00,MILWAUKEE HAWKS,66,ROCHESTER ROYALS,71
1951-12-02 05:00:00+00:00,BALTIMORE BULLETS,82,BOSTON CELTICS,103
1951-12-02 05:00:00+00:00,MINNEAPOLIS LAKERS,61,FORT WAYNE PISTONS,63
1951-12-02 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,80,MILWAUKEE HAWKS,71
1951-12-02 05:00:00+00:00,PHILADELPHIA WARRIORS,72,NEW YORK KNICKS,86
1951-12-02 05:00:00+00:00,ROCHESTER ROYALS,81,SYRACUSE NATIONALS,79
1951-12-03 05:00:00+00:00,ROCHESTER ROYALS,77,BALTIMORE BULLETS,70
