start_time,away_team,away_team_score,home_team,home_team_score
1950-10-31 05:00:00+00:00,WASHINGTON CAPITOLS,70,ROCHESTER ROYALS,78
1950-11-01 05:00:00+00:00,BOSTON CELTICS,84,FORT WAYNE PISTONS,107
1950-11-01 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,84,WASHINGTON CAPITOLS,100
1950-11-01 05:00:00+00:00,MINNEAPOLIS LAKERS,71,BALTIMORE BULLETS,81
1950-11-02 05:00:00+00:00,FORT WAYNE PISTONS,77,SYRACUSE NATIONALS,92
1950-11-02 05:00:00+00:00,BOSTON CELTICS,65,TRI-CITIES BLACKHAWKS,79
1950-11-04 05:00:00+00:00,MINNEAPOLIS LAKERS,91,WASHINGTON CAPITOLS,85
1950-11-04 05:00:00+00:00,NEW YORK KNICKS,76,TRI-CITIES BLACKHAWKS,87
1950-11-04 05:00:00+00:00,FORT WAYNE PISTONS,71,ROCHESTER ROYALS,95
1950-11-04 05:00:00+00:00,BOSTON CELTICS,68,PHILADELPHIA WARRIORS,77
1950-11-04 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,86,BALTIMORE BULLETS,102
1950-11-05 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,63,FORT WAYNE PISTONS,68
1950-11-05 05:00:00+00:00,MINNEAPOLIS LAKERS,87,SYRACUSE NATIONALS,90
1950-11-05 05:00:00+00:00,NEW YORK KNICKS,95,TRI-CITIES BLACKHAWKS,98
1950-11-07 05:00:00+00:00,BOSTON CELTICS,83,BALTIMORE BULLETS,64
1950-11-07 05:00:00+00:00,NEW YORK KNICKS,73,INDIANAPOLIS OLYMPIANS,86
1950-11-08 05:00:00+00:00,TRI-CITIES BLACKHAWKS,79,FORT WAYNE PISTONS,87
1950-11-08 05:00:00+00:00,BALTIMORE BULLETS,81,WASHINGTON CAPITOLS,86
1950-11-09 05:00:00+00:00,FORT WAYNE PISTONS,72,PHILADELPHIA WARRIORS,87
1950-11-09 05:00:00+00:00,TRI-CITIES BLACKHAWKS,70,SYRACUSE NATIONALS,89
1950-11-09 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,85,NEW YORK KNICKS,73
1950-11-09 05:00:00+00:00,MINNEAPOLIS LAKERS,71,BOSTON CELTICS,76
1950-11-11 05:00:00+00:00,FORT WAYNE PISTONS,77,BALTIMORE BULLETS,85
1950-11-11 05:00:00+00:00,SYRACUSE NATIONALS,72,NEW YORK KNICKS,74
1950-11-11 05:00:00+00:00,TRI-CITIES BLACKHAWKS,77,ROCHESTER ROYALS,86
1950-11-11 05:00:00+00:00,BOSTON CELTICS,78,WASHINGTON CAPITOLS,77
1950-11-12 05:00:00+00:00,ROCHESTER ROYALS,79,TRI-CITIES BLACKHAWKS,82
1950-11-12 05:00:00+00:00,BALTIMORE BULLETS,57,SYRACUSE NATIONALS,83
1950-11-12 05:00:00+00:00,PHILADELPHIA WARRIORS,70,MINNEAPOLIS LAKERS,83
1950-11-12 05:00:00+00:00,WASHINGTON CAPITOLS,73,FORT WAYNE PISTONS,87
1950-11-12 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,75,BOSTON CELTICS,78
1950-11-14 05:00:00+00:00,SYRACUSE NATIONALS,78,INDIANAPOLIS OLYMPIANS,108
1950-11-14 05:00:00+00:00,BALTIMORE BULLETS,72,PHILADELPHIA WARRIORS,84
1950-11-14 05:00:00+00:00,NEW YORK KNICKS,92,WASHINGTON CAPITOLS,87
1950-11-15 05:00:00+00:00,PHILADELPHIA WARRIORS,72,BALTIMORE BULLETS,80
1950-11-15 05:00:00+00:00,WASHINGTON CAPITOLS,74,BOSTON CELTICS,79
1950-11-15 05:00:00+00:00,ROCHESTER ROYALS,85,FORT WAYNE PISTONS,89
1950-11-15 05:00:00+00:00,SYRACUSE NATIONALS,71,MINNEAPOLIS LAKERS,72
1950-11-16 05:00:00+00:00,SYRACUSE NATIONALS,75,TRI-CITIES BLACKHAWKS,79
1950-11-16 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,67,PHILADELPHIA WARRIORS,84
1950-11-16 05:00:00+00:00,BALTIMORE BULLETS,73,BOSTON CELTICS,82
1950-11-16 05:00:00+00:00,MINNEAPOLIS LAKERS,69,NEW YORK KNICKS,71
1950-11-18 05:00:00+00:00,TRI-CITIES BLACKHAWKS,67,INDIANAPOLIS OLYMPIANS,74
1950-11-18 05:00:00+00:00,PHILADELPHIA WARRIORS,87,NEW YORK KNICKS,93
1950-11-18 05:00:00+00:00,MINNEAPOLIS LAKERS,86,ROCHESTER ROYALS,77
1950-11-18 05:00:00+00:00,FORT WAYNE PISTONS,75,WASHINGTON CAPITOLS,118
1950-11-18 05:00:00+00:00,BOSTON CELTICS,80,BALTIMORE BULLETS,76
1950-11-19 05:00:00+00:00,WASHINGTON CAPITOLS,81,BOSTON CELTICS,75
1950-11-19 05:00:00+00:00,BALTIMORE BULLETS,80,FORT WAYNE PISTONS,84
1950-11-19 05:00:00+00:00,ROCHESTER ROYALS,77,MINNEAPOLIS LAKERS,90
1950-11-19 05:00:00+00:00,NEW YORK KNICKS,83,SYRACUSE NATIONALS,96
1950-11-19 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,81,TRI-CITIES BLACKHAWKS,104
1950-11-21 05:00:00+00:00,TRI-CITIES BLACKHAWKS,76,BALTIMORE BULLETS,65
1950-11-21 05:00:00+00:00,WASHINGTON CAPITOLS,78,PHILADELPHIA WARRIORS,83
1950-11-21 05:00:00+00:00,BOSTON CELTICS,89,NEW YORK KNICKS,83
1950-11-21 05:00:00+00:00,ROCHESTER ROYALS,79,INDIANAPOLIS OLYMPIANS,91
1950-11-22 05:00:00+00:00,NEW YORK KNICKS,87,BALTIMORE BULLETS,73
1950-11-22 05:00:00+00:00,FORT WAYNE PISTONS,19,MINNEAPOLIS LAKERS,18
1950-11-22 05:00:00+00:00,TRI-CITIES BLACKHAWKS,60,WASHINGTON CAPITOLS,65
1950-11-23 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,92,SYRACUSE NATIONALS,85
1950-11-23 05:00:00+00:00,ROCHESTER ROYALS,71,PHILADELPHIA WARRIORS,89
1950-11-23 05:00:00+00:00,WASHINGTON CAPITOLS,78,NEW YORK KNICKS,109
1950-11-23 05:00:00+00:00,TRI-CITIES BLACKHAWKS,78,BOSTON CELTICS,94
1950-11-23 05:00:00+00:00,MINNEAPOLIS LAKERS,63,FORT WAYNE PISTONS,73
1950-11-25 05:00:00+00:00,BALTIMORE BULLETS,81,INDIANAPOLIS OLYMPIANS,92
1950-11-25 05:00:00+00:00,BOSTON CELTICS,82,ROCHESTER ROYALS,90
1950-11-25 05:00:00+00:00,FORT WAYNE PISTONS,71,TRI-CITIES BLACKHAWKS,85
1950-11-25 05:00:00+00:00,SYRACUSE NATIONALS,77,WASHINGTON CAPITOLS,67
1950-11-26 05:00:00+00:00,NEW YORK KNICKS,90,BOSTON CELTICS,93
1950-11-26 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,70,FORT WAYNE PISTONS,79
1950-11-26 05:00:00+00:00,BALTIMORE BULLETS,71,MINNEAPOLIS LAKERS,85
1950-11-26 05:00:00+00:00,WASHINGTON CAPITOLS,76,SYRACUSE NATIONALS,90
1950-11-28 05:00:00+00:00,PHILADELPHIA WARRIORS,76,BOSTON CELTICS,74
1950-11-28 05:00:00+00:00,BALTIMORE BULLETS,73,TRI-CITIES BLACKHAWKS,65
1950-11-28 05:00:00+00:00,WASHINGTON CAPITOLS,71,ROCHESTER ROYALS,87
1950-11-28 05:00:00+00:00,SYRACUSE NATIONALS,84,NEW YORK KNICKS,108
1950-11-28 05:00:00+00:00,FORT WAYNE PISTONS,66,INDIANAPOLIS OLYMPIANS,90
1950-11-29 05:00:00+00:00,TRI-CITIES BLACKHAWKS,66,MINNEAPOLIS LAKERS,85
1950-11-29 05:00:00+00:00,ROCHESTER ROYALS,72,WASHINGTON CAPITOLS,71
1950-11-30 05:00:00+00:00,WASHINGTON CAPITOLS,85,BOSTON CELTICS,81
1950-11-30 05:00:00+00:00,ROCHESTER ROYALS,74,NEW YORK KNICKS,79
1950-11-30 05:00:00+00:00,SYRACUSE NATIONALS,78,PHILADELPHIA WARRIORS,81
1950-12-01 05:00:00+00:00,MINNEAPOLIS LAKERS,65,INDIANAPOLIS OLYMPIANS,66
1950-12-02 05:00:00+00:00,SYRACUSE NATIONALS,99,BALTIMORE BULLETS,96
1950-12-02 05:00:00+00:00,BOSTON CELTICS,83,WASHINGTON CAPITOLS,75
1950-12-02 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,72,ROCHESTER ROYALS,94
1950-12-03 05:00:00+00:00,BALTIMORE BULLETS,85,BOSTON CELTICS,97
1950-12-03 05:00:00+00:00,ROCHESTER ROYALS,79,FORT WAYNE PISTONS,80
1950-12-03 05:00:00+00:00,PHILADELPHIA WARRIORS,83,MINNEAPOLIS LAKERS,95
1950-12-03 05:00:00+00:00,INDIANAPOLIS OLYMPIANS,81,SYRACUSE NATIONALS,84
