start_time,away_team,away_team_score,home_team,home_team_score
1975-10-23 04:00:00+00:00,GOLDEN STATE WARRIORS,89,CLEVELAND CAVALIERS,83
1975-10-23 04:00:00+00:00,LOS ANGELES LAKERS,104,NEW YORK KNICKS,101
1975-10-23 04:00:00+00:00,KANSAS CITY KINGS,95,WASHINGTON BULLETS,107
1975-10-23 04:00:00+00:00,NEW ORLEANS JAZZ,91,ATLANTA HAWKS,109
1975-10-24 04:00:00+00:00,HOUSTON ROCKETS,94,BOSTON CELTICS,109
1975-10-24 04:00:00+00:00,PHILADELPHIA 76ERS,110,CHICAGO BULLS,103
1975-10-24 04:00:00+00:00,DETROIT PISTONS,106,NEW ORLEANS JAZZ,114
1975-10-24 04:00:00+00:00,PORTLAND TRAIL BLAZERS,97,SEATTLE SUPERSONICS,105
1975-10-25 04:00:00+00:00,DETROIT PISTONS,108,ATLANTA HAWKS,102
1975-10-25 04:00:00+00:00,GOLDEN STATE WARRIORS,92,BUFFALO BRAVES,104
1975-10-25 04:00:00+00:00,CHICAGO BULLS,91,MILWAUKEE BUCKS,87
1975-10-25 04:00:00+00:00,CLEVELAND CAVALIERS,91,NEW YORK KNICKS,100
1975-10-25 04:00:00+00:00,PHOENIX SUNS,89,PORTLAND TRAIL BLAZERS,88
1975-10-26 04:00:00+00:00,PHOENIX SUNS,99,SEATTLE SUPERSONICS,113
1975-10-27 02:05:00+00:00,NEW YORK KNICKS,114,NEW ORLEANS JAZZ,125
1975-10-27 05:00:00+00:00,LOS ANGELES LAKERS,104,PHILADELPHIA 76ERS,117
1975-10-28 05:00:00+00:00,HOUSTON ROCKETS,108,BUFFALO BRAVES,124
1975-10-28 05:00:00+00:00,SEATTLE SUPERSONICS,90,CHICAGO BULLS,101
1975-10-28 05:00:00+00:00,LOS ANGELES LAKERS,99,MILWAUKEE BUCKS,92
1975-10-28 05:00:00+00:00,PORTLAND TRAIL BLAZERS,90,NEW ORLEANS JAZZ,99
1975-10-28 05:00:00+00:00,GOLDEN STATE WARRIORS,111,NEW YORK KNICKS,94
