start_time,away_team,away_team_score,home_team,home_team_score
1972-10-10 04:00:00+00:00,PHILADELPHIA 76ERS,89,CHICAGO BULLS,95
1972-10-10 04:00:00+00:00,ATLANTA HAWKS,120,BUFFALO BRAVES,109
1972-10-10 04:00:00+00:00,SEATTLE SUPERSONICS,89,NEW YORK KNICKS,113
1972-10-10 04:00:00+00:00,BALTIMORE BULLETS,102,CLEVELAND CAVALIERS,90
1972-10-11 04:00:00+00:00,BOSTON CELTICS,121,DETROIT PISTONS,108
1972-10-11 04:00:00+00:00,SEATTLE SUPERSONICS,105,PHILADELPHIA 76ERS,100
1972-10-11 04:00:00+00:00,LOS ANGELES LAKERS,129,KANSAS CITY-OMAHA KINGS,94
1972-10-13 04:00:00+00:00,ATLANTA HAWKS,98,BALTIMORE BULLETS,115
1972-10-13 04:00:00+00:00,LOS ANGELES LAKERS,104,BOSTON CELTICS,112
1972-10-13 04:00:00+00:00,HOUSTON ROCKETS,109,CLEVELAND CAVALIERS,108
1972-10-13 04:00:00+00:00,CHICAGO BULLS,91,DETROIT PISTONS,100
1972-10-13 04:00:00+00:00,BUFFALO BRAVES,104,PHILADELPHIA 76ERS,101
1972-10-13 04:00:00+00:00,MILWAUKEE BUCKS,117,PHOENIX SUNS,105
1972-10-13 04:00:00+00:00,SEATTLE SUPERSONICS,92,PORTLAND TRAIL BLAZERS,84
1972-10-14 04:00:00+00:00,HOUSTON ROCKETS,121,BUFFALO BRAVES,113
1972-10-14 04:00:00+00:00,BOSTON CELTICS,96,CHICAGO BULLS,88
1972-10-14 04:00:00+00:00,MILWAUKEE BUCKS,81,GOLDEN STATE WARRIORS,77
1972-10-14 04:00:00+00:00,DETROIT PISTONS,101,KANSAS CITY-OMAHA KINGS,113
1972-10-14 04:00:00+00:00,LOS ANGELES LAKERS,100,NEW YORK KNICKS,125
1972-10-14 04:00:00+00:00,PHOENIX SUNS,124,PORTLAND TRAIL BLAZERS,120
1972-10-15 04:00:00+00:00,BALTIMORE BULLETS,98,PHOENIX SUNS,107
1972-10-15 04:00:00+00:00,LOS ANGELES LAKERS,95,CLEVELAND CAVALIERS,83
1972-10-15 04:00:00+00:00,NEW YORK KNICKS,101,ATLANTA HAWKS,109
1972-10-16 04:00:00+00:00,BALTIMORE BULLETS,96,GOLDEN STATE WARRIORS,97
1972-10-17 04:00:00+00:00,BOSTON CELTICS,119,ATLANTA HAWKS,115
1972-10-17 04:00:00+00:00,PHILADELPHIA 76ERS,114,BUFFALO BRAVES,122
1972-10-17 04:00:00+00:00,HOUSTON ROCKETS,95,NEW YORK KNICKS,103
1972-10-17 04:00:00+00:00,MILWAUKEE BUCKS,108,PORTLAND TRAIL BLAZERS,111
1972-10-19 04:00:00+00:00,BALTIMORE BULLETS,94,KANSAS CITY-OMAHA KINGS,83
1972-10-20 04:00:00+00:00,NEW YORK KNICKS,92,CLEVELAND CAVALIERS,89
1972-10-20 04:00:00+00:00,GOLDEN STATE WARRIORS,101,SEATTLE SUPERSONICS,92
1972-10-20 04:00:00+00:00,DETROIT PISTONS,86,MILWAUKEE BUCKS,109
1972-10-20 04:00:00+00:00,PORTLAND TRAIL BLAZERS,104,LOS ANGELES LAKERS,126
1972-10-20 04:00:00+00:00,ATLANTA HAWKS,108,HOUSTON ROCKETS,120
1972-10-20 04:00:00+00:00,BUFFALO BRAVES,118,BOSTON CELTICS,126
1972-10-21 04:00:00+00:00,GOLDEN STATE WARRIORS,104,PORTLAND TRAIL BLAZERS,97
1972-10-21 04:00:00+00:00,SEATTLE SUPERSONICS,117,PHOENIX SUNS,129
1972-10-21 04:00:00+00:00,PHILADELPHIA 76ERS,88,NEW YORK KNICKS,111
1972-10-21 04:00:00+00:00,CHICAGO BULLS,130,HOUSTON ROCKETS,97
1972-10-21 04:00:00+00:00,CLEVELAND CAVALIERS,96,DETROIT PISTONS,103
1972-10-21 04:00:00+00:00,ATLANTA HAWKS,101,KANSAS CITY-OMAHA KINGS,108
1972-10-21 04:00:00+00:00,BOSTON CELTICS,104,BALTIMORE BULLETS,101
1972-10-21 04:00:00+00:00,MILWAUKEE BUCKS,91,BUFFALO BRAVES,63
1972-10-22 04:00:00+00:00,MILWAUKEE BUCKS,104,CLEVELAND CAVALIERS,84
1972-10-22 04:00:00+00:00,CHICAGO BULLS,99,LOS ANGELES LAKERS,104
1972-10-22 04:00:00+00:00,PORTLAND TRAIL BLAZERS,119,SEATTLE SUPERSONICS,120
1972-10-23 04:00:00+00:00,PHILADELPHIA 76ERS,85,BOSTON CELTICS,105
1972-10-24 04:00:00+00:00,BOSTON CELTICS,105,BUFFALO BRAVES,97
1972-10-24 04:00:00+00:00,LOS ANGELES LAKERS,114,KANSAS CITY-OMAHA KINGS,94
1972-10-24 04:00:00+00:00,CLEVELAND CAVALIERS,90,NEW YORK KNICKS,123
1972-10-24 04:00:00+00:00,CHICAGO BULLS,107,PHOENIX SUNS,106
1972-10-24 04:00:00+00:00,ATLANTA HAWKS,118,PORTLAND TRAIL BLAZERS,110
1972-10-25 04:00:00+00:00,BALTIMORE BULLETS,115,DETROIT PISTONS,105
1972-10-25 04:00:00+00:00,LOS ANGELES LAKERS,112,HOUSTON ROCKETS,107
1972-10-25 04:00:00+00:00,BUFFALO BRAVES,92,MILWAUKEE BUCKS,109
1972-10-25 04:00:00+00:00,CLEVELAND CAVALIERS,113,PHILADELPHIA 76ERS,108
1972-10-25 04:00:00+00:00,ATLANTA HAWKS,118,SEATTLE SUPERSONICS,115
1972-10-26 04:00:00+00:00,MILWAUKEE BUCKS,114,KANSAS CITY-OMAHA KINGS,107
1972-10-26 04:00:00+00:00,CHICAGO BULLS,94,GOLDEN STATE WARRIORS,93
1972-10-27 04:00:00+00:00,NEW YORK KNICKS,92,BALTIMORE BULLETS,88
1972-10-27 04:00:00+00:00,CLEVELAND CAVALIERS,97,BOSTON CELTICS,123
1972-10-27 04:00:00+00:00,DETROIT PISTONS,118,HOUSTON ROCKETS,130
1972-10-27 04:00:00+00:00,GOLDEN STATE WARRIORS,119,LOS ANGELES LAKERS,91
1972-10-27 04:00:00+00:00,CHICAGO BULLS,118,PORTLAND TRAIL BLAZERS,95
1972-10-27 04:00:00+00:00,PHOENIX SUNS,115,SEATTLE SUPERSONICS,120
1972-10-28 04:00:00+00:00,BALTIMORE BULLETS,90,NEW YORK KNICKS,94
1972-10-28 04:00:00+00:00,MILWAUKEE BUCKS,96,PHILADELPHIA 76ERS,92
1972-10-28 04:00:00+00:00,ATLANTA HAWKS,107,GOLDEN STATE WARRIORS,122
1972-10-28 04:00:00+00:00,KANSAS CITY-OMAHA KINGS,113,BUFFALO BRAVES,102
1972-10-29 04:00:00+00:00,KANSAS CITY-OMAHA KINGS,97,CLEVELAND CAVALIERS,115
1972-10-29 04:00:00+00:00,PHOENIX SUNS,123,LOS ANGELES LAKERS,133
1972-10-29 04:00:00+00:00,DETROIT PISTONS,119,PORTLAND TRAIL BLAZERS,111
1972-10-29 04:00:00+00:00,CHICAGO BULLS,95,SEATTLE SUPERSONICS,94
1972-10-31 05:00:00+00:00,HOUSTON ROCKETS,106,ATLANTA HAWKS,105
1972-10-31 05:00:00+00:00,KANSAS CITY-OMAHA KINGS,95,CHICAGO BULLS,104
1972-10-31 05:00:00+00:00,PHILADELPHIA 76ERS,116,CLEVELAND CAVALIERS,126
1972-10-31 05:00:00+00:00,DETROIT PISTONS,104,GOLDEN STATE WARRIORS,112
1972-11-01 05:00:00+00:00,NEW YORK KNICKS,122,KANSAS CITY-OMAHA KINGS,85
1972-11-01 05:00:00+00:00,HOUSTON ROCKETS,108,PHILADELPHIA 76ERS,104
1972-11-01 05:00:00+00:00,DETROIT PISTONS,116,SEATTLE SUPERSONICS,106
1972-11-02 05:00:00+00:00,PORTLAND TRAIL BLAZERS,104,GOLDEN STATE WARRIORS,118
1972-11-03 05:00:00+00:00,BALTIMORE BULLETS,96,BOSTON CELTICS,109
1972-11-03 05:00:00+00:00,PHOENIX SUNS,100,CHICAGO BULLS,115
1972-11-03 05:00:00+00:00,BUFFALO BRAVES,97,CLEVELAND CAVALIERS,124
1972-11-03 05:00:00+00:00,ATLANTA HAWKS,114,HOUSTON ROCKETS,108
1972-11-03 05:00:00+00:00,DETROIT PISTONS,107,LOS ANGELES LAKERS,116
1972-11-03 05:00:00+00:00,KANSAS CITY-OMAHA KINGS,114,PHILADELPHIA 76ERS,101
1972-11-03 05:00:00+00:00,NEW YORK KNICKS,105,SEATTLE SUPERSONICS,80
1972-11-04 05:00:00+00:00,PHILADELPHIA 76ERS,120,ATLANTA HAWKS,128
1972-11-04 05:00:00+00:00,CLEVELAND CAVALIERS,98,BALTIMORE BULLETS,108
1972-11-04 05:00:00+00:00,KANSAS CITY-OMAHA KINGS,118,BOSTON CELTICS,107
1972-11-04 05:00:00+00:00,CHICAGO BULLS,99,BUFFALO BRAVES,101
1972-11-04 05:00:00+00:00,HOUSTON ROCKETS,118,DETROIT PISTONS,108
1972-11-04 05:00:00+00:00,NEW YORK KNICKS,104,GOLDEN STATE WARRIORS,127
1972-11-04 05:00:00+00:00,PHOENIX SUNS,105,MILWAUKEE BUCKS,104
