start_time,away_team,away_team_score,home_team,home_team_score
1990-11-02 05:00:00+00:00,ORLANDO MAGIC,111,ATLANTA HAWKS,115
1990-11-02 05:00:00+00:00,CLEVELAND CAVALIERS,101,BOSTON CELTICS,125
1990-11-02 05:00:00+00:00,NEW YORK KNICKS,134,CHARLOTTE HORNETS,130
1990-11-02 05:00:00+00:00,PHILADELPHIA 76ERS,124,CHICAGO BULLS,116
1990-11-02 05:00:00+00:00,GOLDEN STATE WARRIORS,162,DENVER NUGGETS,158
1990-11-02 05:00:00+00:00,MILWAUKEE BUCKS,104,DETROIT PISTONS,115
1990-11-02 05:00:00+00:00,NEW JERSEY NETS,81,INDIANA PACERS,100
1990-11-02 05:00:00+00:00,SACRAMENTO KINGS,80,LOS ANGELES CLIPPERS,90
1990-11-02 05:00:00+00:00,WASHINGTON BULLETS,95,MIAMI HEAT,119
1990-11-02 05:00:00+00:00,DALLAS MAVERICKS,85,MINNESOTA TIMBERWOLVES,98
1990-11-02 05:00:00+00:00,HOUSTON ROCKETS,89,PORTLAND TRAIL BLAZERS,90
1990-11-02 05:00:00+00:00,PHOENIX SUNS,119,UTAH JAZZ,96
1990-11-03 05:00:00+00:00,INDIANA PACERS,120,ATLANTA HAWKS,121
1990-11-03 05:00:00+00:00,DENVER NUGGETS,110,DALLAS MAVERICKS,140
1990-11-03 05:00:00+00:00,CLEVELAND CAVALIERS,97,DETROIT PISTONS,106
1990-11-03 05:00:00+00:00,MINNESOTA TIMBERWOLVES,93,MILWAUKEE BUCKS,111
1990-11-03 05:00:00+00:00,BOSTON CELTICS,106,NEW YORK KNICKS,103
1990-11-03 05:00:00+00:00,CHARLOTTE HORNETS,104,ORLANDO MAGIC,97
1990-11-03 05:00:00+00:00,NEW JERSEY NETS,110,PHILADELPHIA 76ERS,112
1990-11-03 05:00:00+00:00,UTAH JAZZ,102,PHOENIX SUNS,101
1990-11-03 05:00:00+00:00,PORTLAND TRAIL BLAZERS,95,SACRAMENTO KINGS,93
1990-11-03 05:00:00+00:00,LOS ANGELES LAKERS,99,SAN ANTONIO SPURS,110
1990-11-03 05:00:00+00:00,HOUSTON ROCKETS,106,SEATTLE SUPERSONICS,118
1990-11-03 05:00:00+00:00,CHICAGO BULLS,102,WASHINGTON BULLETS,103
1990-11-04 05:00:00+00:00,GOLDEN STATE WARRIORS,107,LOS ANGELES CLIPPERS,109
1990-11-06 05:00:00+00:00,NEW JERSEY NETS,105,CHARLOTTE HORNETS,113
1990-11-06 05:00:00+00:00,BOSTON CELTICS,110,CHICAGO BULLS,108
1990-11-06 05:00:00+00:00,LOS ANGELES CLIPPERS,109,GOLDEN STATE WARRIORS,130
1990-11-06 05:00:00+00:00,DENVER NUGGETS,135,HOUSTON ROCKETS,145
1990-11-06 05:00:00+00:00,MINNESOTA TIMBERWOLVES,96,INDIANA PACERS,98
1990-11-06 05:00:00+00:00,PORTLAND TRAIL BLAZERS,125,LOS ANGELES LAKERS,123
1990-11-06 05:00:00+00:00,MILWAUKEE BUCKS,106,MIAMI HEAT,94
1990-11-06 05:00:00+00:00,DALLAS MAVERICKS,96,NEW YORK KNICKS,91
1990-11-06 05:00:00+00:00,CLEVELAND CAVALIERS,102,ORLANDO MAGIC,95
1990-11-06 05:00:00+00:00,ATLANTA HAWKS,102,SACRAMENTO KINGS,85
1990-11-06 05:00:00+00:00,DETROIT PISTONS,92,SEATTLE SUPERSONICS,100
1990-11-07 05:00:00+00:00,CHARLOTTE HORNETS,89,CLEVELAND CAVALIERS,100
1990-11-07 05:00:00+00:00,DETROIT PISTONS,110,LOS ANGELES CLIPPERS,83
1990-11-07 05:00:00+00:00,CHICAGO BULLS,96,MINNESOTA TIMBERWOLVES,91
1990-11-07 05:00:00+00:00,DALLAS MAVERICKS,104,PHILADELPHIA 76ERS,101
1990-11-07 05:00:00+00:00,GOLDEN STATE WARRIORS,119,PHOENIX SUNS,126
1990-11-07 05:00:00+00:00,DENVER NUGGETS,153,SAN ANTONIO SPURS,161
1990-11-08 05:00:00+00:00,ORLANDO MAGIC,99,HOUSTON ROCKETS,103
1990-11-08 05:00:00+00:00,PHILADELPHIA 76ERS,111,MILWAUKEE BUCKS,141
1990-11-08 05:00:00+00:00,MIAMI HEAT,103,NEW JERSEY NETS,114
1990-11-08 05:00:00+00:00,WASHINGTON BULLETS,103,NEW YORK KNICKS,114
1990-11-08 05:00:00+00:00,SAN ANTONIO SPURS,94,UTAH JAZZ,103
1990-11-09 05:00:00+00:00,CHICAGO BULLS,120,BOSTON CELTICS,100
1990-11-09 05:00:00+00:00,ORLANDO MAGIC,99,DALLAS MAVERICKS,111
1990-11-09 05:00:00+00:00,SEATTLE SUPERSONICS,135,DENVER NUGGETS,129
1990-11-09 05:00:00+00:00,ATLANTA HAWKS,128,GOLDEN STATE WARRIORS,143
1990-11-09 05:00:00+00:00,CLEVELAND CAVALIERS,107,INDIANA PACERS,122
1990-11-09 05:00:00+00:00,SACRAMENTO KINGS,86,LOS ANGELES LAKERS,100
1990-11-09 05:00:00+00:00,CHARLOTTE HORNETS,77,MINNESOTA TIMBERWOLVES,106
1990-11-09 05:00:00+00:00,DETROIT PISTONS,101,PORTLAND TRAIL BLAZERS,113
1990-11-09 05:00:00+00:00,MILWAUKEE BUCKS,108,WASHINGTON BULLETS,100
1990-11-10 05:00:00+00:00,CHARLOTTE HORNETS,86,CHICAGO BULLS,105
1990-11-10 05:00:00+00:00,PHILADELPHIA 76ERS,88,CLEVELAND CAVALIERS,104
1990-11-10 05:00:00+00:00,ATLANTA HAWKS,112,LOS ANGELES CLIPPERS,94
1990-11-10 05:00:00+00:00,INDIANA PACERS,105,MIAMI HEAT,120
1990-11-10 05:00:00+00:00,BOSTON CELTICS,105,NEW JERSEY NETS,91
1990-11-10 05:00:00+00:00,DENVER NUGGETS,143,PHOENIX SUNS,173
1990-11-10 05:00:00+00:00,NEW YORK KNICKS,93,SACRAMENTO KINGS,88
1990-11-10 05:00:00+00:00,HOUSTON ROCKETS,110,SAN ANTONIO SPURS,111
1990-11-10 05:00:00+00:00,GOLDEN STATE WARRIORS,117,SEATTLE SUPERSONICS,100
1990-11-11 05:00:00+00:00,UTAH JAZZ,90,HOUSTON ROCKETS,110
1990-11-11 05:00:00+00:00,NEW YORK KNICKS,109,LOS ANGELES LAKERS,103
1990-11-11 05:00:00+00:00,ORLANDO MAGIC,81,MINNESOTA TIMBERWOLVES,108
1990-11-11 05:00:00+00:00,LOS ANGELES CLIPPERS,107,PORTLAND TRAIL BLAZERS,138
1990-11-12 05:00:00+00:00,WASHINGTON BULLETS,97,NEW JERSEY NETS,92
1990-11-13 05:00:00+00:00,CLEVELAND CAVALIERS,121,ATLANTA HAWKS,104
1990-11-13 05:00:00+00:00,WASHINGTON BULLETS,105,CHARLOTTE HORNETS,120
1990-11-13 05:00:00+00:00,MIAMI HEAT,93,DETROIT PISTONS,118
1990-11-13 05:00:00+00:00,SAN ANTONIO SPURS,124,GOLDEN STATE WARRIORS,128
1990-11-13 05:00:00+00:00,MINNESOTA TIMBERWOLVES,88,HOUSTON ROCKETS,90
1990-11-13 05:00:00+00:00,PHILADELPHIA 76ERS,108,INDIANA PACERS,100
1990-11-13 05:00:00+00:00,PHOENIX SUNS,112,LOS ANGELES LAKERS,111
1990-11-13 05:00:00+00:00,BOSTON CELTICS,91,MILWAUKEE BUCKS,119
1990-11-13 05:00:00+00:00,DALLAS MAVERICKS,103,ORLANDO MAGIC,109
1990-11-13 05:00:00+00:00,DENVER NUGGETS,129,PORTLAND TRAIL BLAZERS,155
1990-11-13 05:00:00+00:00,NEW YORK KNICKS,116,SEATTLE SUPERSONICS,110
1990-11-13 05:00:00+00:00,CHICAGO BULLS,84,UTAH JAZZ,82
1990-11-14 05:00:00+00:00,CHARLOTTE HORNETS,126,BOSTON CELTICS,135
1990-11-14 05:00:00+00:00,INDIANA PACERS,95,CLEVELAND CAVALIERS,113
1990-11-14 05:00:00+00:00,PHOENIX SUNS,102,LOS ANGELES CLIPPERS,108
1990-11-14 05:00:00+00:00,DALLAS MAVERICKS,93,MIAMI HEAT,105
1990-11-14 05:00:00+00:00,MILWAUKEE BUCKS,95,NEW JERSEY NETS,112
1990-11-14 05:00:00+00:00,ATLANTA HAWKS,104,PHILADELPHIA 76ERS,112
1990-11-15 05:00:00+00:00,MINNESOTA TIMBERWOLVES,108,DENVER NUGGETS,121
1990-11-15 05:00:00+00:00,CHICAGO BULLS,93,GOLDEN STATE WARRIORS,103
1990-11-15 05:00:00+00:00,LOS ANGELES LAKERS,108,HOUSTON ROCKETS,103
1990-11-15 05:00:00+00:00,UTAH JAZZ,99,ORLANDO MAGIC,102
1990-11-15 05:00:00+00:00,NEW YORK KNICKS,125,PORTLAND TRAIL BLAZERS,141
1990-11-15 05:00:00+00:00,SAN ANTONIO SPURS,122,SACRAMENTO KINGS,93
1990-11-16 05:00:00+00:00,CHARLOTTE HORNETS,119,ATLANTA HAWKS,109
1990-11-16 05:00:00+00:00,UTAH JAZZ,89,BOSTON CELTICS,114
1990-11-16 05:00:00+00:00,MILWAUKEE BUCKS,94,CLEVELAND CAVALIERS,99
1990-11-16 05:00:00+00:00,LOS ANGELES LAKERS,86,DALLAS MAVERICKS,99
1990-11-16 05:00:00+00:00,MIAMI HEAT,80,INDIANA PACERS,106
1990-11-16 05:00:00+00:00,DETROIT PISTONS,105,NEW JERSEY NETS,96
1990-11-16 05:00:00+00:00,WASHINGTON BULLETS,102,PHILADELPHIA 76ERS,115
1990-11-16 05:00:00+00:00,LOS ANGELES CLIPPERS,110,PHOENIX SUNS,121
1990-11-17 05:00:00+00:00,CLEVELAND CAVALIERS,100,CHARLOTTE HORNETS,112
1990-11-17 05:00:00+00:00,PORTLAND TRAIL BLAZERS,143,DENVER NUGGETS,112
1990-11-17 05:00:00+00:00,ATLANTA HAWKS,83,DETROIT PISTONS,91
1990-11-17 05:00:00+00:00,SACRAMENTO KINGS,111,GOLDEN STATE WARRIORS,112
1990-11-17 05:00:00+00:00,MIAMI HEAT,100,HOUSTON ROCKETS,117
1990-11-17 05:00:00+00:00,NEW JERSEY NETS,99,MILWAUKEE BUCKS,111
1990-11-17 05:00:00+00:00,PHILADELPHIA 76ERS,79,NEW YORK KNICKS,106
1990-11-17 05:00:00+00:00,INDIANA PACERS,89,ORLANDO MAGIC,96
1990-11-17 05:00:00+00:00,PHOENIX SUNS,114,SAN ANTONIO SPURS,128
1990-11-17 05:00:00+00:00,CHICAGO BULLS,116,SEATTLE SUPERSONICS,95
1990-11-17 05:00:00+00:00,BOSTON CELTICS,102,WASHINGTON BULLETS,90
1990-11-18 05:00:00+00:00,SEATTLE SUPERSONICS,65,LOS ANGELES CLIPPERS,78
1990-11-18 05:00:00+00:00,GOLDEN STATE WARRIORS,93,LOS ANGELES LAKERS,115
1990-11-18 05:00:00+00:00,UTAH JAZZ,103,MINNESOTA TIMBERWOLVES,94
