start_time,away_team,away_team_score,home_team,home_team_score
1956-10-27 04:00:00+00:00,BOSTON CELTICS,115,NEW YORK KNICKS,112
1956-10-27 04:00:00+00:00,SYRACUSE NATIONALS,109,PHILADELPHIA WARRIORS,103
1956-10-27 04:00:00+00:00,FORT WAYNE PISTONS,85,ROCHESTER ROYALS,88
1956-10-27 04:00:00+00:00,MINNEAPOLIS LAKERS,75,ST. LOUIS HAWKS,97
1956-10-28 04:00:00+00:00,MINNEAPOLIS LAKERS,88,FORT WAYNE PISTONS,94
1956-10-28 04:00:00+00:00,ROCHESTER ROYALS,75,SYRACUSE NATIONALS,91
1956-11-01 05:00:00+00:00,ROCHESTER ROYALS,88,MINNEAPOLIS LAKERS,97
1956-11-03 05:00:00+00:00,NEW YORK KNICKS,113,BOSTON CELTICS,107
1956-11-03 05:00:00+00:00,SYRACUSE NATIONALS,75,ST. LOUIS HAWKS,73
1956-11-03 05:00:00+00:00,FORT WAYNE PISTONS,81,PHILADELPHIA WARRIORS,116
1956-11-03 05:00:00+00:00,MINNEAPOLIS LAKERS,95,ROCHESTER ROYALS,85
1956-11-04 05:00:00+00:00,NEW YORK KNICKS,96,FORT WAYNE PISTONS,83
1956-11-04 05:00:00+00:00,ROCHESTER ROYALS,87,MINNEAPOLIS LAKERS,88
1956-11-04 05:00:00+00:00,ST. LOUIS HAWKS,78,SYRACUSE NATIONALS,76
1956-11-07 05:00:00+00:00,PHILADELPHIA WARRIORS,80,ROCHESTER ROYALS,81
1956-11-07 05:00:00+00:00,NEW YORK KNICKS,101,ST. LOUIS HAWKS,107
1956-11-09 05:00:00+00:00,ROCHESTER ROYALS,95,PHILADELPHIA WARRIORS,93
1956-11-10 05:00:00+00:00,MINNEAPOLIS LAKERS,110,BOSTON CELTICS,117
1956-11-10 05:00:00+00:00,NEW YORK KNICKS,81,PHILADELPHIA WARRIORS,83
1956-11-10 05:00:00+00:00,SYRACUSE NATIONALS,76,ROCHESTER ROYALS,90
1956-11-10 05:00:00+00:00,FORT WAYNE PISTONS,79,ST. LOUIS HAWKS,86
1956-11-11 05:00:00+00:00,ST. LOUIS HAWKS,81,FORT WAYNE PISTONS,96
1956-11-11 05:00:00+00:00,BOSTON CELTICS,94,SYRACUSE NATIONALS,83
1956-11-11 05:00:00+00:00,PHILADELPHIA WARRIORS,95,NEW YORK KNICKS,106
1956-11-11 05:00:00+00:00,ROCHESTER ROYALS,94,MINNEAPOLIS LAKERS,82
1956-11-13 05:00:00+00:00,ROCHESTER ROYALS,105,ST. LOUIS HAWKS,118
1956-11-14 05:00:00+00:00,MINNEAPOLIS LAKERS,113,BOSTON CELTICS,97
1956-11-14 05:00:00+00:00,NEW YORK KNICKS,87,ROCHESTER ROYALS,90
1956-11-15 05:00:00+00:00,BOSTON CELTICS,95,FORT WAYNE PISTONS,98
1956-11-15 05:00:00+00:00,ROCHESTER ROYALS,83,PHILADELPHIA WARRIORS,92
1956-11-15 05:00:00+00:00,MINNEAPOLIS LAKERS,103,SYRACUSE NATIONALS,96
1956-11-16 05:00:00+00:00,MINNEAPOLIS LAKERS,97,PHILADELPHIA WARRIORS,123
1956-11-17 05:00:00+00:00,FORT WAYNE PISTONS,87,ST. LOUIS HAWKS,92
1956-11-17 05:00:00+00:00,SYRACUSE NATIONALS,96,PHILADELPHIA WARRIORS,109
1956-11-17 05:00:00+00:00,ROCHESTER ROYALS,86,BOSTON CELTICS,108
1956-11-18 05:00:00+00:00,FORT WAYNE PISTONS,111,MINNEAPOLIS LAKERS,107
1956-11-18 05:00:00+00:00,ST. LOUIS HAWKS,69,NEW YORK KNICKS,102
1956-11-18 05:00:00+00:00,BOSTON CELTICS,101,ROCHESTER ROYALS,87
1956-11-18 05:00:00+00:00,PHILADELPHIA WARRIORS,97,SYRACUSE NATIONALS,99
1956-11-20 05:00:00+00:00,SYRACUSE NATIONALS,81,ST. LOUIS HAWKS,104
1956-11-21 05:00:00+00:00,PHILADELPHIA WARRIORS,83,BOSTON CELTICS,95
1956-11-21 05:00:00+00:00,NEW YORK KNICKS,103,FORT WAYNE PISTONS,104
1956-11-21 05:00:00+00:00,ST. LOUIS HAWKS,76,ROCHESTER ROYALS,85
1956-11-22 05:00:00+00:00,ROCHESTER ROYALS,102,FORT WAYNE PISTONS,104
1956-11-22 05:00:00+00:00,SYRACUSE NATIONALS,78,MINNEAPOLIS LAKERS,111
1956-11-22 05:00:00+00:00,BOSTON CELTICS,101,PHILADELPHIA WARRIORS,78
1956-11-24 05:00:00+00:00,ROCHESTER ROYALS,96,NEW YORK KNICKS,87
1956-11-24 05:00:00+00:00,MINNEAPOLIS LAKERS,104,ST. LOUIS HAWKS,102
1956-11-24 05:00:00+00:00,FORT WAYNE PISTONS,88,PHILADELPHIA WARRIORS,98
1956-11-24 05:00:00+00:00,SYRACUSE NATIONALS,99,BOSTON CELTICS,114
1956-11-25 05:00:00+00:00,PHILADELPHIA WARRIORS,88,FORT WAYNE PISTONS,112
1956-11-25 05:00:00+00:00,ST. LOUIS HAWKS,95,MINNEAPOLIS LAKERS,94
1956-11-25 05:00:00+00:00,NEW YORK KNICKS,93,ROCHESTER ROYALS,95
