start_time,away_team,away_team_score,home_team,home_team_score
1979-10-12 04:00:00+00:00,NEW YORK KNICKS,104,ATLANTA HAWKS,121
1979-10-12 04:00:00+00:00,HOUSTON ROCKETS,106,BOSTON CELTICS,114
1979-10-12 04:00:00+00:00,INDIANA PACERS,105,DETROIT PISTONS,114
1979-10-12 04:00:00+00:00,MILWAUKEE BUCKS,103,KANSAS CITY KINGS,105
1979-10-12 04:00:00+00:00,CLEVELAND CAVALIERS,95,NEW JERSEY NETS,102
1979-10-12 04:00:00+00:00,GOLDEN STATE WARRIORS,89,PHOENIX SUNS,97
1979-10-12 04:00:00+00:00,UTAH JAZZ,85,PORTLAND TRAIL BLAZERS,101
1979-10-12 04:00:00+00:00,LOS ANGELES LAKERS,103,SAN DIEGO CLIPPERS,102
1979-10-12 04:00:00+00:00,PHILADELPHIA 76ERS,93,WASHINGTON BULLETS,92
1979-10-13 04:00:00+00:00,BOSTON CELTICS,139,CLEVELAND CAVALIERS,117
1979-10-13 04:00:00+00:00,MILWAUKEE BUCKS,125,DENVER NUGGETS,96
1979-10-13 04:00:00+00:00,CHICAGO BULLS,102,GOLDEN STATE WARRIORS,96
1979-10-13 04:00:00+00:00,ATLANTA HAWKS,101,INDIANA PACERS,115
1979-10-13 04:00:00+00:00,WASHINGTON BULLETS,118,NEW YORK KNICKS,125
1979-10-13 04:00:00+00:00,HOUSTON ROCKETS,105,PHILADELPHIA 76ERS,113
1979-10-13 04:00:00+00:00,DETROIT PISTONS,112,SAN ANTONIO SPURS,110
1979-10-14 04:00:00+00:00,CHICAGO BULLS,102,PHOENIX SUNS,112
1979-10-14 04:00:00+00:00,DENVER NUGGETS,93,PORTLAND TRAIL BLAZERS,109
1979-10-14 04:00:00+00:00,SEATTLE SUPERSONICS,93,SAN DIEGO CLIPPERS,98
1979-10-15 04:00:00+00:00,MILWAUKEE BUCKS,131,UTAH JAZZ,107
1979-10-16 04:00:00+00:00,SAN ANTONIO SPURS,118,ATLANTA HAWKS,116
1979-10-16 04:00:00+00:00,DETROIT PISTONS,117,CLEVELAND CAVALIERS,137
1979-10-16 04:00:00+00:00,GOLDEN STATE WARRIORS,108,DENVER NUGGETS,106
1979-10-16 04:00:00+00:00,NEW JERSEY NETS,100,INDIANA PACERS,113
1979-10-16 04:00:00+00:00,CHICAGO BULLS,96,LOS ANGELES LAKERS,105
1979-10-16 04:00:00+00:00,HOUSTON ROCKETS,121,NEW YORK KNICKS,126
1979-10-16 04:00:00+00:00,SEATTLE SUPERSONICS,86,PHOENIX SUNS,102
1979-10-16 04:00:00+00:00,SAN DIEGO CLIPPERS,81,PORTLAND TRAIL BLAZERS,88
1979-10-17 04:00:00+00:00,CLEVELAND CAVALIERS,108,BOSTON CELTICS,127
1979-10-17 04:00:00+00:00,INDIANA PACERS,112,HOUSTON ROCKETS,116
1979-10-17 04:00:00+00:00,GOLDEN STATE WARRIORS,107,KANSAS CITY KINGS,94
1979-10-17 04:00:00+00:00,DENVER NUGGETS,97,MILWAUKEE BUCKS,125
1979-10-17 04:00:00+00:00,PHILADELPHIA 76ERS,113,NEW JERSEY NETS,88
1979-10-17 04:00:00+00:00,LOS ANGELES LAKERS,110,SEATTLE SUPERSONICS,112
1979-10-17 04:00:00+00:00,ATLANTA HAWKS,97,WASHINGTON BULLETS,100
1979-10-18 04:00:00+00:00,INDIANA PACERS,85,ATLANTA HAWKS,115
1979-10-18 04:00:00+00:00,SAN ANTONIO SPURS,134,CLEVELAND CAVALIERS,141
1979-10-18 04:00:00+00:00,NEW YORK KNICKS,115,DETROIT PISTONS,129
1979-10-18 04:00:00+00:00,CHICAGO BULLS,107,SAN DIEGO CLIPPERS,111
1979-10-18 04:00:00+00:00,PORTLAND TRAIL BLAZERS,107,UTAH JAZZ,92
1979-10-19 04:00:00+00:00,WASHINGTON BULLETS,93,BOSTON CELTICS,130
1979-10-19 04:00:00+00:00,KANSAS CITY KINGS,107,DENVER NUGGETS,84
1979-10-19 04:00:00+00:00,PORTLAND TRAIL BLAZERS,99,LOS ANGELES LAKERS,82
1979-10-19 04:00:00+00:00,PHOENIX SUNS,94,MILWAUKEE BUCKS,95
1979-10-19 04:00:00+00:00,NEW YORK KNICKS,111,NEW JERSEY NETS,106
1979-10-19 04:00:00+00:00,DETROIT PISTONS,104,PHILADELPHIA 76ERS,112
1979-10-19 04:00:00+00:00,SAN DIEGO CLIPPERS,98,SEATTLE SUPERSONICS,106
1979-10-20 04:00:00+00:00,PHOENIX SUNS,104,CHICAGO BULLS,116
1979-10-20 04:00:00+00:00,UTAH JAZZ,96,GOLDEN STATE WARRIORS,101
1979-10-20 04:00:00+00:00,ATLANTA HAWKS,102,HOUSTON ROCKETS,107
1979-10-20 04:00:00+00:00,BOSTON CELTICS,128,INDIANA PACERS,131
1979-10-20 04:00:00+00:00,PHILADELPHIA 76ERS,136,NEW YORK KNICKS,111
1979-10-20 04:00:00+00:00,CLEVELAND CAVALIERS,127,SAN ANTONIO SPURS,129
1979-10-20 04:00:00+00:00,DETROIT PISTONS,106,WASHINGTON BULLETS,117
1979-10-21 04:00:00+00:00,PHOENIX SUNS,85,KANSAS CITY KINGS,122
1979-10-21 04:00:00+00:00,SEATTLE SUPERSONICS,97,LOS ANGELES LAKERS,106
1979-10-21 04:00:00+00:00,CHICAGO BULLS,111,MILWAUKEE BUCKS,113
1979-10-21 04:00:00+00:00,GOLDEN STATE WARRIORS,74,PORTLAND TRAIL BLAZERS,91
1979-10-22 04:00:00+00:00,SAN DIEGO CLIPPERS,109,UTAH JAZZ,110
1979-10-23 04:00:00+00:00,NEW JERSEY NETS,103,CHICAGO BULLS,108
1979-10-23 04:00:00+00:00,ATLANTA HAWKS,121,CLEVELAND CAVALIERS,111
1979-10-23 04:00:00+00:00,UTAH JAZZ,87,LOS ANGELES LAKERS,102
1979-10-23 04:00:00+00:00,INDIANA PACERS,112,NEW YORK KNICKS,136
1979-10-23 04:00:00+00:00,MILWAUKEE BUCKS,114,PHOENIX SUNS,108
1979-10-23 04:00:00+00:00,KANSAS CITY KINGS,88,PORTLAND TRAIL BLAZERS,90
1979-10-23 04:00:00+00:00,BOSTON CELTICS,120,SAN ANTONIO SPURS,129
1979-10-23 04:00:00+00:00,DENVER NUGGETS,127,SAN DIEGO CLIPPERS,132
1979-10-24 04:00:00+00:00,CLEVELAND CAVALIERS,118,ATLANTA HAWKS,128
1979-10-24 04:00:00+00:00,PORTLAND TRAIL BLAZERS,88,DENVER NUGGETS,87
1979-10-24 04:00:00+00:00,WASHINGTON BULLETS,103,DETROIT PISTONS,104
1979-10-24 04:00:00+00:00,PHOENIX SUNS,110,GOLDEN STATE WARRIORS,108
1979-10-24 04:00:00+00:00,BOSTON CELTICS,100,HOUSTON ROCKETS,99
1979-10-24 04:00:00+00:00,INDIANA PACERS,110,PHILADELPHIA 76ERS,132
1979-10-24 04:00:00+00:00,KANSAS CITY KINGS,92,SEATTLE SUPERSONICS,105
1979-10-25 04:00:00+00:00,MILWAUKEE BUCKS,118,SAN DIEGO CLIPPERS,115
1979-10-25 04:00:00+00:00,CHICAGO BULLS,105,UTAH JAZZ,113
1979-10-26 04:00:00+00:00,SAN ANTONIO SPURS,129,DETROIT PISTONS,113
1979-10-26 04:00:00+00:00,WASHINGTON BULLETS,108,INDIANA PACERS,118
1979-10-26 04:00:00+00:00,KANSAS CITY KINGS,104,LOS ANGELES LAKERS,116
1979-10-26 04:00:00+00:00,ATLANTA HAWKS,94,NEW JERSEY NETS,90
1979-10-26 04:00:00+00:00,NEW YORK KNICKS,116,PHILADELPHIA 76ERS,127
1979-10-26 04:00:00+00:00,CHICAGO BULLS,93,PORTLAND TRAIL BLAZERS,95
