start_time,away_team,away_team_score,home_team,home_team_score
1949-10-29 05:00:00+00:00,DENVER NUGGETS,85,TRI-CITIES BLACKHAWKS,93
1949-11-01 05:00:00+00:00,NEW YORK KNICKS,89,CHICAGO STAGS,87
1949-11-01 05:00:00+00:00,DENVER NUGGETS,64,INDIANAPOLIS OLYMPIANS,71
1949-11-01 05:00:00+00:00,SHEBOYGAN RED SKINS,75,ROCHESTER ROYALS,108
1949-11-01 05:00:00+00:00,TRI-CITIES BLACKHAWKS,51,ST. LOUIS BOMBERS,72
1949-11-02 05:00:00+00:00,MINNEAPOLIS LAKERS,81,PHILADELPHIA WARRIORS,69
1949-11-02 05:00:00+00:00,NEW YORK KNICKS,68,WATERLOO HAWKS,60
1949-11-02 05:00:00+00:00,BALTIMORE BULLETS,61,WASHINGTON CAPITOLS,66
1949-11-03 05:00:00+00:00,TRI-CITIES BLACKHAWKS,87,ANDERSON PACKERS,110
1949-11-03 05:00:00+00:00,ST. LOUIS BOMBERS,81,BALTIMORE BULLETS,65
1949-11-03 05:00:00+00:00,NEW YORK KNICKS,72,FORT WAYNE PISTONS,87
1949-11-03 05:00:00+00:00,BOSTON CELTICS,83,SHEBOYGAN RED SKINS,98
1949-11-03 05:00:00+00:00,DENVER NUGGETS,58,SYRACUSE NATIONALS,78
1949-11-04 05:00:00+00:00,ST. LOUIS BOMBERS,58,PHILADELPHIA WARRIORS,79
1949-11-05 05:00:00+00:00,MINNEAPOLIS LAKERS,92,BALTIMORE BULLETS,77
1949-11-05 05:00:00+00:00,BOSTON CELTICS,70,CHICAGO STAGS,86
1949-11-05 05:00:00+00:00,SYRACUSE NATIONALS,84,DENVER NUGGETS,51
1949-11-05 05:00:00+00:00,PHILADELPHIA WARRIORS,53,ROCHESTER ROYALS,83
1949-11-05 05:00:00+00:00,NEW YORK KNICKS,76,TRI-CITIES BLACKHAWKS,72
1949-11-05 05:00:00+00:00,ST. LOUIS BOMBERS,69,WASHINGTON CAPITOLS,81
1949-11-06 05:00:00+00:00,CHICAGO STAGS,70,FORT WAYNE PISTONS,87
1949-11-06 05:00:00+00:00,NEW YORK KNICKS,93,SHEBOYGAN RED SKINS,99
1949-11-06 05:00:00+00:00,PHILADELPHIA WARRIORS,72,SYRACUSE NATIONALS,82
1949-11-06 05:00:00+00:00,BOSTON CELTICS,66,WATERLOO HAWKS,80
1949-11-08 05:00:00+00:00,ST. LOUIS BOMBERS,62,ANDERSON PACKERS,70
1949-11-08 05:00:00+00:00,NEW YORK KNICKS,79,INDIANAPOLIS OLYMPIANS,64
1949-11-08 05:00:00+00:00,MINNEAPOLIS LAKERS,68,WASHINGTON CAPITOLS,66
1949-11-09 05:00:00+00:00,TRI-CITIES BLACKHAWKS,99,ANDERSON PACKERS,102
1949-11-09 05:00:00+00:00,ROCHESTER ROYALS,72,CHICAGO STAGS,75
1949-11-09 05:00:00+00:00,WASHINGTON CAPITOLS,84,PHILADELPHIA WARRIORS,69
