start_time,away_team,away_team_score,home_team,home_team_score
1966-10-15 04:00:00+00:00,SAN FRANCISCO WARRIORS,113,BOSTON CELTICS,121
1966-10-15 04:00:00+00:00,LOS ANGELES LAKERS,126,BALTIMORE BULLETS,115
1966-10-15 04:00:00+00:00,CHICAGO BULLS,104,ST. LOUIS HAWKS,97
1966-10-15 04:00:00+00:00,NEW YORK KNICKS,112,PHILADELPHIA 76ERS,128
1966-10-15 04:00:00+00:00,DETROIT PISTONS,99,CINCINNATI ROYALS,103
1966-10-18 04:00:00+00:00,SAN FRANCISCO WARRIORS,116,CHICAGO BULLS,119
1966-10-18 04:00:00+00:00,CINCINNATI ROYALS,112,DETROIT PISTONS,114
1966-10-18 04:00:00+00:00,LOS ANGELES LAKERS,119,NEW YORK KNICKS,122
1966-10-19 04:00:00+00:00,NEW YORK KNICKS,131,BALTIMORE BULLETS,109
1966-10-19 04:00:00+00:00,LOS ANGELES LAKERS,124,CHICAGO BULLS,134
1966-10-20 04:00:00+00:00,SAN FRANCISCO WARRIORS,121,CHICAGO BULLS,111
1966-10-20 04:00:00+00:00,ST. LOUIS HAWKS,113,DETROIT PISTONS,105
1966-10-21 04:00:00+00:00,BALTIMORE BULLETS,91,BOSTON CELTICS,111
1966-10-21 04:00:00+00:00,CHICAGO BULLS,108,LOS ANGELES LAKERS,101
1966-10-21 04:00:00+00:00,ST. LOUIS HAWKS,110,PHILADELPHIA 76ERS,119
1966-10-21 04:00:00+00:00,DETROIT PISTONS,119,SAN FRANCISCO WARRIORS,136
1966-10-22 04:00:00+00:00,CINCINNATI ROYALS,123,ST. LOUIS HAWKS,133
1966-10-22 04:00:00+00:00,BOSTON CELTICS,126,NEW YORK KNICKS,97
1966-10-22 04:00:00+00:00,PHILADELPHIA 76ERS,141,BALTIMORE BULLETS,112
1966-10-23 04:00:00+00:00,NEW YORK KNICKS,124,CHICAGO BULLS,105
1966-10-23 04:00:00+00:00,SAN FRANCISCO WARRIORS,110,DETROIT PISTONS,119
1966-10-25 04:00:00+00:00,BALTIMORE BULLETS,110,PHILADELPHIA 76ERS,130
1966-10-26 04:00:00+00:00,CINCINNATI ROYALS,116,BALTIMORE BULLETS,122
1966-10-26 04:00:00+00:00,NEW YORK KNICKS,133,LOS ANGELES LAKERS,122
1966-10-27 04:00:00+00:00,CHICAGO BULLS,100,BOSTON CELTICS,123
1966-10-27 04:00:00+00:00,ST. LOUIS HAWKS,118,CINCINNATI ROYALS,121
1966-10-28 04:00:00+00:00,SAN FRANCISCO WARRIORS,105,BALTIMORE BULLETS,104
1966-10-28 04:00:00+00:00,DETROIT PISTONS,129,CHICAGO BULLS,117
1966-10-28 04:00:00+00:00,NEW YORK KNICKS,114,LOS ANGELES LAKERS,124
1966-10-29 04:00:00+00:00,SAN FRANCISCO WARRIORS,127,CINCINNATI ROYALS,115
1966-10-29 04:00:00+00:00,BALTIMORE BULLETS,97,DETROIT PISTONS,103
1966-10-29 04:00:00+00:00,BOSTON CELTICS,96,PHILADELPHIA 76ERS,138
1966-10-29 04:00:00+00:00,LOS ANGELES LAKERS,109,ST. LOUIS HAWKS,110
1966-10-30 04:00:00+00:00,LOS ANGELES LAKERS,121,DETROIT PISTONS,124
1966-11-01 05:00:00+00:00,SAN FRANCISCO WARRIORS,137,CHICAGO BULLS,121
1966-11-02 05:00:00+00:00,LOS ANGELES LAKERS,108,BOSTON CELTICS,133
1966-11-02 05:00:00+00:00,NEW YORK KNICKS,129,CINCINNATI ROYALS,131
1966-11-02 05:00:00+00:00,BALTIMORE BULLETS,94,CHICAGO BULLS,102
1966-11-03 05:00:00+00:00,CHICAGO BULLS,108,BOSTON CELTICS,137
1966-11-03 05:00:00+00:00,ST. LOUIS HAWKS,108,PHILADELPHIA 76ERS,120
1966-11-03 05:00:00+00:00,SAN FRANCISCO WARRIORS,108,NEW YORK KNICKS,123
1966-11-04 05:00:00+00:00,CINCINNATI ROYALS,120,DETROIT PISTONS,115
1966-11-04 05:00:00+00:00,BALTIMORE BULLETS,98,LOS ANGELES LAKERS,131
1966-11-04 05:00:00+00:00,SAN FRANCISCO WARRIORS,129,PHILADELPHIA 76ERS,134
1966-11-05 05:00:00+00:00,PHILADELPHIA 76ERS,87,BOSTON CELTICS,105
1966-11-05 05:00:00+00:00,CHICAGO BULLS,113,CINCINNATI ROYALS,99
