start_time,away_team,away_team_score,home_team,home_team_score
1986-10-31 05:00:00+00:00,WASHINGTON BULLETS,102,BOSTON CELTICS,120
1986-10-31 05:00:00+00:00,UTAH JAZZ,77,DALLAS MAVERICKS,103
1986-10-31 05:00:00+00:00,SAN ANTONIO SPURS,104,DENVER NUGGETS,134
1986-10-31 05:00:00+00:00,MILWAUKEE BUCKS,120,DETROIT PISTONS,104
1986-10-31 05:00:00+00:00,INDIANA PACERS,104,PHILADELPHIA 76ERS,108
1986-10-31 05:00:00+00:00,GOLDEN STATE WARRIORS,123,PHOENIX SUNS,127
1986-10-31 05:00:00+00:00,SEATTLE SUPERSONICS,127,PORTLAND TRAIL BLAZERS,110
1986-10-31 05:00:00+00:00,LOS ANGELES CLIPPERS,106,SACRAMENTO KINGS,107
1986-11-01 00:55:00+00:00,NEW YORK KNICKS,97,NEW JERSEY NETS,108
1986-11-01 05:00:00+00:00,NEW JERSEY NETS,111,ATLANTA HAWKS,131
1986-11-01 05:00:00+00:00,WASHINGTON BULLETS,106,CLEVELAND CAVALIERS,113
1986-11-01 05:00:00+00:00,DENVER NUGGETS,109,GOLDEN STATE WARRIORS,131
1986-11-01 05:00:00+00:00,LOS ANGELES LAKERS,102,HOUSTON ROCKETS,112
1986-11-01 05:00:00+00:00,DETROIT PISTONS,89,INDIANA PACERS,92
1986-11-01 05:00:00+00:00,PHOENIX SUNS,111,LOS ANGELES CLIPPERS,117
1986-11-01 05:00:00+00:00,BOSTON CELTICS,105,MILWAUKEE BUCKS,111
1986-11-01 05:00:00+00:00,CHICAGO BULLS,108,NEW YORK KNICKS,103
1986-11-01 05:00:00+00:00,DALLAS MAVERICKS,105,SAN ANTONIO SPURS,108
1986-11-01 05:00:00+00:00,SACRAMENTO KINGS,103,SEATTLE SUPERSONICS,114
1986-11-01 05:00:00+00:00,PORTLAND TRAIL BLAZERS,110,UTAH JAZZ,119
1986-11-02 05:00:00+00:00,CHICAGO BULLS,94,CLEVELAND CAVALIERS,89
1986-11-02 05:00:00+00:00,ATLANTA HAWKS,122,PHILADELPHIA 76ERS,113
1986-11-03 05:00:00+00:00,NEW YORK KNICKS,95,GOLDEN STATE WARRIORS,104
1986-11-04 05:00:00+00:00,MILWAUKEE BUCKS,98,ATLANTA HAWKS,107
1986-11-04 05:00:00+00:00,SAN ANTONIO SPURS,104,CHICAGO BULLS,111
1986-11-04 05:00:00+00:00,LOS ANGELES CLIPPERS,86,DALLAS MAVERICKS,118
1986-11-04 05:00:00+00:00,NEW YORK KNICKS,103,DENVER NUGGETS,118
1986-11-04 05:00:00+00:00,PHILADELPHIA 76ERS,121,INDIANA PACERS,125
1986-11-04 05:00:00+00:00,PORTLAND TRAIL BLAZERS,120,PHOENIX SUNS,126
1986-11-04 05:00:00+00:00,HOUSTON ROCKETS,100,SACRAMENTO KINGS,84
1986-11-04 05:00:00+00:00,LOS ANGELES LAKERS,110,SEATTLE SUPERSONICS,96
1986-11-04 05:00:00+00:00,NEW JERSEY NETS,101,WASHINGTON BULLETS,102
1986-11-05 05:00:00+00:00,INDIANA PACERS,102,BOSTON CELTICS,133
1986-11-05 05:00:00+00:00,WASHINGTON BULLETS,85,DETROIT PISTONS,109
1986-11-05 05:00:00+00:00,PORTLAND TRAIL BLAZERS,92,GOLDEN STATE WARRIORS,102
1986-11-05 05:00:00+00:00,MILWAUKEE BUCKS,101,PHILADELPHIA 76ERS,107
1986-11-05 05:00:00+00:00,CLEVELAND CAVALIERS,95,UTAH JAZZ,111
1986-11-06 00:42:00+00:00,SAN ANTONIO SPURS,112,NEW JERSEY NETS,103
1986-11-06 05:00:00+00:00,UTAH JAZZ,121,DENVER NUGGETS,135
1986-11-06 05:00:00+00:00,LOS ANGELES CLIPPERS,104,HOUSTON ROCKETS,97
1986-11-06 05:00:00+00:00,NEW YORK KNICKS,106,SACRAMENTO KINGS,95
1986-11-06 05:00:00+00:00,DALLAS MAVERICKS,147,SEATTLE SUPERSONICS,124
1986-11-07 05:00:00+00:00,PHOENIX SUNS,86,ATLANTA HAWKS,106
1986-11-07 05:00:00+00:00,CHICAGO BULLS,109,DETROIT PISTONS,115
1986-11-07 05:00:00+00:00,CLEVELAND CAVALIERS,115,GOLDEN STATE WARRIORS,114
1986-11-07 05:00:00+00:00,DENVER NUGGETS,116,LOS ANGELES LAKERS,138
1986-11-07 05:00:00+00:00,SAN ANTONIO SPURS,97,PHILADELPHIA 76ERS,114
1986-11-07 05:00:00+00:00,DALLAS MAVERICKS,113,PORTLAND TRAIL BLAZERS,120
1986-11-07 05:00:00+00:00,BOSTON CELTICS,88,WASHINGTON BULLETS,86
1986-11-08 00:42:00+00:00,MILWAUKEE BUCKS,115,NEW JERSEY NETS,94
1986-11-08 05:00:00+00:00,WASHINGTON BULLETS,91,ATLANTA HAWKS,110
1986-11-08 05:00:00+00:00,PHOENIX SUNS,96,CHICAGO BULLS,101
1986-11-08 05:00:00+00:00,SACRAMENTO KINGS,90,HOUSTON ROCKETS,102
1986-11-08 05:00:00+00:00,SAN ANTONIO SPURS,97,INDIANA PACERS,130
1986-11-08 05:00:00+00:00,CLEVELAND CAVALIERS,100,LOS ANGELES CLIPPERS,93
1986-11-08 05:00:00+00:00,DETROIT PISTONS,89,MILWAUKEE BUCKS,103
1986-11-08 05:00:00+00:00,NEW YORK KNICKS,102,SEATTLE SUPERSONICS,105
1986-11-09 05:00:00+00:00,NEW YORK KNICKS,88,LOS ANGELES LAKERS,111
1986-11-09 05:00:00+00:00,PHILADELPHIA 76ERS,125,PORTLAND TRAIL BLAZERS,119
1986-11-11 05:00:00+00:00,ATLANTA HAWKS,110,CHICAGO BULLS,112
1986-11-11 05:00:00+00:00,SAN ANTONIO SPURS,95,HOUSTON ROCKETS,116
1986-11-11 05:00:00+00:00,DENVER NUGGETS,112,LOS ANGELES CLIPPERS,115
1986-11-11 05:00:00+00:00,INDIANA PACERS,94,MILWAUKEE BUCKS,102
1986-11-11 05:00:00+00:00,PHOENIX SUNS,105,NEW YORK KNICKS,111
1986-11-11 05:00:00+00:00,GOLDEN STATE WARRIORS,108,PORTLAND TRAIL BLAZERS,126
1986-11-11 05:00:00+00:00,CLEVELAND CAVALIERS,114,SACRAMENTO KINGS,119
1986-11-11 05:00:00+00:00,PHILADELPHIA 76ERS,121,SEATTLE SUPERSONICS,114
1986-11-11 05:00:00+00:00,DALLAS MAVERICKS,103,UTAH JAZZ,104
1986-11-12 00:45:00+00:00,BOSTON CELTICS,110,NEW JERSEY NETS,114
1986-11-12 05:00:00+00:00,MILWAUKEE BUCKS,116,BOSTON CELTICS,124
1986-11-12 05:00:00+00:00,HOUSTON ROCKETS,85,DALLAS MAVERICKS,114
1986-11-12 05:00:00+00:00,SACRAMENTO KINGS,110,DENVER NUGGETS,108
1986-11-12 05:00:00+00:00,PHOENIX SUNS,100,DETROIT PISTONS,108
1986-11-12 05:00:00+00:00,SEATTLE SUPERSONICS,97,LOS ANGELES LAKERS,122
1986-11-12 05:00:00+00:00,CHICAGO BULLS,99,WASHINGTON BULLETS,101
1986-11-13 05:00:00+00:00,PHILADELPHIA 76ERS,104,GOLDEN STATE WARRIORS,112
1986-11-13 05:00:00+00:00,CLEVELAND CAVALIERS,102,SAN ANTONIO SPURS,115
1986-11-13 05:00:00+00:00,LOS ANGELES CLIPPERS,113,UTAH JAZZ,130
1986-11-14 00:44:00+00:00,INDIANA PACERS,120,NEW JERSEY NETS,117
1986-11-14 05:00:00+00:00,BOSTON CELTICS,110,CHICAGO BULLS,98
1986-11-14 05:00:00+00:00,DALLAS MAVERICKS,138,DENVER NUGGETS,142
1986-11-14 05:00:00+00:00,ATLANTA HAWKS,105,DETROIT PISTONS,100
1986-11-14 05:00:00+00:00,NEW YORK KNICKS,103,MILWAUKEE BUCKS,106
1986-11-14 05:00:00+00:00,PHILADELPHIA 76ERS,97,PHOENIX SUNS,127
1986-11-14 05:00:00+00:00,LOS ANGELES CLIPPERS,109,PORTLAND TRAIL BLAZERS,119
1986-11-15 05:00:00+00:00,CLEVELAND CAVALIERS,96,DALLAS MAVERICKS,111
1986-11-15 05:00:00+00:00,BOSTON CELTICS,118,DETROIT PISTONS,111
1986-11-15 05:00:00+00:00,SEATTLE SUPERSONICS,127,GOLDEN STATE WARRIORS,121
1986-11-15 05:00:00+00:00,MILWAUKEE BUCKS,103,INDIANA PACERS,104
1986-11-15 05:00:00+00:00,WASHINGTON BULLETS,97,NEW YORK KNICKS,104
1986-11-15 05:00:00+00:00,PHOENIX SUNS,116,SAN ANTONIO SPURS,109
1986-11-15 05:00:00+00:00,DENVER NUGGETS,103,UTAH JAZZ,111
1986-11-16 00:41:00+00:00,ATLANTA HAWKS,109,NEW JERSEY NETS,90
1986-11-16 05:00:00+00:00,CLEVELAND CAVALIERS,106,HOUSTON ROCKETS,134
1986-11-16 05:00:00+00:00,PHILADELPHIA 76ERS,103,LOS ANGELES CLIPPERS,90
1986-11-16 05:00:00+00:00,SACRAMENTO KINGS,111,LOS ANGELES LAKERS,113
1986-11-16 05:00:00+00:00,UTAH JAZZ,103,PORTLAND TRAIL BLAZERS,124
1986-11-16 05:00:00+00:00,INDIANA PACERS,111,WASHINGTON BULLETS,124
1986-11-18 05:00:00+00:00,LOS ANGELES LAKERS,114,DALLAS MAVERICKS,110
1986-11-18 05:00:00+00:00,NEW JERSEY NETS,112,DENVER NUGGETS,125
1986-11-18 05:00:00+00:00,PORTLAND TRAIL BLAZERS,115,HOUSTON ROCKETS,111
1986-11-18 05:00:00+00:00,INDIANA PACERS,98,LOS ANGELES CLIPPERS,93
1986-11-18 05:00:00+00:00,GOLDEN STATE WARRIORS,85,MILWAUKEE BUCKS,111
1986-11-18 05:00:00+00:00,SACRAMENTO KINGS,105,SEATTLE SUPERSONICS,119
1986-11-19 05:00:00+00:00,ATLANTA HAWKS,107,BOSTON CELTICS,111
1986-11-19 05:00:00+00:00,GOLDEN STATE WARRIORS,112,CLEVELAND CAVALIERS,104
1986-11-19 05:00:00+00:00,NEW YORK KNICKS,94,PHILADELPHIA 76ERS,98
1986-11-19 05:00:00+00:00,NEW JERSEY NETS,101,PHOENIX SUNS,111
1986-11-19 05:00:00+00:00,LOS ANGELES LAKERS,117,SAN ANTONIO SPURS,108
1986-11-19 05:00:00+00:00,DETROIT PISTONS,105,WASHINGTON BULLETS,119
1986-11-20 05:00:00+00:00,CLEVELAND CAVALIERS,89,ATLANTA HAWKS,108
1986-11-20 05:00:00+00:00,PORTLAND TRAIL BLAZERS,128,DENVER NUGGETS,142
1986-11-20 05:00:00+00:00,UTAH JAZZ,90,HOUSTON ROCKETS,104
1986-11-20 05:00:00+00:00,DALLAS MAVERICKS,113,LOS ANGELES CLIPPERS,108
1986-11-20 05:00:00+00:00,INDIANA PACERS,83,SACRAMENTO KINGS,92
1986-11-20 05:00:00+00:00,MILWAUKEE BUCKS,116,SEATTLE SUPERSONICS,105
1986-11-21 05:00:00+00:00,GOLDEN STATE WARRIORS,120,BOSTON CELTICS,135
1986-11-21 05:00:00+00:00,NEW YORK KNICKS,99,CHICAGO BULLS,101
1986-11-21 05:00:00+00:00,NEW JERSEY NETS,95,LOS ANGELES LAKERS,111
1986-11-21 05:00:00+00:00,DETROIT PISTONS,120,PHILADELPHIA 76ERS,110
1986-11-21 05:00:00+00:00,DALLAS MAVERICKS,130,PHOENIX SUNS,122
1986-11-21 05:00:00+00:00,SAN ANTONIO SPURS,114,PORTLAND TRAIL BLAZERS,127
1986-11-21 05:00:00+00:00,HOUSTON ROCKETS,99,WASHINGTON BULLETS,115
1986-11-22 05:00:00+00:00,BOSTON CELTICS,96,ATLANTA HAWKS,97
1986-11-22 05:00:00+00:00,WASHINGTON BULLETS,84,CHICAGO BULLS,93
1986-11-22 05:00:00+00:00,PHOENIX SUNS,120,DENVER NUGGETS,132
1986-11-22 05:00:00+00:00,CLEVELAND CAVALIERS,84,DETROIT PISTONS,93
1986-11-22 05:00:00+00:00,SAN ANTONIO SPURS,109,LOS ANGELES CLIPPERS,102
1986-11-22 05:00:00+00:00,GOLDEN STATE WARRIORS,97,NEW YORK KNICKS,93
1986-11-22 05:00:00+00:00,MILWAUKEE BUCKS,107,SACRAMENTO KINGS,99
1986-11-22 05:00:00+00:00,INDIANA PACERS,111,SEATTLE SUPERSONICS,121
1986-11-22 05:00:00+00:00,NEW JERSEY NETS,78,UTAH JAZZ,96
1986-11-23 05:00:00+00:00,MILWAUKEE BUCKS,117,LOS ANGELES LAKERS,127
1986-11-23 05:00:00+00:00,HOUSTON ROCKETS,104,PHILADELPHIA 76ERS,114
1986-11-23 05:00:00+00:00,INDIANA PACERS,95,PORTLAND TRAIL BLAZERS,108
1986-11-25 05:00:00+00:00,UTAH JAZZ,106,GOLDEN STATE WARRIORS,111
1986-11-25 05:00:00+00:00,ATLANTA HAWKS,113,LOS ANGELES LAKERS,107
1986-11-25 05:00:00+00:00,HOUSTON ROCKETS,93,NEW YORK KNICKS,102
1986-11-25 05:00:00+00:00,BOSTON CELTICS,100,PHILADELPHIA 76ERS,102
1986-11-25 05:00:00+00:00,PHOENIX SUNS,102,SACRAMENTO KINGS,123
1986-11-25 05:00:00+00:00,NEW JERSEY NETS,99,SAN ANTONIO SPURS,117
1986-11-25 05:00:00+00:00,LOS ANGELES CLIPPERS,103,SEATTLE SUPERSONICS,113
1986-11-25 05:00:00+00:00,PORTLAND TRAIL BLAZERS,99,WASHINGTON BULLETS,111
1986-11-26 05:00:00+00:00,NEW YORK KNICKS,90,BOSTON CELTICS,101
1986-11-26 05:00:00+00:00,PORTLAND TRAIL BLAZERS,114,CLEVELAND CAVALIERS,118
1986-11-26 05:00:00+00:00,SACRAMENTO KINGS,117,DALLAS MAVERICKS,129
1986-11-26 05:00:00+00:00,CHICAGO BULLS,107,DENVER NUGGETS,109
1986-11-26 05:00:00+00:00,HOUSTON ROCKETS,92,INDIANA PACERS,88
1986-11-26 05:00:00+00:00,LOS ANGELES LAKERS,126,LOS ANGELES CLIPPERS,92
1986-11-26 05:00:00+00:00,WASHINGTON BULLETS,103,MILWAUKEE BUCKS,122
1986-11-26 05:00:00+00:00,ATLANTA HAWKS,106,PHOENIX SUNS,120
1986-11-26 05:00:00+00:00,SEATTLE SUPERSONICS,91,UTAH JAZZ,127
1986-11-28 05:00:00+00:00,SAN ANTONIO SPURS,96,BOSTON CELTICS,111
1986-11-28 05:00:00+00:00,NEW JERSEY NETS,94,DALLAS MAVERICKS,119
