start_time,away_team,away_team_score,home_team,home_team_score
1988-11-04 05:00:00+00:00,NEW YORK KNICKS,115,BOSTON CELTICS,122
1988-11-04 05:00:00+00:00,CLEVELAND CAVALIERS,133,CHARLOTTE HORNETS,93
1988-11-04 05:00:00+00:00,DETROIT PISTONS,107,CHICAGO BULLS,94
1988-11-04 05:00:00+00:00,LOS ANGELES LAKERS,116,DALLAS MAVERICKS,113
1988-11-04 05:00:00+00:00,HOUSTON ROCKETS,117,DENVER NUGGETS,120
1988-11-04 05:00:00+00:00,MILWAUKEE BUCKS,117,INDIANA PACERS,103
1988-11-04 05:00:00+00:00,ATLANTA HAWKS,113,NEW JERSEY NETS,105
1988-11-04 05:00:00+00:00,LOS ANGELES CLIPPERS,110,PHILADELPHIA 76ERS,129
1988-11-04 05:00:00+00:00,PHOENIX SUNS,105,PORTLAND TRAIL BLAZERS,120
1988-11-04 05:00:00+00:00,SEATTLE SUPERSONICS,104,UTAH JAZZ,97
1988-11-05 05:00:00+00:00,CHARLOTTE HORNETS,85,DETROIT PISTONS,94
1988-11-05 05:00:00+00:00,PHOENIX SUNS,104,GOLDEN STATE WARRIORS,117
1988-11-05 05:00:00+00:00,DALLAS MAVERICKS,114,HOUSTON ROCKETS,113
1988-11-05 05:00:00+00:00,CLEVELAND CAVALIERS,105,INDIANA PACERS,99
1988-11-05 05:00:00+00:00,LOS ANGELES CLIPPERS,111,MIAMI HEAT,91
1988-11-05 05:00:00+00:00,ATLANTA HAWKS,107,MILWAUKEE BUCKS,94
1988-11-05 05:00:00+00:00,NEW YORK KNICKS,102,NEW JERSEY NETS,112
1988-11-05 05:00:00+00:00,BOSTON CELTICS,115,PHILADELPHIA 76ERS,129
1988-11-05 05:00:00+00:00,SACRAMENTO KINGS,103,PORTLAND TRAIL BLAZERS,121
1988-11-05 05:00:00+00:00,LOS ANGELES LAKERS,107,SAN ANTONIO SPURS,122
1988-11-05 05:00:00+00:00,DENVER NUGGETS,141,SEATTLE SUPERSONICS,142
1988-11-05 05:00:00+00:00,CHICAGO BULLS,111,WASHINGTON BULLETS,98
1988-11-08 05:00:00+00:00,INDIANA PACERS,107,ATLANTA HAWKS,112
1988-11-08 05:00:00+00:00,LOS ANGELES CLIPPERS,105,CHARLOTTE HORNETS,117
1988-11-08 05:00:00+00:00,MIAMI HEAT,88,DALLAS MAVERICKS,92
1988-11-08 05:00:00+00:00,LOS ANGELES LAKERS,114,GOLDEN STATE WARRIORS,102
1988-11-08 05:00:00+00:00,SAN ANTONIO SPURS,102,HOUSTON ROCKETS,120
1988-11-08 05:00:00+00:00,WASHINGTON BULLETS,101,NEW JERSEY NETS,109
1988-11-08 05:00:00+00:00,CHICAGO BULLS,117,NEW YORK KNICKS,126
1988-11-08 05:00:00+00:00,DETROIT PISTONS,116,PHILADELPHIA 76ERS,109
1988-11-08 05:00:00+00:00,SEATTLE SUPERSONICS,97,SACRAMENTO KINGS,75
1988-11-09 05:00:00+00:00,CHICAGO BULLS,110,BOSTON CELTICS,104
1988-11-09 05:00:00+00:00,LOS ANGELES CLIPPERS,91,CLEVELAND CAVALIERS,108
1988-11-09 05:00:00+00:00,ATLANTA HAWKS,95,DETROIT PISTONS,101
1988-11-09 05:00:00+00:00,DENVER NUGGETS,110,LOS ANGELES LAKERS,128
1988-11-09 05:00:00+00:00,PHILADELPHIA 76ERS,103,MILWAUKEE BUCKS,114
1988-11-09 05:00:00+00:00,DALLAS MAVERICKS,103,PHOENIX SUNS,111
1988-11-09 05:00:00+00:00,MIAMI HEAT,93,SAN ANTONIO SPURS,117
1988-11-09 05:00:00+00:00,GOLDEN STATE WARRIORS,113,SEATTLE SUPERSONICS,108
1988-11-09 05:00:00+00:00,SACRAMENTO KINGS,81,UTAH JAZZ,105
1988-11-09 05:00:00+00:00,NEW YORK KNICKS,117,WASHINGTON BULLETS,110
1988-11-10 05:00:00+00:00,PORTLAND TRAIL BLAZERS,115,DENVER NUGGETS,135
1988-11-10 05:00:00+00:00,UTAH JAZZ,99,HOUSTON ROCKETS,106
1988-11-11 05:00:00+00:00,DETROIT PISTONS,116,BOSTON CELTICS,107
1988-11-11 05:00:00+00:00,NEW JERSEY NETS,85,CHICAGO BULLS,97
1988-11-11 05:00:00+00:00,SAN ANTONIO SPURS,102,DALLAS MAVERICKS,115
1988-11-11 05:00:00+00:00,NEW YORK KNICKS,121,INDIANA PACERS,120
1988-11-11 05:00:00+00:00,SEATTLE SUPERSONICS,103,LOS ANGELES LAKERS,114
1988-11-11 05:00:00+00:00,HOUSTON ROCKETS,121,MIAMI HEAT,100
1988-11-11 05:00:00+00:00,ATLANTA HAWKS,105,PHILADELPHIA 76ERS,107
1988-11-11 05:00:00+00:00,GOLDEN STATE WARRIORS,103,PHOENIX SUNS,141
1988-11-11 05:00:00+00:00,CHARLOTTE HORNETS,87,WASHINGTON BULLETS,96
1988-11-12 05:00:00+00:00,CHARLOTTE HORNETS,111,ATLANTA HAWKS,132
1988-11-12 05:00:00+00:00,INDIANA PACERS,96,CLEVELAND CAVALIERS,121
1988-11-12 05:00:00+00:00,SACRAMENTO KINGS,71,DALLAS MAVERICKS,111
1988-11-12 05:00:00+00:00,SEATTLE SUPERSONICS,129,DENVER NUGGETS,141
1988-11-12 05:00:00+00:00,PORTLAND TRAIL BLAZERS,100,GOLDEN STATE WARRIORS,107
1988-11-12 05:00:00+00:00,PHOENIX SUNS,127,LOS ANGELES CLIPPERS,138
1988-11-12 05:00:00+00:00,BOSTON CELTICS,100,MILWAUKEE BUCKS,108
1988-11-12 05:00:00+00:00,CHICAGO BULLS,91,NEW JERSEY NETS,97
1988-11-12 05:00:00+00:00,WASHINGTON BULLETS,101,NEW YORK KNICKS,111
1988-11-12 05:00:00+00:00,UTAH JAZZ,105,SAN ANTONIO SPURS,96
