start_time,away_team,away_team_score,home_team,home_team_score
1960-10-19 04:00:00+00:00,LOS ANGELES LAKERS,123,CINCINNATI ROYALS,140
1960-10-20 04:00:00+00:00,CINCINNATI ROYALS,113,NEW YORK KNICKS,105
1960-10-22 04:00:00+00:00,DETROIT PISTONS,116,BOSTON CELTICS,118
1960-10-22 04:00:00+00:00,NEW YORK KNICKS,117,CINCINNATI ROYALS,119
1960-10-22 04:00:00+00:00,LOS ANGELES LAKERS,96,ST. LOUIS HAWKS,112
1960-10-22 04:00:00+00:00,PHILADELPHIA WARRIORS,133,SYRACUSE NATIONALS,123
1960-10-23 04:00:00+00:00,ST. LOUIS HAWKS,103,CINCINNATI ROYALS,114
1960-10-24 04:00:00+00:00,NEW YORK KNICKS,111,LOS ANGELES LAKERS,101
1960-10-25 04:00:00+00:00,SYRACUSE NATIONALS,100,ST. LOUIS HAWKS,123
1960-10-25 04:00:00+00:00,NEW YORK KNICKS,118,LOS ANGELES LAKERS,120
1960-10-26 04:00:00+00:00,CINCINNATI ROYALS,117,DETROIT PISTONS,131
1960-10-27 04:00:00+00:00,SYRACUSE NATIONALS,140,CINCINNATI ROYALS,143
1960-10-28 04:00:00+00:00,BOSTON CELTICS,110,NEW YORK KNICKS,101
1960-10-28 04:00:00+00:00,LOS ANGELES LAKERS,120,PHILADELPHIA WARRIORS,122
1960-10-29 04:00:00+00:00,PHILADELPHIA WARRIORS,131,BOSTON CELTICS,103
1960-10-29 04:00:00+00:00,NEW YORK KNICKS,110,DETROIT PISTONS,115
1960-10-29 04:00:00+00:00,CINCINNATI ROYALS,97,ST. LOUIS HAWKS,113
1960-10-29 04:00:00+00:00,LOS ANGELES LAKERS,118,SYRACUSE NATIONALS,125
1960-11-01 05:00:00+00:00,PHILADELPHIA WARRIORS,131,CINCINNATI ROYALS,113
1960-11-02 05:00:00+00:00,ST. LOUIS HAWKS,132,DETROIT PISTONS,117
1960-11-02 05:00:00+00:00,NEW YORK KNICKS,96,LOS ANGELES LAKERS,106
1960-11-04 05:00:00+00:00,DETROIT PISTONS,121,PHILADELPHIA WARRIORS,136
1960-11-05 05:00:00+00:00,CINCINNATI ROYALS,113,BOSTON CELTICS,104
1960-11-05 05:00:00+00:00,PHILADELPHIA WARRIORS,130,DETROIT PISTONS,123
1960-11-05 05:00:00+00:00,SYRACUSE NATIONALS,110,LOS ANGELES LAKERS,112
1960-11-05 05:00:00+00:00,NEW YORK KNICKS,104,ST. LOUIS HAWKS,119
1960-11-06 05:00:00+00:00,SYRACUSE NATIONALS,113,LOS ANGELES LAKERS,119
1960-11-08 05:00:00+00:00,BOSTON CELTICS,136,CINCINNATI ROYALS,120
1960-11-09 05:00:00+00:00,PHILADELPHIA WARRIORS,125,LOS ANGELES LAKERS,118
1960-11-09 05:00:00+00:00,DETROIT PISTONS,120,ST. LOUIS HAWKS,126
1960-11-10 05:00:00+00:00,PHILADELPHIA WARRIORS,116,NEW YORK KNICKS,112
1960-11-11 05:00:00+00:00,CINCINNATI ROYALS,110,BOSTON CELTICS,128
