start_time,away_team,away_team_score,home_team,home_team_score
1973-10-09 04:00:00+00:00,HOUSTON ROCKETS,105,BUFFALO BRAVES,107
1973-10-09 04:00:00+00:00,LOS ANGELES LAKERS,117,CHICAGO BULLS,97
1973-10-09 04:00:00+00:00,DETROIT PISTONS,100,NEW YORK KNICKS,101
1973-10-09 04:00:00+00:00,CAPITAL BULLETS,114,ATLANTA HAWKS,128
1973-10-10 04:00:00+00:00,CHICAGO BULLS,105,KANSAS CITY-OMAHA KINGS,90
1973-10-10 04:00:00+00:00,HOUSTON ROCKETS,104,PHILADELPHIA 76ERS,88
1973-10-10 04:00:00+00:00,SEATTLE SUPERSONICS,111,PHOENIX SUNS,115
1973-10-11 04:00:00+00:00,LOS ANGELES LAKERS,102,ATLANTA HAWKS,129
1973-10-12 04:00:00+00:00,BUFFALO BRAVES,112,BOSTON CELTICS,118
1973-10-12 04:00:00+00:00,CAPITAL BULLETS,102,SEATTLE SUPERSONICS,103
1973-10-12 04:00:00+00:00,MILWAUKEE BUCKS,107,PHOENIX SUNS,84
1973-10-12 04:00:00+00:00,CHICAGO BULLS,84,KANSAS CITY-OMAHA KINGS,88
1973-10-12 04:00:00+00:00,ATLANTA HAWKS,105,DETROIT PISTONS,122
1973-10-12 04:00:00+00:00,HOUSTON ROCKETS,106,CLEVELAND CAVALIERS,99
1973-10-13 04:00:00+00:00,BOSTON CELTICS,111,PHILADELPHIA 76ERS,106
1973-10-13 04:00:00+00:00,CAPITAL BULLETS,87,PORTLAND TRAIL BLAZERS,132
1973-10-13 04:00:00+00:00,HOUSTON ROCKETS,86,NEW YORK KNICKS,85
1973-10-13 04:00:00+00:00,DETROIT PISTONS,94,CHICAGO BULLS,101
1973-10-13 04:00:00+00:00,KANSAS CITY-OMAHA KINGS,117,ATLANTA HAWKS,102
1973-10-13 04:00:00+00:00,LOS ANGELES LAKERS,125,BUFFALO BRAVES,122
1973-10-13 04:00:00+00:00,MILWAUKEE BUCKS,97,GOLDEN STATE WARRIORS,85
1973-10-14 04:00:00+00:00,DETROIT PISTONS,95,CLEVELAND CAVALIERS,83
1973-10-14 04:00:00+00:00,GOLDEN STATE WARRIORS,120,PHOENIX SUNS,95
1973-10-14 04:00:00+00:00,MILWAUKEE BUCKS,100,SEATTLE SUPERSONICS,109
1973-10-16 04:00:00+00:00,PHILADELPHIA 76ERS,106,HOUSTON ROCKETS,101
1973-10-16 04:00:00+00:00,BUFFALO BRAVES,91,NEW YORK KNICKS,117
1973-10-17 04:00:00+00:00,KANSAS CITY-OMAHA KINGS,108,SEATTLE SUPERSONICS,106
1973-10-17 04:00:00+00:00,GOLDEN STATE WARRIORS,95,MILWAUKEE BUCKS,109
1973-10-19 04:00:00+00:00,PHILADELPHIA 76ERS,102,BOSTON CELTICS,133
1973-10-19 04:00:00+00:00,CAPITAL BULLETS,103,CHICAGO BULLS,117
1973-10-19 04:00:00+00:00,NEW YORK KNICKS,92,CLEVELAND CAVALIERS,90
1973-10-19 04:00:00+00:00,MILWAUKEE BUCKS,96,DETROIT PISTONS,94
1973-10-19 04:00:00+00:00,SEATTLE SUPERSONICS,91,LOS ANGELES LAKERS,118
1973-10-19 04:00:00+00:00,KANSAS CITY-OMAHA KINGS,99,PORTLAND TRAIL BLAZERS,111
1973-10-20 04:00:00+00:00,SEATTLE SUPERSONICS,108,PORTLAND TRAIL BLAZERS,123
1973-10-20 04:00:00+00:00,ATLANTA HAWKS,108,PHOENIX SUNS,118
1973-10-20 04:00:00+00:00,CHICAGO BULLS,85,NEW YORK KNICKS,69
1973-10-20 04:00:00+00:00,CLEVELAND CAVALIERS,88,MILWAUKEE BUCKS,101
1973-10-20 04:00:00+00:00,KANSAS CITY-OMAHA KINGS,81,GOLDEN STATE WARRIORS,100
1973-10-20 04:00:00+00:00,DETROIT PISTONS,107,HOUSTON ROCKETS,104
1973-10-20 04:00:00+00:00,PHILADELPHIA 76ERS,110,BUFFALO BRAVES,116
1973-10-20 04:00:00+00:00,BOSTON CELTICS,87,CAPITAL BULLETS,96
1973-10-21 04:00:00+00:00,CHICAGO BULLS,107,CAPITAL BULLETS,99
1973-10-21 04:00:00+00:00,ATLANTA HAWKS,119,LOS ANGELES LAKERS,100
1973-10-21 04:00:00+00:00,PHOENIX SUNS,112,SEATTLE SUPERSONICS,116
1973-10-23 04:00:00+00:00,PORTLAND TRAIL BLAZERS,96,CLEVELAND CAVALIERS,103
1973-10-23 04:00:00+00:00,PHOENIX SUNS,109,GOLDEN STATE WARRIORS,121
1973-10-23 04:00:00+00:00,LOS ANGELES LAKERS,107,HOUSTON ROCKETS,98
1973-10-23 04:00:00+00:00,CAPITAL BULLETS,101,NEW YORK KNICKS,84
1973-10-24 04:00:00+00:00,LOS ANGELES LAKERS,92,KANSAS CITY-OMAHA KINGS,91
1973-10-24 04:00:00+00:00,ATLANTA HAWKS,131,SEATTLE SUPERSONICS,106
1973-10-24 04:00:00+00:00,DETROIT PISTONS,115,PHOENIX SUNS,99
1973-10-24 04:00:00+00:00,PORTLAND TRAIL BLAZERS,110,PHILADELPHIA 76ERS,132
1973-10-24 04:00:00+00:00,BUFFALO BRAVES,113,MILWAUKEE BUCKS,130
1973-10-24 04:00:00+00:00,HOUSTON ROCKETS,132,BOSTON CELTICS,117
1973-10-26 04:00:00+00:00,GOLDEN STATE WARRIORS,117,SEATTLE SUPERSONICS,110
1973-10-26 04:00:00+00:00,ATLANTA HAWKS,110,PORTLAND TRAIL BLAZERS,127
1973-10-26 04:00:00+00:00,MILWAUKEE BUCKS,98,PHILADELPHIA 76ERS,92
1973-10-26 04:00:00+00:00,DETROIT PISTONS,92,LOS ANGELES LAKERS,94
1973-10-26 04:00:00+00:00,HOUSTON ROCKETS,113,CHICAGO BULLS,121
1973-10-26 04:00:00+00:00,CLEVELAND CAVALIERS,97,BUFFALO BRAVES,104
1973-10-26 04:00:00+00:00,NEW YORK KNICKS,101,BOSTON CELTICS,113
1973-10-26 04:00:00+00:00,PHOENIX SUNS,93,KANSAS CITY-OMAHA KINGS,98
1973-10-27 04:00:00+00:00,BUFFALO BRAVES,111,CLEVELAND CAVALIERS,101
1973-10-27 04:00:00+00:00,ATLANTA HAWKS,125,GOLDEN STATE WARRIORS,116
1973-10-27 04:00:00+00:00,CHICAGO BULLS,102,HOUSTON ROCKETS,92
1973-10-27 04:00:00+00:00,PHOENIX SUNS,95,MILWAUKEE BUCKS,104
1973-10-27 04:00:00+00:00,PHILADELPHIA 76ERS,90,NEW YORK KNICKS,96
1973-10-27 04:00:00+00:00,DETROIT PISTONS,111,PORTLAND TRAIL BLAZERS,98
1973-10-28 04:00:00+00:00,BOSTON CELTICS,99,CLEVELAND CAVALIERS,102
1973-10-28 04:00:00+00:00,DETROIT PISTONS,115,SEATTLE SUPERSONICS,93
1973-10-28 04:00:00+00:00,PORTLAND TRAIL BLAZERS,98,LOS ANGELES LAKERS,111
1973-10-28 04:00:00+00:00,BUFFALO BRAVES,112,KANSAS CITY-OMAHA KINGS,100
1973-10-28 04:00:00+00:00,PHILADELPHIA 76ERS,99,CAPITAL BULLETS,119
1973-10-30 05:00:00+00:00,PHOENIX SUNS,101,ATLANTA HAWKS,122
1973-10-30 05:00:00+00:00,SEATTLE SUPERSONICS,103,BUFFALO BRAVES,105
1973-10-30 05:00:00+00:00,MILWAUKEE BUCKS,112,KANSAS CITY-OMAHA KINGS,78
1973-10-30 05:00:00+00:00,LOS ANGELES LAKERS,112,PORTLAND TRAIL BLAZERS,114
1973-10-31 05:00:00+00:00,CLEVELAND CAVALIERS,110,BOSTON CELTICS,128
1973-10-31 05:00:00+00:00,SEATTLE SUPERSONICS,107,DETROIT PISTONS,114
1973-10-31 05:00:00+00:00,NEW YORK KNICKS,102,HOUSTON ROCKETS,91
1973-11-02 05:00:00+00:00,GOLDEN STATE WARRIORS,105,BOSTON CELTICS,108
1973-11-02 05:00:00+00:00,BUFFALO BRAVES,97,CHICAGO BULLS,107
1973-11-02 05:00:00+00:00,MILWAUKEE BUCKS,118,CLEVELAND CAVALIERS,100
1973-11-02 05:00:00+00:00,PHOENIX SUNS,107,DETROIT PISTONS,114
1973-11-02 05:00:00+00:00,ATLANTA HAWKS,125,HOUSTON ROCKETS,123
1973-11-02 05:00:00+00:00,SEATTLE SUPERSONICS,115,KANSAS CITY-OMAHA KINGS,109
1973-11-02 05:00:00+00:00,NEW YORK KNICKS,106,LOS ANGELES LAKERS,91
1973-11-03 05:00:00+00:00,BOSTON CELTICS,122,ATLANTA HAWKS,109
1973-11-03 05:00:00+00:00,GOLDEN STATE WARRIORS,124,BUFFALO BRAVES,121
1973-11-03 05:00:00+00:00,CLEVELAND CAVALIERS,94,CHICAGO BULLS,105
1973-11-03 05:00:00+00:00,DETROIT PISTONS,115,MILWAUKEE BUCKS,123
1973-11-03 05:00:00+00:00,CAPITAL BULLETS,112,PHILADELPHIA 76ERS,84
1973-11-03 05:00:00+00:00,NEW YORK KNICKS,100,PORTLAND TRAIL BLAZERS,107
1973-11-04 05:00:00+00:00,CHICAGO BULLS,101,BUFFALO BRAVES,95
1973-11-04 05:00:00+00:00,PHOENIX SUNS,99,CAPITAL BULLETS,102
1973-11-04 05:00:00+00:00,ATLANTA HAWKS,115,CLEVELAND CAVALIERS,110
1973-11-04 05:00:00+00:00,GOLDEN STATE WARRIORS,92,KANSAS CITY-OMAHA KINGS,91
1973-11-04 05:00:00+00:00,HOUSTON ROCKETS,93,LOS ANGELES LAKERS,106
1973-11-04 05:00:00+00:00,NEW YORK KNICKS,111,SEATTLE SUPERSONICS,106
1973-11-06 05:00:00+00:00,LOS ANGELES LAKERS,96,CLEVELAND CAVALIERS,115
1973-11-07 05:00:00+00:00,CAPITAL BULLETS,111,HOUSTON ROCKETS,97
1973-11-07 05:00:00+00:00,LOS ANGELES LAKERS,92,MILWAUKEE BUCKS,109
1973-11-07 05:00:00+00:00,PHOENIX SUNS,115,PHILADELPHIA 76ERS,122
1973-11-07 05:00:00+00:00,BUFFALO BRAVES,113,SEATTLE SUPERSONICS,130
