Date,away_team,home_team,away_team_score,home_team_score
19150410,Newark Peppers,Baltimore Terrapins,7,5
19150410,Buffalo Blues,Brooklyn Tip-Tops,9,13
19150410,St. Louis Terriers,Chicago Wales,1,3
19150410,Pittsburgh Rebels,Kansas City Packers,8,0
19150411,Pittsburgh Rebels,Kansas City Packers,2,5
19150412,Newark Peppers,Baltimore Terrapins,8,5
19150412,Buffalo Blues,Brooklyn Tip-Tops,5,7
19150412,Pittsburgh Rebels,Kansas City Packers,0,3
19150413,Newark Peppers,Baltimore Terrapins,3,1
19150413,Buffalo Blues,Brooklyn Tip-Tops,5,4
19150413,Pittsburgh Rebels,Chicago Wales,5,6
19150413,St. Louis Terriers,Kansas City Packers,3,0
19150414,Cleveland Indians,Detroit Tigers,5,1
19150414,Boston Red Sox,Philadelphia Athletics,0,2
19150414,Chicago White Sox,St. Louis Browns,7,6
19150414,New York Yankees,Washington Senators,0,7
19150414,Philadelpia Phillies,Boston Braves,3,0
19150414,St. Louis Cardinals,Chicago Cubs,2,7
19150414,Pittsburgh Pirates,Cincinnati Reds,9,2
19150414,Brooklyn Dodgers,New York Giants,3,16
19150414,Buffalo Blues,Baltimore Terrapins,1,5
19150414,Newark Peppers,Brooklyn Tip-Tops,7,8
19150414,St. Louis Terriers,Kansas City Packers,2,3
19150415,Cleveland Indians,Detroit Tigers,4,5
19150415,Boston Red Sox,Philadelphia Athletics,5,3
19150415,Chicago White Sox,St. Louis Browns,16,0
19150415,New York Yankees,Washington Senators,3,1
19150415,Philadelpia Phillies,Boston Braves,7,1
19150415,St. Louis Cardinals,Chicago Cubs,4,2
19150415,Pittsburgh Pirates,Cincinnati Reds,1,2
19150415,Brooklyn Dodgers,New York Giants,0,2
19150415,Buffalo Blues,Baltimore Terrapins,6,2
19150415,Newark Peppers,Brooklyn Tip-Tops,6,17
19150415,Pittsburgh Rebels,Chicago Wales,3,1
19150415,St. Louis Terriers,Kansas City Packers,3,4
19150416,Cleveland Indians,Detroit Tigers,9,6
19150416,Boston Red Sox,Philadelphia Athletics,6,6
19150416,Chicago White Sox,St. Louis Browns,2,4
19150416,New York Yankees,Washington Senators,2,3
19150416,St. Louis Cardinals,Chicago Cubs,2,4
19150416,Pittsburgh Pirates,Cincinnati Reds,2,4
19150416,Brooklyn Dodgers,New York Giants,5,3
19150416,Pittsburgh Rebels,Chicago Wales,3,4
19150416,Baltimore Terrapins,Newark Peppers,6,2
19150417,Cleveland Indians,Detroit Tigers,0,5
19150417,New York Yankees,Philadelphia Athletics,9,1
19150417,Chicago White Sox,St. Louis Browns,3,4
19150417,Boston Red Sox,Washington Senators,7,5
19150417,Brooklyn Dodgers,Boston Braves,1,5
19150417,St. Louis Cardinals,Chicago Cubs,7,4
19150417,Pittsburgh Pirates,Cincinnati Reds,3,2
19150417,Philadelpia Phillies,New York Giants,7,1
19150417,Brooklyn Tip-Tops,Buffalo Blues,8,4
19150417,Baltimore Terrapins,Newark Peppers,1,5
19150417,Kansas City Packers,Pittsburgh Rebels,1,4
19150417,Chicago Wales,St. Louis Terriers,4,1
19150418,Chicago White Sox,Detroit Tigers,7,8
19150418,Cleveland Indians,St. Louis Browns,6,1
19150418,Pittsburgh Pirates,Chicago Cubs,1,2
19150418,St. Louis Cardinals,Cincinnati Reds,2,6
19150418,Baltimore Terrapins,Newark Peppers,12,5
19150418,Chicago Wales,St. Louis Terriers,1,3
19150419,Chicago White Sox,Detroit Tigers,1,6
19150419,New York Yankees,Philadelphia Athletics,11,6
19150419,Cleveland Indians,St. Louis Browns,2,7
19150419,Boston Red Sox,Washington Senators,2,4
19150419,Brooklyn Dodgers,Boston Braves,2,7
19150419,Brooklyn Dodgers,Boston Braves,4,6
19150419,Pittsburgh Pirates,Chicago Cubs,7,8
19150419,St. Louis Cardinals,Cincinnati Reds,1,4
19150419,Philadelpia Phillies,New York Giants,3,0
19150419,Brooklyn Tip-Tops,Buffalo Blues,10,5
19150419,Baltimore Terrapins,Newark Peppers,2,13
19150419,Kansas City Packers,Pittsburgh Rebels,4,2
19150419,Chicago Wales,St. Louis Terriers,9,1
19150420,Chicago White Sox,Detroit Tigers,3,6
19150420,New York Yankees,Philadelphia Athletics,2,6
19150420,Cleveland Indians,St. Louis Browns,9,0
19150420,Boston Red Sox,Washington Senators,5,2
19150420,Brooklyn Dodgers,Boston Braves,3,4
19150420,Pittsburgh Pirates,Chicago Cubs,8,6
