Date,away_team,home_team,away_team_score,home_team_score
19450417,Boston Red Sox,New York Yankees,4,8
19450417,Washington Senators,Philadelphia Athletics,14,8
19450417,Detroit Tigers,St. Louis Browns,1,7
19450417,Chicago White Sox,Cleveland Indians,5,2
19450417,Philadelpia Phillies,Brooklyn Dodgers,2,8
19450417,New York Giants,Boston Braves,11,6
19450417,St. Louis Cardinals,Chicago Cubs,2,3
19450417,Pittsburgh Pirates,Cincinnati Reds,6,7
19450418,Boston Red Sox,New York Yankees,2,6
19450418,Washington Senators,Philadelphia Athletics,0,1
19450418,Detroit Tigers,St. Louis Browns,11,0
19450418,Philadelpia Phillies,Brooklyn Dodgers,6,2
19450418,New York Giants,Boston Braves,8,4
19450418,Pittsburgh Pirates,Cincinnati Reds,0,6
19450419,Boston Red Sox,New York Yankees,3,4
19450419,Washington Senators,Philadelphia Athletics,4,3
19450419,Detroit Tigers,St. Louis Browns,1,0
19450419,Chicago White Sox,Cleveland Indians,14,6
19450419,Philadelpia Phillies,Brooklyn Dodgers,1,3
19450419,New York Giants,Boston Braves,4,3
19450419,New York Giants,Boston Braves,5,13
19450419,St. Louis Cardinals,Chicago Cubs,8,2
19450419,Pittsburgh Pirates,Cincinnati Reds,5,1
19450420,St. Louis Browns,Chicago White Sox,2,3
19450420,Cleveland Indians,Detroit Tigers,4,1
19450420,New York Yankees,Washington Senators,6,3
19450420,Philadelphia Athletics,Boston Red Sox,5,3
19450420,Brooklyn Dodgers,New York Giants,6,10
19450420,Boston Braves,Philadelpia Phillies,6,5
19450420,Chicago Cubs,Pittsburgh Pirates,4,5
19450421,Philadelphia Athletics,Boston Red Sox,8,2
19450421,New York Yankees,Washington Senators,1,2
19450421,Cleveland Indians,Detroit Tigers,2,3
19450421,Brooklyn Dodgers,New York Giants,2,3
19450421,Chicago Cubs,Pittsburgh Pirates,4,3
19450421,Cincinnati Reds,St. Louis Cardinals,2,3
19450422,St. Louis Browns,Chicago White Sox,3,4
19450422,Cleveland Indians,Detroit Tigers,3,6
19450422,New York Yankees,Washington Senators,5,2
19450422,Philadelphia Athletics,Boston Red Sox,6,1
19450422,St. Louis Browns,Chicago White Sox,3,5
19450422,Brooklyn Dodgers,New York Giants,3,1
19450422,Boston Braves,Philadelpia Phillies,3,2
19450422,Boston Braves,Philadelpia Phillies,6,7
19450422,Cincinnati Reds,St. Louis Cardinals,0,2
19450422,Cincinnati Reds,St. Louis Cardinals,9,7
19450422,Chicago Cubs,Pittsburgh Pirates,3,0
19450422,Chicago Cubs,Pittsburgh Pirates,5,2
19450424,Brooklyn Dodgers,Boston Braves,6,8
19450424,Philadelpia Phillies,New York Giants,2,5
19450425,Chicago Cubs,Cincinnati Reds,4,0
19450426,New York Yankees,Philadelphia Athletics,5,7
19450426,Boston Red Sox,Washington Senators,1,4
