Date,away_team,home_team,away_team_score,home_team_score
19600412,Philadelpia Phillies,Cincinnati Reds,4,9
19600412,Chicago Cubs,Los Angeles Dodgers,2,3
19600412,Pittsburgh Pirates,Milwaukee Braves,3,4
19600412,St. Louis Cardinals,San  Francisco Giants,1,3
19600413,Chicago Cubs,Los Angeles Dodgers,4,0
19600413,St. Louis Cardinals,San  Francisco Giants,1,6
19600414,St. Louis Cardinals,Los Angeles Dodgers,2,3
19600414,Milwaukee Braves,Philadelpia Phillies,4,5
19600414,Cincinnati Reds,Pittsburgh Pirates,0,13
19600414,Chicago Cubs,San  Francisco Giants,6,5
19600416,St. Louis Cardinals,Los Angeles Dodgers,2,3
19600416,Milwaukee Braves,Philadelpia Phillies,13,3
19600416,Cincinnati Reds,Pittsburgh Pirates,11,3
19600416,Chicago Cubs,San  Francisco Giants,1,6
19600417,St. Louis Cardinals,Los Angeles Dodgers,5,7
19600417,Milwaukee Braves,Philadelpia Phillies,8,4
19600417,Cincinnati Reds,Pittsburgh Pirates,0,5
19600417,Cincinnati Reds,Pittsburgh Pirates,5,6
19600417,Chicago Cubs,San  Francisco Giants,3,4
19600418,Boston Red Sox,Washington Senators,1,10
19600419,Washington Senators,Baltimore Orioles,2,3
19600419,New York Yankees,Boston Red Sox,8,4
19600419,Kansas City Athletics,Chicago White Sox,9,10
19600419,Detroit Tigers,Cleveland Indians,4,2
19600419,Philadelpia Phillies,Pittsburgh Pirates,4,3
19600419,Los Angeles Dodgers,San  Francisco Giants,4,0
19600419,Chicago Cubs,St. Louis Cardinals,2,5
19600420,Washington Senators,Baltimore Orioles,8,7
19600420,New York Yankees,Boston Red Sox,1,7
19600420,Detroit Tigers,Cleveland Indians,6,4
19600420,Cincinnati Reds,Milwaukee Braves,10,5
19600420,Philadelpia Phillies,Pittsburgh Pirates,2,4
19600420,Los Angeles Dodgers,San  Francisco Giants,0,1
19600421,Washington Senators,Baltimore Orioles,6,5
19600421,New York Yankees,Boston Red Sox,4,0
19600421,Kansas City Athletics,Chicago White Sox,5,6
19600421,Cincinnati Reds,Milwaukee Braves,0,2
19600421,Philadelpia Phillies,Pittsburgh Pirates,5,11
19600422,Chicago White Sox,Detroit Tigers,5,6
19600422,Cleveland Indians,Kansas City Athletics,1,4
19600422,Baltimore Orioles,New York Yankees,0,5
19600422,Boston Red Sox,Washington Senators,5,4
19600422,San  Francisco Giants,Chicago Cubs,10,8
19600422,Cincinnati Reds,Philadelpia Phillies,7,10
19600422,Milwaukee Braves,Pittsburgh Pirates,2,6
19600422,Los Angeles Dodgers,St. Louis Cardinals,7,11
19600423,Chicago White Sox,Detroit Tigers,2,6
19600423,Cleveland Indians,Kansas City Athletics,5,6
19600423,Baltimore Orioles,New York Yankees,2,3
19600423,Boston Red Sox,Washington Senators,8,3
19600423,San  Francisco Giants,Chicago Cubs,18,2
19600423,Cincinnati Reds,Philadelpia Phillies,2,3
19600423,Milwaukee Braves,Pittsburgh Pirates,4,5
19600423,Los Angeles Dodgers,St. Louis Cardinals,5,9
19600424,Chicago White Sox,Detroit Tigers,4,12
19600424,Cleveland Indians,Kansas City Athletics,7,0
19600424,Baltimore Orioles,New York Yankees,9,15
19600424,Boston Red Sox,Washington Senators,10,11
19600424,San  Francisco Giants,Chicago Cubs,4,9
19600424,Cincinnati Reds,Philadelpia Phillies,5,9
19600424,Cincinnati Reds,Philadelpia Phillies,10,4
19600424,Milwaukee Braves,Pittsburgh Pirates,3,7
19600424,Los Angeles Dodgers,St. Louis Cardinals,2,7
19600425,Chicago White Sox,Kansas City Athletics,1,6
19600425,Baltimore Orioles,Washington Senators,3,2
19600425,San  Francisco Giants,St. Louis Cardinals,9,8
19600426,Cleveland Indians,Detroit Tigers,2,1
19600426,Chicago White Sox,Kansas City Athletics,8,0
19600426,Boston Red Sox,New York Yankees,7,5
19600426,Baltimore Orioles,Washington Senators,11,10
19600426,Los Angeles Dodgers,Chicago Cubs,8,1
19600426,Milwaukee Braves,Cincinnati Reds,4,3
19600426,San  Francisco Giants,St. Louis Cardinals,2,4
19600427,Boston Red Sox,Baltimore Orioles,3,8
19600427,Detroit Tigers,Kansas City Athletics,1,3
19600427,Washington Senators,New York Yankees,5,4
19600427,Los Angeles Dodgers,Chicago Cubs,9,4
19600427,Milwaukee Braves,Cincinnati Reds,8,5
19600427,Pittsburgh Pirates,Philadelpia Phillies,3,2
19600428,Boston Red Sox,Baltimore Orioles,1,6
19600428,Cleveland Indians,Chicago White Sox,1,3
19600428,Detroit Tigers,Kansas City Athletics,1,2
19600428,San  Francisco Giants,Los Angeles Dodgers,7,5
19600428,Pittsburgh Pirates,Philadelpia Phillies,3,0
19600429,New York Yankees,Baltimore Orioles,1,2
19600429,Detroit Tigers,Chicago White Sox,1,3
19600429,Kansas City Athletics,Cleveland Indians,4,5
19600429,San  Francisco Giants,Los Angeles Dodgers,2,10
