Date,away_team,home_team,away_team_score,home_team_score
19110412,New York Yankees,Philadelphia Athletics,2,1
19110412,Cleveland Indians,St. Louis Browns,3,12
19110412,Boston Red Sox,Washington Senators,5,8
19110412,Brooklyn Dodgers,Boston Braves,1,2
19110412,St. Louis Cardinals,Chicago Cubs,3,3
19110412,Pittsburgh Pirates,Cincinnati Reds,14,0
19110412,Philadelpia Phillies,New York Giants,2,0
19110413,Chicago White Sox,Detroit Tigers,2,4
19110413,New York Yankees,Philadelphia Athletics,3,1
19110413,Cleveland Indians,St. Louis Browns,1,3
19110413,Boston Red Sox,Washington Senators,2,3
19110413,Brooklyn Dodgers,Boston Braves,7,2
19110413,Philadelpia Phillies,New York Giants,6,1
19110414,Chicago White Sox,Detroit Tigers,0,6
19110414,Cleveland Indians,St. Louis Browns,7,5
19110414,Brooklyn Dodgers,Boston Braves,15,2
19110414,St. Louis Cardinals,Chicago Cubs,2,1
19110415,Chicago White Sox,Detroit Tigers,0,2
19110415,New York Yankees,Philadelphia Athletics,7,4
19110415,Cleveland Indians,St. Louis Browns,7,3
19110415,Boston Red Sox,Washington Senators,6,2
19110415,Philadelpia Phillies,Boston Braves,4,5
19110415,St. Louis Cardinals,Chicago Cubs,3,3
19110415,Pittsburgh Pirates,Cincinnati Reds,2,3
19110415,Brooklyn Dodgers,New York Giants,3,6
19110416,Cleveland Indians,Detroit Tigers,2,5
19110416,Chicago White Sox,St. Louis Browns,7,1
19110416,Pittsburgh Pirates,Chicago Cubs,4,1
19110416,St. Louis Cardinals,Cincinnati Reds,5,2
19110417,Boston Red Sox,Philadelphia Athletics,0,1
19110417,Chicago White Sox,St. Louis Browns,8,0
19110417,New York Yankees,Washington Senators,6,3
19110417,Philadelpia Phillies,Boston Braves,10,2
19110417,Pittsburgh Pirates,Chicago Cubs,2,7
19110417,St. Louis Cardinals,Cincinnati Reds,1,5
19110417,Brooklyn Dodgers,New York Giants,1,3
19110418,Cleveland Indians,Detroit Tigers,1,5
19110418,Boston Red Sox,Philadelphia Athletics,13,5
19110418,New York Yankees,Washington Senators,0,2
19110418,Philadelpia Phillies,Boston Braves,10,9
19110418,Pittsburgh Pirates,Chicago Cubs,0,3
19110418,St. Louis Cardinals,Cincinnati Reds,1,1
19110418,Brooklyn Dodgers,New York Giants,1,7
19110419,Chicago White Sox,St. Louis Browns,6,3
19110419,Philadelpia Phillies,Boston Braves,5,3
19110419,Philadelpia Phillies,Boston Braves,7,6
19110419,Brooklyn Dodgers,New York Giants,3,4
19110420,Detroit Tigers,Chicago White Sox,6,3
19110420,St. Louis Browns,Cleveland Indians,4,3
19110420,Cincinnati Reds,Pittsburgh Pirates,1,9
19110420,Chicago Cubs,St. Louis Cardinals,9,5
19110421,Philadelphia Athletics,Boston Red Sox,4,13
19110421,St. Louis Browns,Cleveland Indians,5,6
19110421,Washington Senators,New York Yankees,1,0
19110421,Boston Braves,Brooklyn Dodgers,9,5
19110421,New York Giants,Philadelpia Phillies,0,3
19110421,Chicago Cubs,St. Louis Cardinals,6,1
19110422,Philadelphia Athletics,Boston Red Sox,3,4
19110422,Detroit Tigers,Chicago White Sox,2,3
19110422,Chicago Cubs,St. Louis Cardinals,7,4
19110423,Cleveland Indians,Chicago White Sox,5,2
19110423,St. Louis Browns,Detroit Tigers,3,4
19110423,Pittsburgh Pirates,Cincinnati Reds,1,0
19110423,Chicago Cubs,St. Louis Cardinals,7,0
