Date,away_team,home_team,away_team_score,home_team_score
20140322,Los Angeles Dodgers,Arizona Diamondbacks,3,1
20140323,Los Angeles Dodgers,Arizona Diamondbacks,7,5
20140330,Los Angeles Dodgers,San Diego Padres,1,3
20140331,Seattle Mariners,Anaheim Angels,10,3
20140331,Boston Red Sox,Baltimore Orioles,1,2
20140331,Minensota Twins,Chicago White Sox,3,5
20140331,Kansas City Royals,Detroit Tigers,3,4
20140331,Cleveland Indians,Oakland Athletics,2,0
20140331,Toronto Blue Jays,Tampa Bay Devil Rays,2,9
20140331,Philadelpia Phillies,Texas Rangers,14,10
20140331,San  Francisco Giants,Arizona Diamondbacks,9,8
20140331,St. Louis Cardinals,Cincinnati Reds,1,0
20140331,Colorado Rockies,Miami Marlins,1,10
20140331,Atlanta Braves,Milwaukee Brewers,0,2
20140331,Washington Nationals,New York Mets,9,7
20140331,Chicago Cubs,Pittsburgh Pirates,0,1
20140401,Seattle Mariners,Anaheim Angels,8,3
20140401,New York Yankees,Houston Colts,2,6
20140401,Toronto Blue Jays,Tampa Bay Devil Rays,4,2
20140401,Philadelpia Phillies,Texas Rangers,2,3
20140401,San  Francisco Giants,Arizona Diamondbacks,4,5
20140401,Colorado Rockies,Miami Marlins,3,4
20140401,Atlanta Braves,Milwaukee Brewers,5,2
20140401,Los Angeles Dodgers,San Diego Padres,3,2
20140402,Seattle Mariners,Anaheim Angels,8,2
20140402,Boston Red Sox,Baltimore Orioles,6,2
20140402,Minensota Twins,Chicago White Sox,6,7
20140402,Kansas City Royals,Detroit Tigers,1,2
20140402,New York Yankees,Houston Colts,1,3
20140402,Cleveland Indians,Oakland Athletics,1,6
20140402,Cleveland Indians,Oakland Athletics,6,4
20140402,Toronto Blue Jays,Tampa Bay Devil Rays,3,0
20140402,Philadelpia Phillies,Texas Rangers,3,4
20140402,San  Francisco Giants,Arizona Diamondbacks,2,0
20140402,St. Louis Cardinals,Cincinnati Reds,0,1
20140402,Colorado Rockies,Miami Marlins,6,5
20140402,Atlanta Braves,Milwaukee Brewers,1,0
20140402,Washington Nationals,New York Mets,5,1
20140402,Chicago Cubs,Pittsburgh Pirates,3,4
20140402,Los Angeles Dodgers,San Diego Padres,5,1
20140403,Boston Red Sox,Baltimore Orioles,4,3
20140403,Minensota Twins,Chicago White Sox,10,9
20140403,New York Yankees,Houston Colts,4,2
20140403,Seattle Mariners,Oakland Athletics,2,3
20140403,Toronto Blue Jays,Tampa Bay Devil Rays,2,7
20140403,San  Francisco Giants,Arizona Diamondbacks,8,5
20140403,St. Louis Cardinals,Cincinnati Reds,7,6
20140403,Colorado Rockies,Miami Marlins,5,8
20140403,Washington Nationals,New York Mets,8,2
20140403,Chicago Cubs,Pittsburgh Pirates,3,2
20140404,Milwaukee Brewers,Boston Red Sox,6,2
20140404,Minensota Twins,Cleveland Indians,2,7
20140404,Baltimore Orioles,Detroit Tigers,4,10
20140404,Anaheim Angels,Houston Colts,11,1
20140404,Chicago White Sox,Kansas City Royals,5,7
20140404,Texas Rangers,Tampa Bay Devil Rays,1,8
20140404,New York Yankees,Toronto Blue Jays,7,3
20140404,Philadelpia Phillies,Chicago Cubs,7,2
20140404,Arizona Diamondbacks,Colorado Rockies,2,12
20140404,San  Francisco Giants,Los Angeles Dodgers,8,4
20140404,San Diego Padres,Miami Marlins,2,8
20140404,Cincinnati Reds,New York Mets,3,4
20140404,St. Louis Cardinals,Pittsburgh Pirates,2,12
20140404,Atlanta Braves,Washington Nationals,2,1
20140405,Milwaukee Brewers,Boston Red Sox,7,6
20140405,Minensota Twins,Cleveland Indians,7,3
20140405,Baltimore Orioles,Detroit Tigers,6,7
20140405,Anaheim Angels,Houston Colts,5,1
20140405,Chicago White Sox,Kansas City Royals,3,4
20140405,Seattle Mariners,Oakland Athletics,3,1
20140405,Texas Rangers,Tampa Bay Devil Rays,4,5
20140405,New York Yankees,Toronto Blue Jays,0,4
20140405,Philadelpia Phillies,Chicago Cubs,2,0
20140405,Arizona Diamondbacks,Colorado Rockies,4,9
20140405,San  Francisco Giants,Los Angeles Dodgers,7,2
20140405,San Diego Padres,Miami Marlins,0,5
20140405,Cincinnati Reds,New York Mets,3,6
20140405,St. Louis Cardinals,Pittsburgh Pirates,6,1
20140405,Atlanta Braves,Washington Nationals,6,2
20140406,Milwaukee Brewers,Boston Red Sox,4,0
20140406,Minensota Twins,Cleveland Indians,10,7
20140406,Baltimore Orioles,Detroit Tigers,3,1
20140406,Anaheim Angels,Houston Colts,4,7
20140406,Chicago White Sox,Kansas City Royals,5,1
20140406,Seattle Mariners,Oakland Athletics,3,6
20140406,Texas Rangers,Tampa Bay Devil Rays,3,0
20140406,New York Yankees,Toronto Blue Jays,6,4
20140406,Philadelpia Phillies,Chicago Cubs,3,8
20140406,Arizona Diamondbacks,Colorado Rockies,5,3
20140406,San  Francisco Giants,Los Angeles Dodgers,2,6
20140406,San Diego Padres,Miami Marlins,4,2
20140406,Cincinnati Reds,New York Mets,2,1
20140406,St. Louis Cardinals,Pittsburgh Pirates,1,2
20140406,Atlanta Braves,Washington Nationals,1,2
20140407,Texas Rangers,Boston Red Sox,1,5
20140407,Anaheim Angels,Houston Colts,9,1
20140407,Tampa Bay Devil Rays,Kansas City Royals,2,4
20140407,Oakland Athletics,Minensota Twins,8,3
20140407,Baltimore Orioles,New York Yankees,2,4
20140407,Chicago White Sox,Colorado Rockies,1,8
20140407,Cincinnati Reds,St. Louis Cardinals,3,5
20140408,Texas Rangers,Boston Red Sox,10,7
20140408,San Diego Padres,Cleveland Indians,6,8
20140408,Tampa Bay Devil Rays,Kansas City Royals,1,0
20140408,Baltimore Orioles,New York Yankees,14,5
20140408,Anaheim Angels,Seattle Mariners,3,5
20140408,Houston Colts,Toronto Blue Jays,2,5
