Date,away_team,home_team,away_team_score,home_team_score
20070401,New York Mets,St. Louis Cardinals,6,1
20070402,Chicago Cubs,Cincinnati Reds,1,5
20070402,Arizona Diamondbacks,Colorado Rockies,8,6
20070402,Pittsburgh Pirates,Houston Colts,4,2
20070402,Los Angeles Dodgers,Milwaukee Brewers,1,7
20070402,Atlanta Braves,Philadelpia Phillies,5,3
20070402,Florida Marlins,Washington Nationals,9,2
20070402,Texas Rangers,Anaheim Angels,1,4
20070402,Cleveland Indians,Chicago White Sox,12,5
20070402,Toronto Blue Jays,Detroit Tigers,5,3
20070402,Boston Red Sox,Kansas City Royals,1,7
20070402,Baltimore Orioles,Minensota Twins,4,7
20070402,Tampa Bay Devil Rays,New York Yankees,5,9
20070402,Oakland Athletics,Seattle Mariners,0,4
20070403,Arizona Diamondbacks,Colorado Rockies,3,4
20070403,Pittsburgh Pirates,Houston Colts,3,2
20070403,Los Angeles Dodgers,Milwaukee Brewers,3,4
20070403,San Diego Padres,San  Francisco Giants,7,0
20070403,New York Mets,St. Louis Cardinals,4,1
20070403,Florida Marlins,Washington Nationals,9,3
20070403,Texas Rangers,Anaheim Angels,3,8
20070403,Baltimore Orioles,Minensota Twins,2,3
20070403,Oakland Athletics,Seattle Mariners,4,8
20070404,Chicago Cubs,Cincinnati Reds,4,1
20070404,Arizona Diamondbacks,Colorado Rockies,4,11
20070404,Pittsburgh Pirates,Houston Colts,5,4
20070404,Los Angeles Dodgers,Milwaukee Brewers,5,4
20070404,Atlanta Braves,Philadelpia Phillies,3,2
20070404,San Diego Padres,San  Francisco Giants,5,3
20070404,New York Mets,St. Louis Cardinals,10,0
20070404,Florida Marlins,Washington Nationals,6,7
20070404,Texas Rangers,Anaheim Angels,3,5
20070404,Cleveland Indians,Chicago White Sox,8,7
20070404,Toronto Blue Jays,Detroit Tigers,9,10
20070404,Boston Red Sox,Kansas City Royals,7,1
20070404,Baltimore Orioles,Minensota Twins,2,7
20070404,Oakland Athletics,Seattle Mariners,9,0
20070405,Chicago Cubs,Cincinnati Reds,2,5
20070405,Atlanta Braves,Philadelpia Phillies,8,4
20070405,San Diego Padres,San  Francisco Giants,3,5
20070405,Arizona Diamondbacks,Washington Nationals,4,3
20070405,Oakland Athletics,Anaheim Angels,4,3
20070405,Cleveland Indians,Chicago White Sox,3,4
20070405,Boston Red Sox,Kansas City Royals,4,1
20070405,Tampa Bay Devil Rays,New York Yankees,7,6
20070406,New York Mets,Atlanta Braves,11,1
20070406,Pittsburgh Pirates,Cincinnati Reds,1,6
20070406,Philadelpia Phillies,Florida Marlins,8,2
20070406,St. Louis Cardinals,Houston Colts,4,2
20070406,Chicago Cubs,Milwaukee Brewers,9,3
20070406,Colorado Rockies,San Diego Padres,4,3
20070406,Los Angeles Dodgers,San  Francisco Giants,2,1
20070406,Arizona Diamondbacks,Washington Nationals,7,1
20070406,Oakland Athletics,Anaheim Angels,2,5
20070406,Detroit Tigers,Kansas City Royals,1,3
20070406,Baltimore Orioles,New York Yankees,6,4
20070406,Toronto Blue Jays,Tampa Bay Devil Rays,5,6
20070406,Boston Red Sox,Texas Rangers,0,2
20070407,New York Mets,Atlanta Braves,3,5
20070407,Pittsburgh Pirates,Cincinnati Reds,5,7
20070407,Philadelpia Phillies,Florida Marlins,5,8
20070407,St. Louis Cardinals,Houston Colts,1,5
20070407,Chicago Cubs,Milwaukee Brewers,6,3
20070407,Colorado Rockies,San Diego Padres,2,3
20070407,Los Angeles Dodgers,San  Francisco Giants,4,1
20070407,Arizona Diamondbacks,Washington Nationals,7,1
20070407,Oakland Athletics,Anaheim Angels,1,2
20070407,Minensota Twins,Chicago White Sox,0,3
20070407,Detroit Tigers,Kansas City Royals,6,5
20070407,Baltimore Orioles,New York Yankees,7,10
20070407,Toronto Blue Jays,Tampa Bay Devil Rays,8,5
20070407,Boston Red Sox,Texas Rangers,4,8
20070408,New York Mets,Atlanta Braves,2,3
20070408,Pittsburgh Pirates,Cincinnati Reds,6,3
20070408,Philadelpia Phillies,Florida Marlins,4,6
20070408,St. Louis Cardinals,Houston Colts,10,1
20070408,Chicago Cubs,Milwaukee Brewers,4,9
20070408,Colorado Rockies,San Diego Padres,1,2
20070408,Los Angeles Dodgers,San  Francisco Giants,10,4
20070408,Arizona Diamondbacks,Washington Nationals,3,1
20070408,Oakland Athletics,Anaheim Angels,2,1
20070408,Minensota Twins,Chicago White Sox,3,1
20070408,Detroit Tigers,Kansas City Royals,3,2
20070408,Baltimore Orioles,New York Yankees,6,4
20070408,Toronto Blue Jays,Tampa Bay Devil Rays,6,3
20070408,Boston Red Sox,Texas Rangers,3,2
20070409,Cincinnati Reds,Arizona Diamondbacks,2,3
20070409,Houston Colts,Chicago Cubs,5,3
20070409,Milwaukee Brewers,Florida Marlins,3,5
20070409,Colorado Rockies,Los Angeles Dodgers,6,3
20070409,Philadelpia Phillies,New York Mets,5,11
20070409,St. Louis Cardinals,Pittsburgh Pirates,3,0
20070409,San  Francisco Giants,San Diego Padres,0,1
20070409,Detroit Tigers,Baltimore Orioles,2,6
20070409,New York Yankees,Minensota Twins,8,2
20070409,Chicago White Sox,Oakland Athletics,4,1
20070409,Tampa Bay Devil Rays,Texas Rangers,4,8
20070409,Kansas City Royals,Toronto Blue Jays,1,9
20070410,Cincinnati Reds,Arizona Diamondbacks,4,5
20070410,Washington Nationals,Atlanta Braves,0,8
20070410,Houston Colts,Chicago Cubs,4,2
20070410,Milwaukee Brewers,Florida Marlins,3,2
20070410,Colorado Rockies,Los Angeles Dodgers,1,2
20070410,St. Louis Cardinals,Pittsburgh Pirates,3,2
20070410,San  Francisco Giants,San Diego Padres,6,5
20070410,Detroit Tigers,Baltimore Orioles,3,1
20070410,Seattle Mariners,Boston Red Sox,3,14
20070410,Anaheim Angels,Cleveland Indians,6,7
20070410,New York Yankees,Minensota Twins,10,1
20070410,Chicago White Sox,Oakland Athletics,1,2
20070410,Tampa Bay Devil Rays,Texas Rangers,9,12
20070410,Kansas City Royals,Toronto Blue Jays,6,3
20070411,Cincinnati Reds,Arizona Diamondbacks,3,2
20070411,Washington Nationals,Atlanta Braves,3,8
20070411,Milwaukee Brewers,Florida Marlins,5,2
20070411,Colorado Rockies,Los Angeles Dodgers,0,3
20070411,Philadelpia Phillies,New York Mets,5,2
20070411,St. Louis Cardinals,Pittsburgh Pirates,3,2
20070411,San  Francisco Giants,San Diego Padres,0,4
20070411,Detroit Tigers,Baltimore Orioles,4,1
20070411,Seattle Mariners,Boston Red Sox,3,0
20070411,Anaheim Angels,Cleveland Indians,4,1
20070411,New York Yankees,Minensota Twins,1,5
20070411,Chicago White Sox,Oakland Athletics,6,3
20070411,Tampa Bay Devil Rays,Texas Rangers,6,5
20070411,Kansas City Royals,Toronto Blue Jays,4,7
20070412,Washington Nationals,Atlanta Braves,2,0
20070412,Philadelpia Phillies,New York Mets,3,5
20070412,Kansas City Royals,Baltimore Orioles,1,2
20070412,Anaheim Angels,Cleveland Indians,2,4
20070412,Tampa Bay Devil Rays,Minensota Twins,2,3
20070412,Detroit Tigers,Toronto Blue Jays,5,4
20070413,Colorado Rockies,Arizona Diamondbacks,6,3
20070413,Florida Marlins,Atlanta Braves,11,4
20070413,Cincinnati Reds,Chicago Cubs,6,5
20070413,San Diego Padres,Los Angeles Dodgers,1,9
20070413,Washington Nationals,New York Mets,2,3
20070413,Houston Colts,Philadelpia Phillies,9,6
20070413,San  Francisco Giants,Pittsburgh Pirates,8,5
20070413,Kansas City Royals,Baltimore Orioles,1,8
20070413,Anaheim Angels,Boston Red Sox,1,10
20070413,Chicago White Sox,Cleveland Indians,6,4
20070413,Tampa Bay Devil Rays,Minensota Twins,4,2
20070413,New York Yankees,Oakland Athletics,4,5
20070413,Texas Rangers,Seattle Mariners,5,2
20070413,Detroit Tigers,Toronto Blue Jays,1,2
20070414,Colorado Rockies,Arizona Diamondbacks,4,5
20070414,Cincinnati Reds,Chicago Cubs,0,7
20070414,San Diego Padres,Los Angeles Dodgers,7,2
20070414,Washington Nationals,New York Mets,6,2
20070414,Houston Colts,Philadelpia Phillies,5,8
20070414,Milwaukee Brewers,St. Louis Cardinals,3,2
20070414,Kansas City Royals,Baltimore Orioles,4,6
20070414,Anaheim Angels,Boston Red Sox,0,8
20070414,Chicago White Sox,Cleveland Indians,0,4
20070414,Tampa Bay Devil Rays,Minensota Twins,5,12
20070414,New York Yankees,Oakland Athletics,4,3
20070414,Texas Rangers,Seattle Mariners,3,8
20070414,Detroit Tigers,Toronto Blue Jays,10,7
20070415,Colorado Rockies,Arizona Diamondbacks,4,6
20070415,Florida Marlins,Atlanta Braves,4,8
