Date,away_team,home_team,away_team_score,home_team_score
19280410,Boston Red Sox,Washington Senators,7,5
19280411,Washington Senators,Boston Red Sox,8,4
19280411,Cleveland Indians,Chicago White Sox,8,2
19280411,St. Louis Browns,Detroit Tigers,4,1
19280411,New York Yankees,Philadelphia Athletics,8,3
19280411,Philadelpia Phillies,Brooklyn Dodgers,4,3
19280411,Chicago Cubs,Cincinnati Reds,1,5
19280411,Boston Braves,New York Giants,2,5
19280411,Pittsburgh Pirates,St. Louis Cardinals,7,14
19280412,Cleveland Indians,Chicago White Sox,2,1
19280412,St. Louis Browns,Detroit Tigers,7,2
19280412,Chicago Cubs,Cincinnati Reds,3,9
19280412,Pittsburgh Pirates,St. Louis Cardinals,0,5
19280413,Washington Senators,Boston Red Sox,6,4
19280413,Cleveland Indians,Chicago White Sox,1,1
19280413,St. Louis Browns,Detroit Tigers,4,3
19280413,New York Yankees,Philadelphia Athletics,8,7
19280413,Philadelpia Phillies,Brooklyn Dodgers,1,6
19280413,Chicago Cubs,Cincinnati Reds,2,0
19280413,Boston Braves,New York Giants,3,7
19280414,Washington Senators,Boston Red Sox,0,0
19280414,Cleveland Indians,Detroit Tigers,8,6
19280414,Pittsburgh Pirates,Cincinnati Reds,0,5
19280414,Chicago Cubs,St. Louis Cardinals,4,1
19280415,St. Louis Browns,Chicago White Sox,4,1
19280415,Cleveland Indians,Detroit Tigers,2,8
19280415,Boston Red Sox,Washington Senators,5,6
19280415,Boston Braves,Brooklyn Dodgers,2,3
19280415,Pittsburgh Pirates,Cincinnati Reds,3,2
19280415,Philadelpia Phillies,New York Giants,1,8
19280415,Chicago Cubs,St. Louis Cardinals,3,4
19280416,New York Yankees,Boston Red Sox,7,2
19280416,St. Louis Browns,Chicago White Sox,0,7
19280416,Cleveland Indians,Detroit Tigers,5,4
19280416,Washington Senators,Philadelphia Athletics,5,4
19280416,Boston Braves,Brooklyn Dodgers,3,2
19280416,Pittsburgh Pirates,Cincinnati Reds,8,1
19280416,Philadelpia Phillies,New York Giants,7,5
19280416,Chicago Cubs,St. Louis Cardinals,6,3
19280417,St. Louis Browns,Chicago White Sox,2,4
19280417,Cleveland Indians,Detroit Tigers,6,4
19280417,Chicago Cubs,St. Louis Cardinals,3,2
19280418,New York Yankees,Boston Red Sox,10,7
19280418,Chicago White Sox,Cleveland Indians,1,7
19280418,Washington Senators,Philadelphia Athletics,11,6
19280418,Detroit Tigers,St. Louis Browns,4,1
