Date,away_team,home_team,away_team_score,home_team_score
20010401,Texas Rangers,Toronto Blue Jays,1,8
20010402,Boston Red Sox,Baltimore Orioles,1,2
20010402,Chicago White Sox,Cleveland Indians,7,4
20010402,Kansas City Royals,New York Yankees,3,7
20010402,Oakland Athletics,Seattle Mariners,4,5
20010402,Montreal Expos,Chicago Cubs,5,4
20010402,Atlanta Braves,Cincinnati Reds,10,4
20010402,St. Louis Cardinals,Colorado Rockies,0,8
20010402,Philadelpia Phillies,Florida Marlins,6,5
20010402,Milwaukee Brewers,Los Angeles Dodgers,0,1
20010402,San Diego Padres,San  Francisco Giants,2,3
20010403,Minensota Twins,Detroit Tigers,3,2
20010403,Oakland Athletics,Seattle Mariners,5,1
20010403,Toronto Blue Jays,Tampa Bay Devil Rays,1,8
20010403,Anaheim Angels,Texas Rangers,2,3
20010403,New York Mets,Atlanta Braves,6,4
20010403,Pittsburgh Pirates,Cincinnati Reds,2,3
20010403,Philadelpia Phillies,Florida Marlins,4,3
20010403,Milwaukee Brewers,Houston Colts,3,11
20010403,Arizona Diamondbacks,Los Angeles Dodgers,3,2
20010404,Boston Red Sox,Baltimore Orioles,3,0
20010404,Chicago White Sox,Cleveland Indians,4,8
20010404,Kansas City Royals,New York Yankees,2,8
20010404,Oakland Athletics,Seattle Mariners,2,10
20010404,Toronto Blue Jays,Tampa Bay Devil Rays,11,8
20010404,Anaheim Angels,Texas Rangers,3,7
20010404,New York Mets,Atlanta Braves,2,3
20010404,Montreal Expos,Chicago Cubs,3,2
20010404,Pittsburgh Pirates,Cincinnati Reds,6,5
20010404,St. Louis Cardinals,Colorado Rockies,9,13
20010404,Philadelpia Phillies,Florida Marlins,7,3
20010404,Milwaukee Brewers,Houston Colts,6,8
20010404,Arizona Diamondbacks,Los Angeles Dodgers,7,2
20010404,San Diego Padres,San  Francisco Giants,7,8
20010405,Boston Red Sox,Baltimore Orioles,1,2
20010405,Minensota Twins,Detroit Tigers,9,5
20010405,Kansas City Royals,New York Yankees,0,1
20010405,Toronto Blue Jays,Tampa Bay Devil Rays,11,0
20010405,Anaheim Angels,Texas Rangers,10,3
20010405,New York Mets,Atlanta Braves,7,1
20010405,Montreal Expos,Chicago Cubs,1,2
20010405,Pittsburgh Pirates,Cincinnati Reds,1,4
20010405,St. Louis Cardinals,Colorado Rockies,2,11
20010405,Milwaukee Brewers,Houston Colts,2,8
20010405,Arizona Diamondbacks,Los Angeles Dodgers,5,7
20010405,San Diego Padres,San  Francisco Giants,2,8
20010406,Tampa Bay Devil Rays,Boston Red Sox,4,11
20010406,Detroit Tigers,Chicago White Sox,10,9
20010406,Baltimore Orioles,Cleveland Indians,3,4
20010406,Minensota Twins,Kansas City Royals,6,2
20010406,Toronto Blue Jays,New York Yankees,13,4
20010406,Anaheim Angels,Oakland Athletics,5,4
20010406,Seattle Mariners,Texas Rangers,9,7
20010406,St. Louis Cardinals,Arizona Diamondbacks,12,9
20010406,San Diego Padres,Colorado Rockies,10,6
20010406,Atlanta Braves,Florida Marlins,7,5
20010406,Pittsburgh Pirates,Houston Colts,1,4
20010406,San  Francisco Giants,Los Angeles Dodgers,1,10
20010406,Cincinnati Reds,Milwaukee Brewers,4,5
20010406,New York Mets,Montreal Expos,6,10
20010406,Chicago Cubs,Philadelpia Phillies,3,2
20010407,Tampa Bay Devil Rays,Boston Red Sox,2,6
20010407,Detroit Tigers,Chicago White Sox,5,3
20010407,Baltimore Orioles,Cleveland Indians,4,2
20010407,Minensota Twins,Kansas City Royals,3,5
20010407,Toronto Blue Jays,New York Yankees,3,2
20010407,Anaheim Angels,Oakland Athletics,2,4
20010407,Seattle Mariners,Texas Rangers,6,5
20010407,St. Louis Cardinals,Arizona Diamondbacks,8,4
20010407,San Diego Padres,Colorado Rockies,14,10
20010407,Atlanta Braves,Florida Marlins,0,8
20010407,Pittsburgh Pirates,Houston Colts,5,3
20010407,San  Francisco Giants,Los Angeles Dodgers,4,10
20010407,Cincinnati Reds,Milwaukee Brewers,1,6
20010407,New York Mets,Montreal Expos,0,10
20010407,Chicago Cubs,Philadelpia Phillies,8,4
20010408,Tampa Bay Devil Rays,Boston Red Sox,0,3
20010408,Detroit Tigers,Chicago White Sox,5,3
20010408,Baltimore Orioles,Cleveland Indians,3,4
20010408,Minensota Twins,Kansas City Royals,4,15
20010408,Toronto Blue Jays,New York Yankees,5,16
20010408,Anaheim Angels,Oakland Athletics,6,4
20010408,Seattle Mariners,Texas Rangers,4,5
20010408,St. Louis Cardinals,Arizona Diamondbacks,9,4
20010408,San Diego Padres,Colorado Rockies,11,3
20010408,Atlanta Braves,Florida Marlins,1,6
20010408,Pittsburgh Pirates,Houston Colts,9,3
20010408,San  Francisco Giants,Los Angeles Dodgers,8,3
20010408,Cincinnati Reds,Milwaukee Brewers,4,8
20010408,New York Mets,Montreal Expos,2,5
20010408,Chicago Cubs,Philadelpia Phillies,1,3
20010409,Cleveland Indians,Chicago White Sox,2,9
20010409,New York Yankees,Kansas City Royals,13,4
20010409,Detroit Tigers,Minensota Twins,5,11
20010409,Tampa Bay Devil Rays,Toronto Blue Jays,1,8
20010409,Chicago Cubs,Montreal Expos,5,7
20010409,Atlanta Braves,New York Mets,4,9
20010409,Florida Marlins,Philadelpia Phillies,4,5
20010409,Cincinnati Reds,Pittsburgh Pirates,8,2
20010409,Colorado Rockies,St. Louis Cardinals,2,3
20010410,Texas Rangers,Anaheim Angels,7,5
20010410,Baltimore Orioles,Boston Red Sox,1,10
20010410,Cleveland Indians,Chicago White Sox,7,8
20010410,New York Yankees,Kansas City Royals,9,5
20010410,Detroit Tigers,Minensota Twins,2,8
20010410,Seattle Mariners,Oakland Athletics,5,1
20010410,Tampa Bay Devil Rays,Toronto Blue Jays,2,3
20010410,Los Angeles Dodgers,Arizona Diamondbacks,0,2
20010410,Houston Colts,Milwaukee Brewers,3,0
20010410,Chicago Cubs,Montreal Expos,4,2
20010410,Florida Marlins,Philadelpia Phillies,6,7
20010410,San  Francisco Giants,San Diego Padres,11,6
20010411,Texas Rangers,Anaheim Angels,2,7
20010411,Baltimore Orioles,Boston Red Sox,5,4
20010411,Cleveland Indians,Chicago White Sox,6,7
20010411,New York Yankees,Kansas City Royals,8,5
20010411,Detroit Tigers,Minensota Twins,1,12
20010411,Seattle Mariners,Oakland Athletics,3,0
20010411,Tampa Bay Devil Rays,Toronto Blue Jays,4,3
20010411,Los Angeles Dodgers,Arizona Diamondbacks,11,5
20010411,Houston Colts,Milwaukee Brewers,7,1
20010411,Chicago Cubs,Montreal Expos,4,2
20010411,Atlanta Braves,New York Mets,2,0
20010411,Cincinnati Reds,Pittsburgh Pirates,5,6
20010411,San  Francisco Giants,San Diego Padres,2,1
20010411,Colorado Rockies,St. Louis Cardinals,1,3
20010412,Texas Rangers,Anaheim Angels,3,13
20010412,Baltimore Orioles,Boston Red Sox,2,8
20010412,Cleveland Indians,Detroit Tigers,5,3
20010412,Seattle Mariners,Oakland Athletics,7,3
20010412,Los Angeles Dodgers,Arizona Diamondbacks,5,4
20010412,Houston Colts,Milwaukee Brewers,4,12
20010412,Atlanta Braves,New York Mets,0,1
20010412,Cincinnati Reds,Pittsburgh Pirates,11,6
20010412,San  Francisco Giants,San Diego Padres,3,8
20010412,Colorado Rockies,St. Louis Cardinals,6,4
20010413,Seattle Mariners,Anaheim Angels,3,4
20010413,Tampa Bay Devil Rays,Baltimore Orioles,2,0
20010413,New York Yankees,Boston Red Sox,2,3
