Date,away_team,home_team,away_team_score,home_team_score
19610410,Chicago White Sox,Washington Senators,4,3
19610411,Los Angeles Angels,Baltimore Orioles,7,2
19610411,Kansas City Athletics,Boston Red Sox,5,2
19610411,Cleveland Indians,Detroit Tigers,9,5
19610411,Minensota Twins,New York Yankees,6,0
19610411,Chicago Cubs,Cincinnati Reds,1,7
19610411,Philadelpia Phillies,Los Angeles Dodgers,2,6
19610411,St. Louis Cardinals,Milwaukee Braves,2,1
19610411,Pittsburgh Pirates,San  Francisco Giants,8,7
19610412,Philadelpia Phillies,Los Angeles Dodgers,2,3
19610412,Pittsburgh Pirates,San  Francisco Giants,1,2
19610413,Chicago Cubs,Cincinnati Reds,2,5
19610413,Philadelpia Phillies,Los Angeles Dodgers,8,7
19610413,St. Louis Cardinals,Milwaukee Braves,4,5
19610413,Pittsburgh Pirates,San  Francisco Giants,5,6
19610414,Minensota Twins,Baltimore Orioles,3,2
19610414,Chicago White Sox,Detroit Tigers,0,7
19610414,Cleveland Indians,Washington Senators,2,3
19610414,Milwaukee Braves,Chicago Cubs,2,3
19610414,Pittsburgh Pirates,Los Angeles Dodgers,6,3
19610414,Philadelpia Phillies,San  Francisco Giants,0,2
19610414,Cincinnati Reds,St. Louis Cardinals,7,3
19610415,Minensota Twins,Baltimore Orioles,0,8
19610415,Los Angeles Angels,Boston Red Sox,0,3
19610415,Chicago White Sox,Detroit Tigers,2,6
19610415,Kansas City Athletics,New York Yankees,3,5
19610415,Cleveland Indians,Washington Senators,3,1
19610415,Milwaukee Braves,Chicago Cubs,5,9
19610415,Pittsburgh Pirates,Los Angeles Dodgers,4,1
19610415,Philadelpia Phillies,San  Francisco Giants,2,0
19610415,Cincinnati Reds,St. Louis Cardinals,0,4
19610416,Minensota Twins,Baltimore Orioles,10,5
19610416,Minensota Twins,Baltimore Orioles,6,4
19610416,Cleveland Indians,Washington Senators,3,2
19610416,Pittsburgh Pirates,Los Angeles Dodgers,6,13
19610416,Philadelpia Phillies,San  Francisco Giants,2,5
19610416,Cincinnati Reds,St. Louis Cardinals,3,5
19610417,Los Angeles Angels,Boston Red Sox,2,3
19610417,Kansas City Athletics,New York Yankees,0,3
19610417,St. Louis Cardinals,Los Angeles Dodgers,9,5
19610418,Minensota Twins,Boston Red Sox,3,2
19610418,St. Louis Cardinals,Los Angeles Dodgers,4,5
19610418,Chicago Cubs,Pittsburgh Pirates,3,5
19610418,Cincinnati Reds,San  Francisco Giants,9,1
19610419,Washington Senators,Chicago White Sox,7,2
19610419,Detroit Tigers,Cleveland Indians,5,2
19610419,St. Louis Cardinals,Los Angeles Dodgers,2,7
19610419,Chicago Cubs,Pittsburgh Pirates,1,4
19610419,Cincinnati Reds,San  Francisco Giants,4,2
19610420,Washington Senators,Chicago White Sox,1,6
19610420,Detroit Tigers,Cleveland Indians,11,4
19610420,Los Angeles Angels,New York Yankees,5,7
19610420,Los Angeles Angels,New York Yankees,2,4
19610420,St. Louis Cardinals,Los Angeles Dodgers,11,2
19610420,Milwaukee Braves,Philadelpia Phillies,7,6
19610420,Chicago Cubs,Pittsburgh Pirates,3,0
19610420,Cincinnati Reds,San  Francisco Giants,1,2
19610421,New York Yankees,Baltimore Orioles,4,2
19610421,Boston Red Sox,Chicago White Sox,2,3
19610421,Los Angeles Angels,Detroit Tigers,1,9
19610421,Cleveland Indians,Kansas City Athletics,5,3
19610421,Washington Senators,Minensota Twins,5,3
19610421,Cincinnati Reds,Los Angeles Dodgers,3,5
19610421,Chicago Cubs,Philadelpia Phillies,3,2
19610422,New York Yankees,Baltimore Orioles,3,5
19610422,New York Yankees,Baltimore Orioles,5,5
19610422,Boston Red Sox,Chicago White Sox,7,6
19610422,Cleveland Indians,Kansas City Athletics,2,5
19610422,Washington Senators,Minensota Twins,4,5
19610422,Cincinnati Reds,Los Angeles Dodgers,0,1
19610422,Chicago Cubs,Philadelpia Phillies,6,4
19610423,New York Yankees,Baltimore Orioles,1,4
19610423,Boston Red Sox,Chicago White Sox,4,3
19610423,Boston Red Sox,Chicago White Sox,1,7
19610423,Los Angeles Angels,Detroit Tigers,1,3
19610423,Los Angeles Angels,Detroit Tigers,2,3
19610423,Cleveland Indians,Kansas City Athletics,10,8
19610423,Washington Senators,Minensota Twins,0,1
19610423,Cincinnati Reds,Los Angeles Dodgers,1,5
19610423,Chicago Cubs,Philadelpia Phillies,0,1
19610423,Chicago Cubs,Philadelpia Phillies,0,6
19610423,Milwaukee Braves,Pittsburgh Pirates,3,1
19610423,St. Louis Cardinals,San  Francisco Giants,1,2
19610423,St. Louis Cardinals,San  Francisco Giants,7,4
19610424,Cleveland Indians,Baltimore Orioles,5,1
19610424,New York Yankees,Detroit Tigers,3,4
19610424,Minensota Twins,Kansas City Athletics,10,6
19610424,Milwaukee Braves,Pittsburgh Pirates,6,7
19610425,Cleveland Indians,Baltimore Orioles,2,5
19610425,Washington Senators,Boston Red Sox,1,6
19610425,Minensota Twins,Kansas City Athletics,2,20
19610425,San  Francisco Giants,Los Angeles Dodgers,3,1
