Date,away_team,home_team,away_team_score,home_team_score
19310414,Chicago White Sox,Cleveland Indians,4,5
19310414,Boston Red Sox,New York Yankees,3,6
19310414,Detroit Tigers,St. Louis Browns,3,7
19310414,Philadelphia Athletics,Washington Senators,5,3
19310414,Brooklyn Dodgers,Boston Braves,4,7
19310414,Pittsburgh Pirates,Chicago Cubs,2,6
19310414,St. Louis Cardinals,Cincinnati Reds,7,3
19310414,New York Giants,Philadelpia Phillies,9,5
19310415,Chicago White Sox,Cleveland Indians,7,6
19310415,Boston Red Sox,New York Yankees,7,8
19310415,Detroit Tigers,St. Louis Browns,4,6
19310415,Philadelphia Athletics,Washington Senators,1,7
19310415,Brooklyn Dodgers,Boston Braves,3,9
19310415,Pittsburgh Pirates,Chicago Cubs,5,6
19310415,St. Louis Cardinals,Cincinnati Reds,4,0
19310415,New York Giants,Philadelpia Phillies,7,10
19310416,Chicago White Sox,Cleveland Indians,0,7
19310416,Boston Red Sox,New York Yankees,1,2
19310416,Detroit Tigers,St. Louis Browns,6,5
19310416,Philadelphia Athletics,Washington Senators,4,5
19310416,Brooklyn Dodgers,Boston Braves,4,7
19310416,Pittsburgh Pirates,Chicago Cubs,4,3
19310416,St. Louis Cardinals,Cincinnati Reds,6,3
19310416,New York Giants,Philadelpia Phillies,14,4
19310417,Pittsburgh Pirates,Chicago Cubs,4,5
19310418,Chicago White Sox,Cleveland Indians,2,11
19310418,Boston Red Sox,New York Yankees,5,4
19310418,Detroit Tigers,St. Louis Browns,3,7
19310418,Philadelphia Athletics,Washington Senators,1,2
19310418,Brooklyn Dodgers,Boston Braves,3,8
19310418,St. Louis Cardinals,Chicago Cubs,7,5
19310418,Pittsburgh Pirates,Cincinnati Reds,9,6
19310418,New York Giants,Philadelpia Phillies,7,1
19310419,Detroit Tigers,Cleveland Indians,7,2
19310419,Philadelphia Athletics,New York Yankees,3,2
19310419,Chicago White Sox,St. Louis Browns,12,6
19310419,Boston Red Sox,Washington Senators,0,8
19310419,Philadelpia Phillies,Brooklyn Dodgers,6,4
19310419,New York Giants,Boston Braves,9,2
19310419,St. Louis Cardinals,Chicago Cubs,1,4
19310419,Pittsburgh Pirates,Cincinnati Reds,5,1
19310420,Detroit Tigers,Cleveland Indians,3,9
19310420,Philadelphia Athletics,New York Yankees,4,5
19310420,Boston Red Sox,Washington Senators,13,3
19310420,New York Giants,Boston Braves,4,3
19310420,New York Giants,Boston Braves,0,1
19310420,St. Louis Cardinals,Chicago Cubs,3,2
19310420,Pittsburgh Pirates,Cincinnati Reds,5,7
19310420,Brooklyn Dodgers,Philadelpia Phillies,10,5
19310421,Detroit Tigers,Cleveland Indians,4,5
19310421,Philadelphia Athletics,New York Yankees,1,12
19310421,Boston Red Sox,Washington Senators,3,12
19310421,New York Giants,Boston Braves,1,5
19310421,Brooklyn Dodgers,Philadelpia Phillies,3,7
19310422,New York Yankees,Boston Red Sox,7,5
19310422,Cleveland Indians,Chicago White Sox,2,10
19310422,Washington Senators,Philadelphia Athletics,1,5
19310422,Boston Braves,Brooklyn Dodgers,4,0
19310422,Philadelpia Phillies,New York Giants,4,5
19310422,Cincinnati Reds,St. Louis Cardinals,2,3
19310423,Cleveland Indians,Chicago White Sox,8,2
19310423,St. Louis Browns,Detroit Tigers,0,1
19310424,New York Yankees,Boston Red Sox,7,4
19310424,Cleveland Indians,Chicago White Sox,8,1
19310424,St. Louis Browns,Detroit Tigers,2,4
19310424,Washington Senators,Philadelphia Athletics,7,10
19310424,Boston Braves,Brooklyn Dodgers,1,6
19310424,Philadelpia Phillies,New York Giants,7,7
19310424,Chicago Cubs,Pittsburgh Pirates,10,6
19310425,New York Yankees,Boston Red Sox,4,5
19310425,St. Louis Browns,Detroit Tigers,1,3
19310425,Washington Senators,Philadelphia Athletics,2,3
19310425,Boston Braves,Brooklyn Dodgers,5,4
19310425,Philadelpia Phillies,New York Giants,4,3
19310425,Chicago Cubs,Pittsburgh Pirates,8,3
19310426,Detroit Tigers,Chicago White Sox,8,4
19310426,New York Yankees,Washington Senators,7,9
19310426,Chicago Cubs,Cincinnati Reds,3,1
19310426,Pittsburgh Pirates,St. Louis Cardinals,1,0
19310427,New York Yankees,Washington Senators,8,9
19310427,Brooklyn Dodgers,New York Giants,5,8
19310427,Boston Braves,Philadelpia Phillies,2,0
19310427,Pittsburgh Pirates,St. Louis Cardinals,5,3
19310428,Detroit Tigers,Chicago White Sox,5,6
19310428,St. Louis Browns,Cleveland Indians,9,10
19310428,New York Yankees,Washington Senators,7,7
19310428,Brooklyn Dodgers,New York Giants,2,3
19310428,Boston Braves,Philadelpia Phillies,8,9
