Date,away_team,home_team,away_team_score,home_team_score
19350416,Boston Red Sox,New York Yankees,1,0
19350416,Cleveland Indians,St. Louis Browns,2,1
19350416,New York Giants,Boston Braves,2,4
19350416,St. Louis Cardinals,Chicago Cubs,3,4
19350416,Pittsburgh Pirates,Cincinnati Reds,12,6
19350416,Brooklyn Dodgers,Philadelpia Phillies,12,3
19350417,Chicago White Sox,Detroit Tigers,7,6
19350417,Boston Red Sox,New York Yankees,4,3
19350417,Philadelphia Athletics,Washington Senators,2,4
19350417,Cincinnati Reds,Pittsburgh Pirates,7,4
19350418,Chicago White Sox,Detroit Tigers,4,5
19350418,Boston Red Sox,New York Yankees,0,4
19350418,Philadelphia Athletics,Washington Senators,5,6
19350418,St. Louis Cardinals,Chicago Cubs,1,0
19350418,Brooklyn Dodgers,Philadelpia Phillies,9,10
19350418,Cincinnati Reds,Pittsburgh Pirates,9,4
19350419,Chicago White Sox,Detroit Tigers,3,2
19350419,Philadelphia Athletics,New York Yankees,6,5
19350419,Boston Red Sox,Washington Senators,10,4
19350419,Brooklyn Dodgers,Boston Braves,4,2
19350419,Brooklyn Dodgers,Boston Braves,4,2
19350419,Cincinnati Reds,Chicago Cubs,4,0
19350419,New York Giants,Philadelpia Phillies,7,18
19350419,St. Louis Cardinals,Pittsburgh Pirates,0,3
19350420,Cleveland Indians,Detroit Tigers,2,1
19350420,Philadelphia Athletics,New York Yankees,1,3
19350420,Chicago White Sox,St. Louis Browns,4,9
19350420,Boston Red Sox,Washington Senators,4,0
19350420,Brooklyn Dodgers,Boston Braves,1,7
19350420,Cincinnati Reds,Chicago Cubs,3,4
19350420,New York Giants,Philadelpia Phillies,6,4
19350420,St. Louis Cardinals,Pittsburgh Pirates,4,1
19350421,Cleveland Indians,Detroit Tigers,2,3
19350421,Philadelphia Athletics,New York Yankees,3,4
19350421,Chicago White Sox,St. Louis Browns,6,5
19350421,Brooklyn Dodgers,Boston Braves,8,1
19350421,Cincinnati Reds,Chicago Cubs,8,4
19350421,New York Giants,Philadelpia Phillies,4,4
19350421,St. Louis Cardinals,Pittsburgh Pirates,6,1
19350422,Cleveland Indians,Detroit Tigers,5,0
19350422,Chicago White Sox,St. Louis Browns,5,6
19350422,Boston Red Sox,Washington Senators,4,2
19350422,New York Giants,Philadelpia Phillies,8,1
19350423,New York Yankees,Boston Red Sox,4,7
19350423,Detroit Tigers,Chicago White Sox,2,7
19350423,St. Louis Browns,Cleveland Indians,6,7
19350423,Washington Senators,Philadelphia Athletics,6,4
19350423,Philadelpia Phillies,Brooklyn Dodgers,5,12
19350423,Pittsburgh Pirates,Cincinnati Reds,4,3
19350423,Boston Braves,New York Giants,5,6
19350423,Chicago Cubs,St. Louis Cardinals,5,9
19350424,Detroit Tigers,Chicago White Sox,4,10
19350424,St. Louis Browns,Cleveland Indians,2,3
19350424,Washington Senators,Philadelphia Athletics,3,2
19350424,Philadelpia Phillies,Brooklyn Dodgers,1,4
19350424,Pittsburgh Pirates,Cincinnati Reds,5,2
19350424,Boston Braves,New York Giants,1,3
19350424,Chicago Cubs,St. Louis Cardinals,7,6
19350425,New York Yankees,Boston Red Sox,12,4
19350425,Detroit Tigers,Chicago White Sox,8,9
19350425,St. Louis Browns,Cleveland Indians,6,7
19350425,Washington Senators,Philadelphia Athletics,0,10
19350425,Philadelpia Phillies,Brooklyn Dodgers,0,6
19350425,Pittsburgh Pirates,Cincinnati Reds,0,6
19350425,Boston Braves,New York Giants,1,2
19350425,Chicago Cubs,St. Louis Cardinals,7,5
19350426,Washington Senators,Boston Red Sox,10,5
19350426,St. Louis Browns,Chicago White Sox,4,11
19350426,Detroit Tigers,Cleveland Indians,3,11
19350426,New York Yankees,Philadelphia Athletics,11,2
19350426,Boston Braves,Brooklyn Dodgers,4,5
19350426,Chicago Cubs,Cincinnati Reds,3,2
19350426,Philadelpia Phillies,New York Giants,5,5
19350426,Pittsburgh Pirates,St. Louis Cardinals,2,3
