Date,away_team,home_team,away_team_score,home_team_score
19090412,Boston Red Sox,Philadelphia Athletics,1,8
19090412,New York Yankees,Washington Senators,1,4
19090413,Boston Red Sox,Philadelphia Athletics,4,2
19090413,New York Yankees,Washington Senators,5,0
19090414,Chicago White Sox,Detroit Tigers,0,2
19090414,Cleveland Indians,St. Louis Browns,4,2
19090414,Philadelpia Phillies,Boston Braves,5,9
19090414,St. Louis Cardinals,Chicago Cubs,1,3
19090414,Pittsburgh Pirates,Cincinnati Reds,3,0
19090415,Chicago White Sox,Detroit Tigers,1,3
19090415,Cleveland Indians,St. Louis Browns,4,3
19090415,New York Yankees,Washington Senators,4,1
19090415,St. Louis Cardinals,Chicago Cubs,4,10
19090415,Pittsburgh Pirates,Cincinnati Reds,2,7
19090415,Brooklyn Dodgers,New York Giants,3,0
19090416,Chicago White Sox,Detroit Tigers,2,10
19090416,New York Yankees,Philadelphia Athletics,1,0
19090416,Cleveland Indians,St. Louis Browns,5,6
19090416,Boston Red Sox,Washington Senators,2,3
19090416,Philadelpia Phillies,Boston Braves,0,2
19090416,St. Louis Cardinals,Chicago Cubs,3,1
19090416,Pittsburgh Pirates,Cincinnati Reds,3,4
19090416,Brooklyn Dodgers,New York Giants,0,3
19090417,Cleveland Indians,Detroit Tigers,5,6
19090417,New York Yankees,Philadelphia Athletics,4,6
19090417,Chicago White Sox,St. Louis Browns,3,1
19090417,Boston Red Sox,Washington Senators,6,1
19090417,Brooklyn Dodgers,Boston Braves,1,5
19090417,St. Louis Cardinals,Chicago Cubs,4,1
19090417,Pittsburgh Pirates,Cincinnati Reds,5,8
19090417,Philadelpia Phillies,New York Giants,1,4
19090418,Cleveland Indians,Detroit Tigers,2,3
19090418,Chicago White Sox,St. Louis Browns,2,6
19090418,Pittsburgh Pirates,Chicago Cubs,1,0
19090418,St. Louis Cardinals,Cincinnati Reds,3,5
19090419,New York Yankees,Philadelphia Athletics,4,2
19090419,Boston Red Sox,Washington Senators,8,4
19090419,Brooklyn Dodgers,Boston Braves,2,3
19090419,Brooklyn Dodgers,Boston Braves,5,0
19090419,St. Louis Cardinals,Cincinnati Reds,2,3
19090419,Philadelpia Phillies,New York Giants,3,2
19090420,Cleveland Indians,Detroit Tigers,12,2
19090421,Philadelphia Athletics,Boston Red Sox,2,6
19090421,St. Louis Cardinals,Cincinnati Reds,9,5
19090422,Philadelphia Athletics,Boston Red Sox,1,0
19090422,Detroit Tigers,Chicago White Sox,1,3
19090422,St. Louis Browns,Cleveland Indians,6,4
19090422,Washington Senators,New York Yankees,1,8
19090422,New York Giants,Brooklyn Dodgers,8,5
19090422,Boston Braves,Philadelpia Phillies,0,4
19090422,Cincinnati Reds,Pittsburgh Pirates,7,4
19090422,Chicago Cubs,St. Louis Cardinals,7,3
19090423,Detroit Tigers,Chicago White Sox,3,1
19090423,St. Louis Browns,Cleveland Indians,3,1
19090423,Chicago Cubs,St. Louis Cardinals,3,6
19090423,Cincinnati Reds,Pittsburgh Pirates,1,2
19090424,Philadelphia Athletics,Boston Red Sox,4,1
19090424,Detroit Tigers,Chicago White Sox,1,3
19090424,St. Louis Browns,Cleveland Indians,3,7
19090424,Washington Senators,New York Yankees,0,17
19090424,New York Giants,Brooklyn Dodgers,0,2
19090424,Boston Braves,Philadelpia Phillies,0,4
19090424,Cincinnati Reds,Pittsburgh Pirates,4,0
19090424,Chicago Cubs,St. Louis Cardinals,5,1
19090425,St. Louis Browns,Chicago White Sox,0,1
19090425,Cleveland Indians,Detroit Tigers,0,3
19090425,Pittsburgh Pirates,Cincinnati Reds,2,1
19090425,Chicago Cubs,St. Louis Cardinals,5,4
19090426,New York Yankees,Boston Red Sox,0,1
19090426,St. Louis Browns,Chicago White Sox,0,1
19090426,Detroit Tigers,Cleveland Indians,4,2
19090426,Philadelphia Athletics,Washington Senators,3,1
19090426,Chicago Cubs,Cincinnati Reds,6,2
19090426,Boston Braves,New York Giants,3,2
19090426,Brooklyn Dodgers,Philadelpia Phillies,4,6
19090426,Pittsburgh Pirates,St. Louis Cardinals,4,3
19090427,New York Yankees,Boston Red Sox,4,3
19090427,St. Louis Browns,Chicago White Sox,0,1
19090427,Boston Braves,New York Giants,10,0
19090427,Brooklyn Dodgers,Philadelpia Phillies,2,3
19090427,Pittsburgh Pirates,St. Louis Cardinals,7,6
19090428,New York Yankees,Boston Red Sox,2,12
19090428,Detroit Tigers,Cleveland Indians,8,1
19090428,Philadelphia Athletics,Washington Senators,2,3
19090428,Chicago Cubs,Cincinnati Reds,6,5
19090428,Boston Braves,New York Giants,3,5
19090428,Brooklyn Dodgers,Philadelpia Phillies,6,1
19090428,Pittsburgh Pirates,St. Louis Cardinals,2,8
19090429,New York Yankees,Boston Red Sox,4,10
19090429,Chicago Cubs,Cincinnati Reds,5,4
19090429,Chicago Cubs,Cincinnati Reds,2,3
19090430,St. Louis Browns,Detroit Tigers,2,4
19090430,New York Giants,Philadelpia Phillies,1,2
19090501,St. Louis Browns,Detroit Tigers,2,5
19090501,Cincinnati Reds,St. Louis Cardinals,8,7
19090502,Detroit Tigers,Chicago White Sox,6,5
19090502,Cleveland Indians,St. Louis Browns,1,0
19090502,Pittsburgh Pirates,Chicago Cubs,5,2
19090502,Pittsburgh Pirates,Chicago Cubs,6,0
19090502,Cincinnati Reds,St. Louis Cardinals,4,5
19090502,Cincinnati Reds,St. Louis Cardinals,13,8
19090503,Washington Senators,Boston Red Sox,1,7
19090503,Detroit Tigers,Chicago White Sox,0,4
19090503,Philadelphia Athletics,New York Yankees,6,9
19090503,Boston Braves,Brooklyn Dodgers,9,7
19090503,Pittsburgh Pirates,Chicago Cubs,9,2
19090503,New York Giants,Philadelpia Phillies,1,5
19090503,Cincinnati Reds,St. Louis Cardinals,3,5
19090504,Washington Senators,Boston Red Sox,1,0
19090504,Chicago White Sox,Cleveland Indians,2,10
19090504,Philadelphia Athletics,New York Yankees,3,11
19090504,Detroit Tigers,St. Louis Browns,2,4
19090504,Boston Braves,Brooklyn Dodgers,7,6
19090504,Boston Braves,Brooklyn Dodgers,2,5
19090504,Pittsburgh Pirates,Chicago Cubs,1,0
19090504,New York Giants,Philadelpia Phillies,2,5
19090505,Chicago White Sox,Cleveland Indians,6,5
19090505,Boston Red Sox,New York Yankees,0,2
19090505,Washington Senators,Philadelphia Athletics,4,3
19090505,Detroit Tigers,St. Louis Browns,3,1
19090505,Philadelpia Phillies,Brooklyn Dodgers,3,8
