Date,away_team,home_team,away_team_score,home_team_score
19780405,Minensota Twins,Seattle Mariners,2,3
19780406,Minensota Twins,Seattle Mariners,5,4
19780406,Houston Colts,Cincinnati Reds,9,11
19780407,Oakland Athletics,California Angels,0,1
19780407,Boston Red Sox,Chicago White Sox,5,6
19780407,Toronto Blue Jays,Detroit Tigers,2,6
19780407,Baltimore Orioles,Milwaukee Brewers,3,11
19780407,Minensota Twins,Seattle Mariners,3,6
19780407,Los Angeles Dodgers,Atlanta Braves,13,4
19780407,Houston Colts,Cincinnati Reds,4,5
19780407,Montreal Expos,New York Mets,1,3
19780407,St. Louis Cardinals,Philadelpia Phillies,5,1
19780407,Chicago Cubs,Pittsburgh Pirates,0,1
19780407,San Diego Padres,San  Francisco Giants,3,2
19780408,Oakland Athletics,California Angels,4,2
19780408,Boston Red Sox,Chicago White Sox,5,6
19780408,Kansas City Royals,Cleveland Indians,5,8
19780408,Toronto Blue Jays,Detroit Tigers,5,2
19780408,Baltimore Orioles,Milwaukee Brewers,3,16
19780408,Minensota Twins,Seattle Mariners,8,2
19780408,New York Yankees,Texas Rangers,1,2
19780408,Los Angeles Dodgers,Atlanta Braves,6,2
19780408,Houston Colts,Cincinnati Reds,1,2
19780408,Montreal Expos,New York Mets,5,6
19780408,St. Louis Cardinals,Philadelpia Phillies,0,7
19780408,Chicago Cubs,Pittsburgh Pirates,3,4
19780408,San Diego Padres,San  Francisco Giants,0,6
19780409,Oakland Athletics,California Angels,2,3
19780409,Boston Red Sox,Chicago White Sox,5,0
19780409,Kansas City Royals,Cleveland Indians,5,4
19780409,Toronto Blue Jays,Detroit Tigers,4,8
19780409,Baltimore Orioles,Milwaukee Brewers,5,13
19780409,Minensota Twins,Seattle Mariners,8,6
19780409,New York Yankees,Texas Rangers,7,1
19780409,Los Angeles Dodgers,Atlanta Braves,7,4
19780409,Houston Colts,Cincinnati Reds,3,9
19780409,Montreal Expos,New York Mets,5,6
19780409,Montreal Expos,New York Mets,5,0
19780409,St. Louis Cardinals,Philadelpia Phillies,3,12
19780409,Chicago Cubs,Pittsburgh Pirates,4,3
19780409,San Diego Padres,San  Francisco Giants,5,7
19780410,Minensota Twins,California Angels,0,3
19780410,Boston Red Sox,Cleveland Indians,4,5
19780410,Baltimore Orioles,Kansas City Royals,2,4
19780410,Seattle Mariners,Oakland Athletics,0,1
19780410,New York Yankees,Texas Rangers,2,5
19780410,San Diego Padres,Atlanta Braves,7,8
19780410,Los Angeles Dodgers,Houston Colts,5,2
19780410,Chicago Cubs,New York Mets,0,6
19780410,Pittsburgh Pirates,St. Louis Cardinals,2,11
19780411,Minensota Twins,California Angels,8,1
19780411,Toronto Blue Jays,Chicago White Sox,5,9
19780411,New York Yankees,Milwaukee Brewers,6,9
19780411,Seattle Mariners,Oakland Athletics,0,2
19780411,Detroit Tigers,Texas Rangers,6,2
19780411,San Diego Padres,Atlanta Braves,3,2
19780411,San  Francisco Giants,Cincinnati Reds,3,2
19780411,Los Angeles Dodgers,Houston Colts,0,1
19780411,Chicago Cubs,New York Mets,4,2
19780412,Minensota Twins,California Angels,5,9
19780412,Toronto Blue Jays,Chicago White Sox,4,5
19780412,Boston Red Sox,Cleveland Indians,6,3
19780412,Baltimore Orioles,Kansas City Royals,2,5
19780412,New York Yankees,Milwaukee Brewers,3,5
19780412,Seattle Mariners,Oakland Athletics,3,4
19780412,Detroit Tigers,Texas Rangers,3,2
19780412,San  Francisco Giants,Cincinnati Reds,3,12
19780412,Los Angeles Dodgers,Houston Colts,10,11
19780412,Chicago Cubs,New York Mets,4,2
19780412,Montreal Expos,Philadelpia Phillies,8,7
19780412,Pittsburgh Pirates,St. Louis Cardinals,1,5
19780413,Minensota Twins,California Angels,0,1
19780413,Chicago White Sox,New York Yankees,2,4
19780413,Seattle Mariners,Oakland Athletics,1,3
19780413,San  Francisco Giants,Cincinnati Reds,6,7
19780413,Pittsburgh Pirates,St. Louis Cardinals,5,6
19780414,Milwaukee Brewers,Baltimore Orioles,5,6
19780414,Texas Rangers,Boston Red Sox,4,5
19780414,Cleveland Indians,Kansas City Royals,1,3
19780414,Seattle Mariners,Minensota Twins,5,14
19780414,California Angels,Oakland Athletics,1,2
19780414,Detroit Tigers,Toronto Blue Jays,8,10
19780414,Pittsburgh Pirates,Chicago Cubs,4,5
19780414,Cincinnati Reds,Houston Colts,8,4
19780414,Atlanta Braves,Los Angeles Dodgers,1,5
19780414,New York Mets,Montreal Expos,3,2
19780414,San  Francisco Giants,San Diego Padres,3,2
19780414,Philadelpia Phillies,St. Louis Cardinals,4,3
19780415,Milwaukee Brewers,Baltimore Orioles,0,7
19780415,Texas Rangers,Boston Red Sox,4,12
19780415,Cleveland Indians,Kansas City Royals,5,6
19780415,Seattle Mariners,Minensota Twins,5,6
19780415,Chicago White Sox,New York Yankees,2,3
19780415,Detroit Tigers,Toronto Blue Jays,6,3
19780415,Pittsburgh Pirates,Chicago Cubs,13,10
19780415,Cincinnati Reds,Houston Colts,1,6
19780415,New York Mets,Montreal Expos,3,4
19780415,Philadelpia Phillies,St. Louis Cardinals,3,2
19780416,Milwaukee Brewers,Baltimore Orioles,5,7
19780416,Milwaukee Brewers,Baltimore Orioles,9,2
19780416,Texas Rangers,Boston Red Sox,6,8
19780416,Cleveland Indians,Kansas City Royals,1,2
19780416,Seattle Mariners,Minensota Twins,8,5
19780416,Seattle Mariners,Minensota Twins,7,2
19780416,Chicago White Sox,New York Yankees,0,3
19780416,California Angels,Oakland Athletics,2,1
19780416,Detroit Tigers,Toronto Blue Jays,4,3
19780416,Pittsburgh Pirates,Chicago Cubs,1,5
19780416,Cincinnati Reds,Houston Colts,3,4
