Date,away_team,home_team,away_team_score,home_team_score
20090405,Atlanta Braves,Philadelpia Phillies,4,1
20090406,Colorado Rockies,Arizona Diamondbacks,8,9
20090406,New York Mets,Cincinnati Reds,2,1
20090406,Washington Nationals,Florida Marlins,6,12
20090406,Chicago Cubs,Houston Colts,4,2
20090406,Los Angeles Dodgers,San Diego Padres,4,1
20090406,Pittsburgh Pirates,St. Louis Cardinals,6,4
20090406,Oakland Athletics,Anaheim Angels,0,3
20090406,New York Yankees,Baltimore Orioles,5,10
20090406,Seattle Mariners,Minensota Twins,6,1
20090406,Cleveland Indians,Texas Rangers,1,9
20090406,Detroit Tigers,Toronto Blue Jays,5,12
20090407,Colorado Rockies,Arizona Diamondbacks,3,0
20090407,Washington Nationals,Florida Marlins,3,8
20090407,Chicago Cubs,Houston Colts,2,3
20090407,Atlanta Braves,Philadelpia Phillies,4,0
20090407,Los Angeles Dodgers,San Diego Padres,2,4
20090407,Milwaukee Brewers,San  Francisco Giants,6,10
20090407,Pittsburgh Pirates,St. Louis Cardinals,3,9
20090407,Oakland Athletics,Anaheim Angels,6,4
20090407,Tampa Bay Devil Rays,Boston Red Sox,3,5
20090407,Kansas City Royals,Chicago White Sox,2,4
20090407,Seattle Mariners,Minensota Twins,5,6
20090407,Detroit Tigers,Toronto Blue Jays,4,5
20090408,Colorado Rockies,Arizona Diamondbacks,9,2
20090408,New York Mets,Cincinnati Reds,9,7
20090408,Washington Nationals,Florida Marlins,4,6
20090408,Chicago Cubs,Houston Colts,11,6
20090408,Atlanta Braves,Philadelpia Phillies,11,12
20090408,Los Angeles Dodgers,San Diego Padres,5,2
20090408,Milwaukee Brewers,San  Francisco Giants,4,2
20090408,Pittsburgh Pirates,St. Louis Cardinals,7,4
20090408,Oakland Athletics,Anaheim Angels,6,4
20090408,New York Yankees,Baltimore Orioles,5,7
20090408,Tampa Bay Devil Rays,Boston Red Sox,7,2
20090408,Kansas City Royals,Chicago White Sox,2,0
20090408,Seattle Mariners,Minensota Twins,5,6
20090408,Cleveland Indians,Texas Rangers,5,8
20090408,Detroit Tigers,Toronto Blue Jays,5,1
20090409,New York Mets,Cincinnati Reds,6,8
20090409,Los Angeles Dodgers,San Diego Padres,3,4
20090409,Milwaukee Brewers,San  Francisco Giants,1,7
20090409,Pittsburgh Pirates,St. Louis Cardinals,1,2
20090409,New York Yankees,Baltimore Orioles,11,2
20090409,Tampa Bay Devil Rays,Boston Red Sox,4,3
20090409,Kansas City Royals,Chicago White Sox,2,1
20090409,Seattle Mariners,Minensota Twins,2,0
20090409,Cleveland Indians,Texas Rangers,8,12
20090409,Detroit Tigers,Toronto Blue Jays,2,6
20090410,Los Angeles Dodgers,Arizona Diamondbacks,4,9
20090410,Washington Nationals,Atlanta Braves,5,6
20090410,Philadelpia Phillies,Colorado Rockies,3,10
20090410,New York Mets,Florida Marlins,4,5
20090410,Chicago Cubs,Milwaukee Brewers,3,4
20090410,San  Francisco Giants,San Diego Padres,3,7
20090410,Houston Colts,St. Louis Cardinals,3,5
20090410,Boston Red Sox,Anaheim Angels,3,6
20090410,Tampa Bay Devil Rays,Baltimore Orioles,4,5
20090410,Minensota Twins,Chicago White Sox,12,5
20090410,Toronto Blue Jays,Cleveland Indians,13,7
20090410,Texas Rangers,Detroit Tigers,2,15
20090410,New York Yankees,Kansas City Royals,4,1
20090410,Seattle Mariners,Oakland Athletics,5,4
20090411,Los Angeles Dodgers,Arizona Diamondbacks,11,2
20090411,Washington Nationals,Atlanta Braves,3,5
20090411,Pittsburgh Pirates,Cincinnati Reds,10,2
20090411,Philadelpia Phillies,Colorado Rockies,8,4
20090411,New York Mets,Florida Marlins,8,4
20090411,Chicago Cubs,Milwaukee Brewers,6,5
20090411,San  Francisco Giants,San Diego Padres,3,6
20090411,Houston Colts,St. Louis Cardinals,2,11
20090411,Boston Red Sox,Anaheim Angels,5,4
20090411,Tampa Bay Devil Rays,Baltimore Orioles,0,6
20090411,Minensota Twins,Chicago White Sox,0,8
20090411,Toronto Blue Jays,Cleveland Indians,5,4
20090411,Texas Rangers,Detroit Tigers,3,4
20090411,New York Yankees,Kansas City Royals,6,1
20090411,Seattle Mariners,Oakland Athletics,8,5
20090412,Los Angeles Dodgers,Arizona Diamondbacks,3,1
20090412,Washington Nationals,Atlanta Braves,5,8
20090412,Pittsburgh Pirates,Cincinnati Reds,0,2
20090412,Philadelpia Phillies,Colorado Rockies,7,5
20090412,New York Mets,Florida Marlins,1,2
20090412,Chicago Cubs,Milwaukee Brewers,8,5
20090412,San  Francisco Giants,San Diego Padres,1,6
20090412,Houston Colts,St. Louis Cardinals,0,3
20090412,Boston Red Sox,Anaheim Angels,4,5
20090412,Tampa Bay Devil Rays,Baltimore Orioles,11,3
20090412,Minensota Twins,Chicago White Sox,1,6
20090412,Toronto Blue Jays,Cleveland Indians,4,8
20090412,Texas Rangers,Detroit Tigers,4,6
20090412,New York Yankees,Kansas City Royals,4,6
20090412,Seattle Mariners,Oakland Athletics,1,0
20090413,St. Louis Cardinals,Arizona Diamondbacks,2,1
20090413,Colorado Rockies,Chicago Cubs,0,4
20090413,San  Francisco Giants,Los Angeles Dodgers,1,11
20090413,Cincinnati Reds,Milwaukee Brewers,7,6
20090413,San Diego Padres,New York Mets,6,5
20090413,Houston Colts,Pittsburgh Pirates,0,7
20090413,Philadelpia Phillies,Washington Nationals,9,8
20090413,Chicago White Sox,Detroit Tigers,10,6
20090413,Cleveland Indians,Kansas City Royals,2,4
20090413,Toronto Blue Jays,Minensota Twins,8,6
20090413,Boston Red Sox,Oakland Athletics,2,8
20090413,New York Yankees,Tampa Bay Devil Rays,5,15
20090413,Baltimore Orioles,Texas Rangers,10,9
20090414,St. Louis Cardinals,Arizona Diamondbacks,6,7
20090414,Florida Marlins,Atlanta Braves,5,1
20090414,Cincinnati Reds,Milwaukee Brewers,6,1
20090414,Cleveland Indians,Kansas City Royals,3,9
20090414,Toronto Blue Jays,Minensota Twins,2,3
20090414,Boston Red Sox,Oakland Athletics,5,6
20090414,Anaheim Angels,Seattle Mariners,2,3
20090414,New York Yankees,Tampa Bay Devil Rays,7,2
20090414,Baltimore Orioles,Texas Rangers,7,5
