Date,away_team,home_team,away_team_score,home_team_score
19300414,Boston Red Sox,Washington Senators,4,3
19300415,Washington Senators,Boston Red Sox,6,1
19300415,St. Louis Browns,Detroit Tigers,3,6
19300415,New York Yankees,Philadelphia Athletics,2,6
19300415,Philadelpia Phillies,Brooklyn Dodgers,1,0
19300415,Pittsburgh Pirates,Cincinnati Reds,7,6
19300415,Boston Braves,New York Giants,2,3
19300415,Chicago Cubs,St. Louis Cardinals,9,8
19300416,Washington Senators,Boston Red Sox,5,4
19300416,Pittsburgh Pirates,Cincinnati Reds,1,3
19300416,Chicago Cubs,St. Louis Cardinals,3,13
19300417,Cleveland Indians,Chicago White Sox,7,8
19300417,St. Louis Browns,Detroit Tigers,1,6
19300417,Pittsburgh Pirates,Cincinnati Reds,7,1
19300417,Chicago Cubs,St. Louis Cardinals,3,0
19300418,Cleveland Indians,Detroit Tigers,7,1
19300418,Pittsburgh Pirates,Cincinnati Reds,5,3
19300418,Chicago Cubs,St. Louis Cardinals,1,11
19300419,New York Yankees,Boston Red Sox,3,4
19300419,New York Yankees,Boston Red Sox,2,7
19300419,St. Louis Browns,Chicago White Sox,7,2
19300419,Cleveland Indians,Detroit Tigers,4,6
19300419,Washington Senators,Philadelphia Athletics,0,9
19300419,Boston Braves,Brooklyn Dodgers,10,8
19300419,Chicago Cubs,Cincinnati Reds,1,2
19300419,Philadelpia Phillies,New York Giants,2,3
19300419,Pittsburgh Pirates,St. Louis Cardinals,5,4
19300420,Philadelphia Athletics,Boston Red Sox,5,3
19300420,Cleveland Indians,Detroit Tigers,2,0
19300420,New York Yankees,Washington Senators,3,6
19300420,Boston Braves,Brooklyn Dodgers,7,2
19300420,Chicago Cubs,Cincinnati Reds,4,3
19300420,Philadelpia Phillies,New York Giants,1,2
19300421,St. Louis Browns,Chicago White Sox,2,3
19300421,Cleveland Indians,Detroit Tigers,6,1
19300421,Washington Senators,Philadelphia Athletics,6,3
19300421,Boston Braves,Brooklyn Dodgers,8,15
19300421,Chicago Cubs,Cincinnati Reds,9,1
19300421,Philadelpia Phillies,New York Giants,6,8
19300421,Pittsburgh Pirates,St. Louis Cardinals,6,4
19300422,Chicago White Sox,Cleveland Indians,4,3
19300422,Philadelphia Athletics,New York Yankees,7,6
19300422,Detroit Tigers,St. Louis Browns,4,5
19300422,Boston Red Sox,Washington Senators,3,4
19300422,St. Louis Cardinals,Chicago Cubs,8,3
19300422,Brooklyn Dodgers,Philadelpia Phillies,5,6
19300423,Detroit Tigers,St. Louis Browns,1,5
19300423,St. Louis Cardinals,Chicago Cubs,5,6
19300423,Brooklyn Dodgers,Philadelpia Phillies,15,16
19300424,Detroit Tigers,St. Louis Browns,4,12
19300424,St. Louis Cardinals,Chicago Cubs,9,2
19300425,Detroit Tigers,Cleveland Indians,4,5
19300425,Boston Red Sox,New York Yankees,2,3
19300425,Chicago White Sox,St. Louis Browns,2,4
19300425,Philadelphia Athletics,Washington Senators,4,6
19300425,Brooklyn Dodgers,Boston Braves,5,1
19300425,Cincinnati Reds,Chicago Cubs,5,6
19300425,St. Louis Cardinals,Pittsburgh Pirates,1,6
19300426,Detroit Tigers,Cleveland Indians,4,11
19300426,Boston Red Sox,New York Yankees,3,8
19300426,Chicago White Sox,St. Louis Browns,0,12
19300426,Philadelphia Athletics,Washington Senators,4,8
19300426,Brooklyn Dodgers,Boston Braves,1,2
19300426,Cincinnati Reds,Chicago Cubs,1,0
19300426,New York Giants,Philadelpia Phillies,13,2
19300426,New York Giants,Philadelpia Phillies,7,5
19300426,St. Louis Cardinals,Pittsburgh Pirates,7,9
19300427,Detroit Tigers,Cleveland Indians,7,1
19300427,Boston Red Sox,New York Yankees,8,7
19300427,Philadelphia Athletics,Washington Senators,6,11
19300427,Chicago White Sox,St. Louis Browns,2,1
19300427,New York Giants,Brooklyn Dodgers,10,4
19300427,Philadelpia Phillies,Boston Braves,4,13
19300427,Pittsburgh Pirates,Chicago Cubs,9,5
19300427,St. Louis Cardinals,Cincinnati Reds,10,5
19300428,Philadelphia Athletics,Boston Red Sox,5,4
19300428,Chicago White Sox,Detroit Tigers,9,7
19300428,Cleveland Indians,St. Louis Browns,3,1
19300428,New York Yankees,Washington Senators,5,6
19300428,Pittsburgh Pirates,Chicago Cubs,4,7
19300428,St. Louis Cardinals,Cincinnati Reds,8,3
19300428,Brooklyn Dodgers,New York Giants,6,4
19300428,Boston Braves,Philadelpia Phillies,4,7
19300429,Philadelphia Athletics,Boston Red Sox,9,5
19300429,Chicago White Sox,Detroit Tigers,8,6
19300429,Cleveland Indians,St. Louis Browns,6,4
19300429,New York Yankees,Washington Senators,8,11
19300429,Pittsburgh Pirates,Chicago Cubs,13,9
19300429,Brooklyn Dodgers,New York Giants,19,15
