Date,away_team,home_team,away_team_score,home_team_score
19170411,Cleveland Indians,Detroit Tigers,6,4
19170411,Washington Senators,Philadelphia Athletics,3,0
19170411,Chicago White Sox,St. Louis Browns,7,2
19170411,Boston Red Sox,New York Yankees,10,3
19170411,Philadelpia Phillies,Brooklyn Dodgers,6,5
19170411,Pittsburgh Pirates,Chicago Cubs,3,5
19170411,St. Louis Cardinals,Cincinnati Reds,1,3
19170412,Washington Senators,Philadelphia Athletics,6,2
19170412,Cleveland Indians,Detroit Tigers,2,1
19170412,Boston Red Sox,New York Yankees,6,1
19170412,Pittsburgh Pirates,Chicago Cubs,0,2
19170412,St. Louis Cardinals,Cincinnati Reds,0,1
19170412,New York Giants,Boston Braves,6,4
19170413,Chicago White Sox,St. Louis Browns,3,4
19170413,Pittsburgh Pirates,Chicago Cubs,1,6
19170413,St. Louis Cardinals,Cincinnati Reds,3,2
19170414,Cleveland Indians,Detroit Tigers,2,3
19170414,Washington Senators,Philadelphia Athletics,4,16
19170414,Boston Red Sox,New York Yankees,2,7
19170414,Chicago White Sox,St. Louis Browns,11,0
19170414,Pittsburgh Pirates,Chicago Cubs,4,2
19170414,St. Louis Cardinals,Cincinnati Reds,2,1
19170414,New York Giants,Boston Braves,6,2
19170414,Philadelpia Phillies,Brooklyn Dodgers,11,3
19170415,Chicago White Sox,Detroit Tigers,6,2
19170415,Cleveland Indians,St. Louis Browns,4,0
19170415,Pittsburgh Pirates,Cincinnati Reds,2,5
19170415,St. Louis Cardinals,Chicago Cubs,5,3
19170416,Chicago White Sox,Detroit Tigers,4,0
19170416,Boston Red Sox,Philadelphia Athletics,6,1
19170416,New York Giants,Brooklyn Dodgers,5,0
19170416,Philadelpia Phillies,Boston Braves,1,3
19170416,St. Louis Cardinals,Chicago Cubs,5,1
19170416,Pittsburgh Pirates,Cincinnati Reds,8,4
19170417,Chicago White Sox,Detroit Tigers,4,2
19170417,Boston Red Sox,Philadelphia Athletics,3,1
19170417,Washington Senators,New York Yankees,1,2
19170417,Cleveland Indians,St. Louis Browns,0,4
19170417,Pittsburgh Pirates,Cincinnati Reds,2,3
19170417,New York Giants,Brooklyn Dodgers,8,3
19170418,Boston Red Sox,Philadelphia Athletics,2,0
19170418,Cleveland Indians,St. Louis Browns,2,3
19170418,Washington Senators,New York Yankees,5,7
19170418,St. Louis Cardinals,Chicago Cubs,2,9
19170418,Pittsburgh Pirates,Cincinnati Reds,5,7
19170418,New York Giants,Brooklyn Dodgers,3,4
19170419,St. Louis Browns,Chicago White Sox,6,2
19170419,Boston Red Sox,Philadelphia Athletics,3,4
19170419,Detroit Tigers,Cleveland Indians,7,8
19170419,Washington Senators,New York Yankees,2,3
19170419,Philadelpia Phillies,Boston Braves,3,7
19170419,Philadelpia Phillies,Boston Braves,2,4
19170419,Chicago Cubs,Pittsburgh Pirates,10,3
19170419,New York Giants,Brooklyn Dodgers,9,2
19170419,Cincinnati Reds,St. Louis Cardinals,1,4
19170420,St. Louis Browns,Chicago White Sox,2,5
19170420,Philadelphia Athletics,Washington Senators,6,4
19170420,Detroit Tigers,Cleveland Indians,7,4
19170420,Brooklyn Dodgers,Philadelpia Phillies,3,4
19170420,Chicago Cubs,Pittsburgh Pirates,1,6
19170420,Boston Braves,New York Giants,4,2
19170420,Cincinnati Reds,St. Louis Cardinals,6,7
19170421,St. Louis Browns,Chicago White Sox,0,2
19170421,New York Yankees,Boston Red Sox,4,6
19170421,Detroit Tigers,Cleveland Indians,5,4
19170421,Philadelphia Athletics,Washington Senators,6,11
19170421,Boston Braves,New York Giants,0,2
19170421,Brooklyn Dodgers,Philadelpia Phillies,4,1
19170421,Chicago Cubs,Pittsburgh Pirates,2,1
19170421,Cincinnati Reds,St. Louis Cardinals,2,3
19170422,St. Louis Browns,Chicago White Sox,2,3
19170422,Detroit Tigers,Cleveland Indians,3,4
