Date,away_team,home_team,away_team_score,home_team_score
19120411,St. Louis Browns,Chicago White Sox,2,6
19120411,Detroit Tigers,Cleveland Indians,2,3
19120411,Boston Red Sox,New York Yankees,5,3
19120411,Washington Senators,Philadelphia Athletics,2,4
19120411,Philadelpia Phillies,Boston Braves,4,7
19120411,New York Giants,Brooklyn Dodgers,18,3
19120411,Chicago Cubs,Cincinnati Reds,6,10
19120411,Pittsburgh Pirates,St. Louis Cardinals,0,7
19120412,St. Louis Browns,Chicago White Sox,1,2
19120412,Detroit Tigers,Cleveland Indians,2,4
19120412,Boston Red Sox,New York Yankees,5,2
19120412,Washington Senators,Philadelphia Athletics,1,3
19120412,Philadelpia Phillies,Boston Braves,2,4
19120412,New York Giants,Brooklyn Dodgers,2,4
19120412,Chicago Cubs,Cincinnati Reds,2,3
19120413,St. Louis Browns,Chicago White Sox,2,0
19120413,Detroit Tigers,Cleveland Indians,12,4
19120413,Boston Red Sox,New York Yankees,8,4
19120413,Philadelpia Phillies,Boston Braves,14,2
19120413,New York Giants,Brooklyn Dodgers,2,5
19120413,Pittsburgh Pirates,St. Louis Cardinals,5,6
19120414,St. Louis Browns,Chicago White Sox,4,1
19120414,Detroit Tigers,Cleveland Indians,1,0
19120414,Pittsburgh Pirates,Cincinnati Reds,7,11
19120414,Chicago Cubs,St. Louis Cardinals,4,5
19120415,Detroit Tigers,Chicago White Sox,7,12
19120415,St. Louis Browns,Cleveland Indians,5,8
19120415,Washington Senators,New York Yankees,1,0
19120415,Boston Red Sox,Philadelphia Athletics,1,4
19120415,New York Giants,Boston Braves,0,3
19120415,Philadelpia Phillies,Brooklyn Dodgers,10,6
19120415,Pittsburgh Pirates,Cincinnati Reds,2,3
19120415,Chicago Cubs,St. Louis Cardinals,9,2
19120416,Detroit Tigers,Chicago White Sox,10,1
19120416,St. Louis Browns,Cleveland Indians,8,9
19120416,Washington Senators,New York Yankees,10,3
19120416,Boston Red Sox,Philadelphia Athletics,9,2
19120416,New York Giants,Boston Braves,8,2
19120416,Philadelpia Phillies,Brooklyn Dodgers,4,2
19120416,Pittsburgh Pirates,Cincinnati Reds,8,2
19120416,Chicago Cubs,St. Louis Cardinals,5,20
19120417,New York Giants,Boston Braves,4,1
19120418,Chicago White Sox,St. Louis Browns,12,7
19120418,St. Louis Cardinals,Pittsburgh Pirates,3,4
19120419,Philadelphia Athletics,Washington Senators,0,6
19120419,Brooklyn Dodgers,New York Giants,2,6
19120419,Boston Braves,Philadelpia Phillies,5,9
19120420,New York Yankees,Boston Red Sox,6,7
