Date,away_team,home_team,away_team_score,home_team_score
19670410,New York Yankees,Washington Senators,8,0
19670410,Los Angeles Dodgers,Cincinnati Reds,1,6
19670411,Minensota Twins,Baltimore Orioles,3,6
19670411,Detroit Tigers,California Angels,2,4
19670411,Cleveland Indians,Kansas City Athletics,3,4
19670411,Philadelpia Phillies,Chicago Cubs,2,4
19670411,Atlanta Braves,Houston Colts,1,6
19670411,Pittsburgh Pirates,New York Mets,6,3
19670411,San  Francisco Giants,St. Louis Cardinals,0,6
19670412,Chicago White Sox,Boston Red Sox,4,5
19670412,Detroit Tigers,California Angels,6,3
19670412,New York Yankees,Washington Senators,4,10
19670412,Philadelpia Phillies,Chicago Cubs,5,4
19670412,Atlanta Braves,Houston Colts,2,4
19670413,Minensota Twins,Baltimore Orioles,1,7
19670413,Chicago White Sox,Boston Red Sox,8,5
19670413,San  Francisco Giants,Atlanta Braves,2,0
19670413,Houston Colts,Cincinnati Reds,4,5
19670413,Pittsburgh Pirates,New York Mets,2,3
19670414,Cleveland Indians,California Angels,1,10
19670414,Baltimore Orioles,Kansas City Athletics,7,1
19670414,Detroit Tigers,Minensota Twins,3,5
19670414,Boston Red Sox,New York Yankees,3,0
19670414,San  Francisco Giants,Atlanta Braves,5,6
19670414,Houston Colts,Cincinnati Reds,8,2
19670414,New York Mets,Philadelpia Phillies,1,5
19670414,Chicago Cubs,Pittsburgh Pirates,8,5
19670414,Los Angeles Dodgers,St. Louis Cardinals,4,8
19670415,Cleveland Indians,California Angels,4,1
19670415,Washington Senators,Chicago White Sox,3,1
19670415,Baltimore Orioles,Kansas City Athletics,3,11
19670415,Detroit Tigers,Minensota Twins,4,3
19670415,Boston Red Sox,New York Yankees,0,1
19670415,San  Francisco Giants,Atlanta Braves,3,4
19670415,Houston Colts,Cincinnati Reds,3,7
19670415,New York Mets,Philadelpia Phillies,2,6
19670415,Chicago Cubs,Pittsburgh Pirates,7,3
19670415,Los Angeles Dodgers,St. Louis Cardinals,4,13
19670416,Baltimore Orioles,California Angels,4,5
19670416,Baltimore Orioles,California Angels,3,0
19670416,Washington Senators,Chicago White Sox,3,7
19670416,Washington Senators,Chicago White Sox,3,4
19670416,Detroit Tigers,Kansas City Athletics,6,3
19670416,Detroit Tigers,Kansas City Athletics,7,11
19670416,Cleveland Indians,Minensota Twins,4,3
19670416,Boston Red Sox,New York Yankees,6,7
19670416,Los Angeles Dodgers,Atlanta Braves,1,4
19670416,San  Francisco Giants,Cincinnati Reds,1,4
19670416,San  Francisco Giants,Cincinnati Reds,0,6
19670416,New York Mets,Philadelpia Phillies,0,2
19670416,Chicago Cubs,Pittsburgh Pirates,5,6
