Date,away_team,home_team,away_team_score,home_team_score
19880404,Milwaukee Brewers,Baltimore Orioles,12,0
19880404,Detroit Tigers,Boston Red Sox,5,3
19880404,California Angels,Chicago White Sox,5,8
19880404,Toronto Blue Jays,Kansas City Royals,5,3
19880404,Seattle Mariners,Oakland Athletics,1,4
19880404,Cleveland Indians,Texas Rangers,3,4
19880404,St. Louis Cardinals,Cincinnati Reds,4,5
19880404,San  Francisco Giants,Los Angeles Dodgers,5,1
19880404,New York Mets,Montreal Expos,10,6
19880405,Minensota Twins,New York Yankees,0,8
19880405,Seattle Mariners,Oakland Athletics,0,6
19880405,Chicago Cubs,Atlanta Braves,10,9
19880405,San Diego Padres,Houston Colts,3,6
19880405,San  Francisco Giants,Los Angeles Dodgers,0,5
19880405,Pittsburgh Pirates,Philadelpia Phillies,5,3
19880406,Milwaukee Brewers,Baltimore Orioles,3,1
19880406,Detroit Tigers,Boston Red Sox,5,6
19880406,California Angels,Chicago White Sox,4,2
19880406,Toronto Blue Jays,Kansas City Royals,11,4
19880406,Minensota Twins,New York Yankees,3,5
19880406,Seattle Mariners,Oakland Athletics,6,5
19880406,Cleveland Indians,Texas Rangers,5,1
19880406,Chicago Cubs,Atlanta Braves,3,0
19880406,San Diego Padres,Houston Colts,1,5
19880406,New York Mets,Montreal Expos,1,5
19880406,Pittsburgh Pirates,Philadelpia Phillies,5,6
19880407,Detroit Tigers,Boston Red Sox,11,6
19880407,California Angels,Chicago White Sox,1,2
19880407,Toronto Blue Jays,Kansas City Royals,4,7
19880407,Cleveland Indians,Texas Rangers,4,1
19880407,Los Angeles Dodgers,Atlanta Braves,5,2
19880407,St. Louis Cardinals,Cincinnati Reds,1,8
19880407,New York Mets,Montreal Expos,8,5
19880407,San Diego Padres,San  Francisco Giants,1,6
19880408,Oakland Athletics,California Angels,8,2
19880408,Seattle Mariners,Chicago White Sox,2,3
19880408,Baltimore Orioles,Cleveland Indians,0,3
19880408,Detroit Tigers,Kansas City Royals,2,3
19880408,Toronto Blue Jays,Minensota Twins,3,6
19880408,Milwaukee Brewers,New York Yankees,4,6
19880408,Boston Red Sox,Texas Rangers,4,0
19880408,Los Angeles Dodgers,Atlanta Braves,6,3
19880408,Houston Colts,Cincinnati Reds,8,3
19880408,Chicago Cubs,Montreal Expos,6,4
19880408,New York Mets,Philadelpia Phillies,1,5
19880408,San Diego Padres,San  Francisco Giants,1,5
19880408,Pittsburgh Pirates,St. Louis Cardinals,4,3
19880409,Oakland Athletics,California Angels,8,6
19880409,Seattle Mariners,Chicago White Sox,3,2
19880409,Baltimore Orioles,Cleveland Indians,1,12
19880409,Detroit Tigers,Kansas City Royals,11,4
19880409,Toronto Blue Jays,Minensota Twins,10,0
19880409,Milwaukee Brewers,New York Yankees,1,4
19880409,Boston Red Sox,Texas Rangers,2,1
19880409,Los Angeles Dodgers,Atlanta Braves,11,3
19880409,Houston Colts,Cincinnati Reds,4,5
19880409,Chicago Cubs,Montreal Expos,6,10
19880409,New York Mets,Philadelpia Phillies,3,9
19880409,San Diego Padres,San  Francisco Giants,1,3
19880409,Pittsburgh Pirates,St. Louis Cardinals,0,3
19880410,Oakland Athletics,California Angels,4,6
19880410,Seattle Mariners,Chicago White Sox,7,4
19880410,Baltimore Orioles,Cleveland Indians,3,6
19880410,Detroit Tigers,Kansas City Royals,1,8
19880410,Toronto Blue Jays,Minensota Twins,2,4
19880410,Milwaukee Brewers,New York Yankees,6,7
19880410,Boston Red Sox,Texas Rangers,1,4
19880410,Los Angeles Dodgers,Atlanta Braves,3,1
19880410,Houston Colts,Cincinnati Reds,12,3
19880410,Chicago Cubs,Montreal Expos,10,7
19880410,New York Mets,Philadelpia Phillies,4,3
19880410,San Diego Padres,San  Francisco Giants,6,4
19880410,Pittsburgh Pirates,St. Louis Cardinals,5,3
19880411,Baltimore Orioles,Cleveland Indians,2,7
19880411,New York Yankees,Toronto Blue Jays,9,17
19880411,Philadelpia Phillies,Pittsburgh Pirates,1,5
19880411,Cincinnati Reds,San  Francisco Giants,4,0
19880411,Chicago Cubs,St. Louis Cardinals,6,1
19880412,Kansas City Royals,Baltimore Orioles,6,1
19880412,Milwaukee Brewers,Boston Red Sox,1,3
19880412,Chicago White Sox,California Angels,6,15
19880412,Minensota Twins,Cleveland Indians,7,6
19880412,Texas Rangers,Detroit Tigers,1,4
19880412,Oakland Athletics,Seattle Mariners,4,6
19880412,New York Yankees,Toronto Blue Jays,12,3
19880412,Houston Colts,Atlanta Braves,8,3
19880412,Montreal Expos,New York Mets,0,3
19880412,Los Angeles Dodgers,San Diego Padres,3,5
19880412,Cincinnati Reds,San  Francisco Giants,4,3
19880412,Chicago Cubs,St. Louis Cardinals,5,7
19880413,Kansas City Royals,Baltimore Orioles,9,3
19880413,Milwaukee Brewers,Boston Red Sox,3,6
19880413,Chicago White Sox,California Angels,2,5
19880413,Minensota Twins,Cleveland Indians,3,6
19880413,Oakland Athletics,Seattle Mariners,12,7
19880413,New York Yankees,Toronto Blue Jays,5,1
19880413,Houston Colts,Atlanta Braves,4,0
19880413,Philadelpia Phillies,Pittsburgh Pirates,0,7
19880413,Los Angeles Dodgers,San Diego Padres,4,3
19880413,Cincinnati Reds,San  Francisco Giants,4,5
19880413,Chicago Cubs,St. Louis Cardinals,3,4
19880414,Kansas City Royals,Baltimore Orioles,4,3
19880414,Milwaukee Brewers,Boston Red Sox,0,2
19880414,Minensota Twins,Cleveland Indians,1,3
19880414,Texas Rangers,Detroit Tigers,2,1
19880414,Oakland Athletics,Seattle Mariners,5,4
19880414,New York Yankees,Toronto Blue Jays,7,3
19880414,Cincinnati Reds,Houston Colts,3,9
19880414,Montreal Expos,New York Mets,0,1
19880414,Philadelpia Phillies,Pittsburgh Pirates,2,4
19880414,Los Angeles Dodgers,San Diego Padres,0,2
19880415,Cleveland Indians,Baltimore Orioles,3,2
19880415,Texas Rangers,Boston Red Sox,3,2
19880415,New York Yankees,Milwaukee Brewers,7,1
19880415,Chicago White Sox,Oakland Athletics,11,3
19880415,California Angels,Seattle Mariners,5,3
19880415,Pittsburgh Pirates,Chicago Cubs,0,6
19880415,Cincinnati Reds,Houston Colts,4,2
19880415,Atlanta Braves,Los Angeles Dodgers,2,3
19880415,Philadelpia Phillies,Montreal Expos,4,6
19880415,St. Louis Cardinals,New York Mets,0,3
19880415,San  Francisco Giants,San Diego Padres,8,3
19880416,Cleveland Indians,Baltimore Orioles,1,0
19880416,Texas Rangers,Boston Red Sox,2,0
19880416,Kansas City Royals,Detroit Tigers,2,4
19880416,New York Yankees,Milwaukee Brewers,2,9
19880416,Chicago White Sox,Oakland Athletics,5,1
19880416,California Angels,Seattle Mariners,6,7
19880416,Minensota Twins,Toronto Blue Jays,3,2
19880416,Pittsburgh Pirates,Chicago Cubs,4,0
19880416,Cincinnati Reds,Houston Colts,8,2
19880416,Atlanta Braves,Los Angeles Dodgers,4,7
19880416,Philadelpia Phillies,Montreal Expos,1,2
19880416,St. Louis Cardinals,New York Mets,4,6
19880416,San  Francisco Giants,San Diego Padres,1,2
19880417,Cleveland Indians,Baltimore Orioles,4,1
19880417,Texas Rangers,Boston Red Sox,2,15
19880417,Kansas City Royals,Detroit Tigers,6,8
19880417,New York Yankees,Milwaukee Brewers,3,6
19880417,Chicago White Sox,Oakland Athletics,7,6
19880417,California Angels,Seattle Mariners,7,4
19880417,Minensota Twins,Toronto Blue Jays,0,2
19880417,Pittsburgh Pirates,Chicago Cubs,12,7
19880417,Cincinnati Reds,Houston Colts,3,5
19880417,Atlanta Braves,Los Angeles Dodgers,3,1
19880417,Philadelpia Phillies,Montreal Expos,2,5
19880417,St. Louis Cardinals,New York Mets,2,3
19880417,San  Francisco Giants,San Diego Padres,9,4
19880418,Texas Rangers,Boston Red Sox,3,4
19880418,Kansas City Royals,Detroit Tigers,2,4
19880418,New York Yankees,Minensota Twins,18,5
19880418,California Angels,Oakland Athletics,4,5
19880418,Chicago White Sox,Seattle Mariners,4,0
19880418,San  Francisco Giants,Cincinnati Reds,6,3
19880418,San Diego Padres,Los Angeles Dodgers,0,6
19880418,Philadelpia Phillies,New York Mets,10,7
19880419,Texas Rangers,Cleveland Indians,3,0
19880419,Boston Red Sox,Detroit Tigers,7,3
19880419,Baltimore Orioles,Milwaukee Brewers,5,9
19880419,New York Yankees,Minensota Twins,7,6
19880419,California Angels,Oakland Athletics,3,8
19880419,Chicago White Sox,Seattle Mariners,7,2
19880419,Kansas City Royals,Toronto Blue Jays,3,12
19880419,Montreal Expos,Chicago Cubs,9,1
19880419,San  Francisco Giants,Cincinnati Reds,0,8
19880419,Atlanta Braves,Houston Colts,5,4
19880419,Philadelpia Phillies,New York Mets,10,2
19880419,St. Louis Cardinals,Pittsburgh Pirates,0,3
19880420,Texas Rangers,Cleveland Indians,1,2
19880420,Baltimore Orioles,Milwaukee Brewers,6,8
19880420,New York Yankees,Minensota Twins,7,6
19880420,California Angels,Oakland Athletics,8,9
19880420,Chicago White Sox,Seattle Mariners,4,5
19880420,Kansas City Royals,Toronto Blue Jays,0,3
19880420,Montreal Expos,Chicago Cubs,5,1
19880420,San  Francisco Giants,Cincinnati Reds,5,3
19880420,Atlanta Braves,Houston Colts,0,1
19880420,Philadelpia Phillies,New York Mets,2,6
19880420,St. Louis Cardinals,Pittsburgh Pirates,1,8
19880421,Seattle Mariners,California Angels,6,11
19880421,Oakland Athletics,Chicago White Sox,6,3
19880421,Boston Red Sox,Detroit Tigers,12,3
19880421,Baltimore Orioles,Milwaukee Brewers,1,7
19880421,Montreal Expos,Chicago Cubs,2,6
19880421,San  Francisco Giants,Cincinnati Reds,6,7
19880421,Atlanta Braves,Houston Colts,0,8
19880421,St. Louis Cardinals,Pittsburgh Pirates,9,3
19880422,Seattle Mariners,California Angels,7,4
19880422,Oakland Athletics,Chicago White Sox,5,7
19880422,Baltimore Orioles,Kansas City Royals,1,13
19880422,Cleveland Indians,Minensota Twins,11,6
19880422,Toronto Blue Jays,New York Yankees,6,4
19880422,Detroit Tigers,Texas Rangers,5,3
19880422,Cincinnati Reds,Atlanta Braves,4,0
19880422,Montreal Expos,Philadelpia Phillies,0,2
19880422,Chicago Cubs,Pittsburgh Pirates,4,8
19880422,Houston Colts,San Diego Padres,1,3
19880422,New York Mets,St. Louis Cardinals,4,0
19880423,Seattle Mariners,California Angels,11,4
19880423,Oakland Athletics,Chicago White Sox,3,2
19880423,Baltimore Orioles,Kansas City Royals,3,4
19880423,Cleveland Indians,Minensota Twins,10,2
19880423,Toronto Blue Jays,New York Yankees,3,2
19880423,Detroit Tigers,Texas Rangers,7,6
19880423,Montreal Expos,Philadelpia Phillies,3,3
19880423,Chicago Cubs,Pittsburgh Pirates,4,5
19880423,Houston Colts,San Diego Padres,0,4
19880423,Los Angeles Dodgers,San  Francisco Giants,10,3
19880423,New York Mets,St. Louis Cardinals,12,9
19880424,Seattle Mariners,California Angels,4,2
19880424,Oakland Athletics,Chicago White Sox,5,3
19880424,Baltimore Orioles,Kansas City Royals,1,3
19880424,Boston Red Sox,Milwaukee Brewers,4,0
19880424,Cleveland Indians,Minensota Twins,7,13
19880424,Toronto Blue Jays,New York Yankees,3,5
19880424,Detroit Tigers,Texas Rangers,2,4
19880424,Cincinnati Reds,Atlanta Braves,1,4
19880424,Montreal Expos,Philadelpia Phillies,3,1
19880424,Chicago Cubs,Pittsburgh Pirates,2,4
19880424,Houston Colts,San Diego Padres,0,3
19880424,Los Angeles Dodgers,San  Francisco Giants,4,0
19880424,New York Mets,St. Louis Cardinals,4,5
19880425,Boston Red Sox,Milwaukee Brewers,5,1
19880426,Seattle Mariners,Cleveland Indians,6,12
19880426,California Angels,Detroit Tigers,0,6
19880426,Baltimore Orioles,Minensota Twins,2,4
19880426,Kansas City Royals,New York Yankees,4,5
19880426,Milwaukee Brewers,Texas Rangers,1,3
19880426,Oakland Athletics,Toronto Blue Jays,6,1
19880426,New York Mets,Atlanta Braves,13,4
19880426,Philadelpia Phillies,Houston Colts,1,3
19880426,Chicago Cubs,Los Angeles Dodgers,7,3
19880426,Cincinnati Reds,Montreal Expos,5,2
19880426,St. Louis Cardinals,San Diego Padres,0,1
19880426,Pittsburgh Pirates,San  Francisco Giants,2,0
19880427,Seattle Mariners,Cleveland Indians,4,6
19880427,California Angels,Detroit Tigers,4,3
19880427,Baltimore Orioles,Minensota Twins,6,7
19880427,Kansas City Royals,New York Yankees,3,1
19880427,Milwaukee Brewers,Texas Rangers,4,3
19880427,Oakland Athletics,Toronto Blue Jays,5,3
19880427,New York Mets,Atlanta Braves,5,2
