Date,away_team,home_team,away_team_score,home_team_score
19210413,Philadelphia Athletics,New York Yankees,1,11
19210413,Cleveland Indians,St. Louis Browns,2,4
19210413,Boston Red Sox,Washington Senators,6,3
19210413,Brooklyn Dodgers,Boston Braves,5,4
19210413,St. Louis Cardinals,Chicago Cubs,2,5
19210413,Pittsburgh Pirates,Cincinnati Reds,3,5
19210413,New York Giants,Philadelpia Phillies,10,8
19210414,Chicago White Sox,Detroit Tigers,5,6
19210414,Philadelphia Athletics,New York Yankees,4,3
19210414,Cleveland Indians,St. Louis Browns,12,9
19210414,Boston Red Sox,Washington Senators,2,8
19210414,Brooklyn Dodgers,Boston Braves,4,11
19210414,Pittsburgh Pirates,Cincinnati Reds,7,2
19210414,New York Giants,Philadelpia Phillies,10,2
19210415,Chicago White Sox,Detroit Tigers,3,2
19210415,Cleveland Indians,St. Louis Browns,10,4
19210415,Boston Red Sox,Washington Senators,1,7
19210415,Brooklyn Dodgers,Boston Braves,5,6
19210415,St. Louis Cardinals,Chicago Cubs,4,11
19210415,Pittsburgh Pirates,Cincinnati Reds,3,1
19210416,Philadelphia Athletics,New York Yankees,1,3
19210416,Cleveland Indians,St. Louis Browns,6,7
19210416,Boston Red Sox,Washington Senators,8,3
19210416,Brooklyn Dodgers,Boston Braves,1,7
19210416,Pittsburgh Pirates,Cincinnati Reds,7,3
19210416,New York Giants,Philadelpia Phillies,5,11
19210417,Boston Red Sox,New York Yankees,0,4
19210417,Philadelphia Athletics,Washington Senators,1,3
19210417,Boston Braves,Brooklyn Dodgers,4,2
19210418,Chicago White Sox,St. Louis Browns,2,3
19210418,Pittsburgh Pirates,Chicago Cubs,4,7
19210418,St. Louis Cardinals,Cincinnati Reds,0,4
19210419,Cleveland Indians,Detroit Tigers,12,3
19210419,Chicago White Sox,St. Louis Browns,1,4
19210419,Philadelphia Athletics,Washington Senators,6,14
19210419,New York Giants,Boston Braves,9,1
19210419,Pittsburgh Pirates,Chicago Cubs,14,2
19210419,St. Louis Cardinals,Cincinnati Reds,6,1
19210419,Brooklyn Dodgers,Philadelpia Phillies,2,3
19210420,Cleveland Indians,Detroit Tigers,6,9
19210420,Boston Red Sox,New York Yankees,4,8
19210420,Philadelphia Athletics,Washington Senators,4,6
19210420,New York Giants,Boston Braves,9,5
19210420,Pittsburgh Pirates,Chicago Cubs,6,5
19210420,St. Louis Cardinals,Cincinnati Reds,4,5
19210420,Brooklyn Dodgers,Philadelpia Phillies,4,2
19210421,Detroit Tigers,Chicago White Sox,3,8
19210421,St. Louis Browns,Cleveland Indians,3,4
19210421,New York Yankees,Philadelphia Athletics,6,1
19210421,Washington Senators,Boston Red Sox,0,1
19210421,Boston Braves,Brooklyn Dodgers,2,4
19210421,Philadelpia Phillies,New York Giants,6,5
19210421,Cincinnati Reds,Pittsburgh Pirates,7,8
19210422,St. Louis Browns,Cleveland Indians,7,8
19210422,New York Yankees,Philadelphia Athletics,4,11
19210422,Boston Braves,Brooklyn Dodgers,2,4
19210422,Philadelpia Phillies,New York Giants,1,2
19210422,Cincinnati Reds,Pittsburgh Pirates,1,6
19210423,Detroit Tigers,Chicago White Sox,2,3
19210423,St. Louis Browns,Cleveland Indians,2,6
19210423,Cincinnati Reds,Pittsburgh Pirates,5,4
19210423,Chicago Cubs,St. Louis Cardinals,5,1
19210424,St. Louis Browns,Cleveland Indians,5,6
19210424,Detroit Tigers,Chicago White Sox,7,3
19210424,New York Yankees,Washington Senators,1,3
19210424,Boston Braves,Brooklyn Dodgers,6,12
19210424,Pittsburgh Pirates,Cincinnati Reds,7,2
19210424,Philadelpia Phillies,New York Giants,0,1
19210424,Chicago Cubs,St. Louis Cardinals,8,7
19210425,Philadelphia Athletics,Boston Red Sox,2,3
19210425,Detroit Tigers,Cleveland Indians,3,5
19210425,Washington Senators,New York Yankees,5,3
19210425,New York Giants,Brooklyn Dodgers,1,4
19210425,Chicago Cubs,Cincinnati Reds,3,2
19210425,Boston Braves,Philadelpia Phillies,6,7
19210425,Pittsburgh Pirates,St. Louis Cardinals,6,5
19210426,Philadelphia Athletics,Boston Red Sox,2,1
19210426,St. Louis Browns,Chicago White Sox,3,1
19210426,Detroit Tigers,Cleveland Indians,8,9
19210426,Washington Senators,New York Yankees,5,4
19210426,New York Giants,Brooklyn Dodgers,1,3
19210426,Chicago Cubs,Cincinnati Reds,3,5
19210426,Boston Braves,Philadelpia Phillies,10,6
19210427,Detroit Tigers,Cleveland Indians,5,2
19210427,Washington Senators,New York Yankees,5,3
19210427,New York Giants,Brooklyn Dodgers,4,5
19210427,Chicago Cubs,Cincinnati Reds,1,2
19210427,Boston Braves,Philadelpia Phillies,5,2
19210427,Pittsburgh Pirates,St. Louis Cardinals,7,4
19210428,Philadelphia Athletics,Boston Red Sox,2,6
19210428,Detroit Tigers,Cleveland Indians,5,18
19210428,Washington Senators,New York Yankees,5,9
19210428,New York Giants,Brooklyn Dodgers,1,2
19210428,Boston Braves,Philadelpia Phillies,6,11
19210429,Cleveland Indians,Chicago White Sox,0,1
19210429,St. Louis Browns,Detroit Tigers,3,5
19210429,Washington Senators,Philadelphia Athletics,3,3
19210429,Chicago Cubs,Pittsburgh Pirates,0,3
19210429,Cincinnati Reds,St. Louis Cardinals,7,3
19210430,Cleveland Indians,Chicago White Sox,4,3
19210430,St. Louis Browns,Detroit Tigers,5,7
19210430,Washington Senators,Philadelphia Athletics,6,5
19210430,Philadelpia Phillies,Brooklyn Dodgers,2,3
19210430,Boston Braves,New York Giants,4,9
19210430,Cincinnati Reds,St. Louis Cardinals,1,3
19210501,Cleveland Indians,Chicago White Sox,5,1
19210501,St. Louis Browns,Detroit Tigers,1,2
19210501,Philadelphia Athletics,Washington Senators,5,1
19210501,Philadelpia Phillies,Brooklyn Dodgers,0,3
19210501,Pittsburgh Pirates,Chicago Cubs,2,0
19210501,Boston Braves,New York Giants,2,7
