Date,away_team,home_team,away_team_score,home_team_score
19420414,Philadelphia Athletics,Boston Red Sox,3,8
19420414,St. Louis Browns,Chicago White Sox,3,0
19420414,Cleveland Indians,Detroit Tigers,5,2
19420414,New York Yankees,Washington Senators,7,0
19420414,Pittsburgh Pirates,Cincinnati Reds,4,2
19420414,Brooklyn Dodgers,New York Giants,7,5
19420414,Boston Braves,Philadelpia Phillies,2,1
19420414,Chicago Cubs,St. Louis Cardinals,5,4
19420415,St. Louis Browns,Chicago White Sox,6,5
19420415,Cleveland Indians,Detroit Tigers,2,6
19420415,New York Yankees,Washington Senators,9,3
19420415,Philadelphia Athletics,Boston Red Sox,1,3
19420415,Pittsburgh Pirates,Cincinnati Reds,6,2
19420415,Brooklyn Dodgers,New York Giants,4,6
19420415,Chicago Cubs,St. Louis Cardinals,2,4
19420415,Boston Braves,Philadelpia Phillies,6,2
19420416,St. Louis Browns,Chicago White Sox,13,3
19420416,Cleveland Indians,Detroit Tigers,4,5
19420416,New York Yankees,Washington Senators,8,5
19420416,Philadelphia Athletics,Boston Red Sox,4,19
19420416,Pittsburgh Pirates,Cincinnati Reds,7,8
19420416,Brooklyn Dodgers,New York Giants,4,2
19420416,Boston Braves,Philadelpia Phillies,2,1
19420416,Chicago Cubs,St. Louis Cardinals,6,11
19420417,Chicago White Sox,Cleveland Indians,1,0
19420417,Boston Red Sox,New York Yankees,0,1
19420417,Washington Senators,Philadelphia Athletics,4,5
19420417,Detroit Tigers,St. Louis Browns,6,7
19420417,Philadelpia Phillies,Brooklyn Dodgers,1,7
19420417,New York Giants,Boston Braves,3,4
19420417,Cincinnati Reds,Chicago Cubs,2,3
19420417,St. Louis Cardinals,Pittsburgh Pirates,2,3
19420418,Chicago White Sox,Cleveland Indians,0,1
19420418,Boston Red Sox,New York Yankees,5,1
19420418,Washington Senators,Philadelphia Athletics,10,6
19420418,Detroit Tigers,St. Louis Browns,4,0
19420418,Philadelpia Phillies,Brooklyn Dodgers,2,1
19420418,New York Giants,Boston Braves,8,5
19420418,St. Louis Cardinals,Pittsburgh Pirates,0,3
19420419,Boston Red Sox,New York Yankees,5,2
19420419,Washington Senators,Philadelphia Athletics,1,5
19420419,Washington Senators,Philadelphia Athletics,5,4
19420419,Detroit Tigers,St. Louis Browns,1,2
19420419,Detroit Tigers,St. Louis Browns,1,0
19420419,Philadelpia Phillies,Brooklyn Dodgers,2,6
19420419,New York Giants,Boston Braves,5,2
19420419,Cincinnati Reds,Chicago Cubs,2,1
19420419,St. Louis Cardinals,Pittsburgh Pirates,3,2
19420420,Washington Senators,Boston Red Sox,10,4
19420420,Detroit Tigers,Chicago White Sox,1,3
19420420,St. Louis Browns,Cleveland Indians,3,4
19420420,Boston Braves,Brooklyn Dodgers,2,9
19420420,Philadelpia Phillies,New York Giants,6,3
19420420,Chicago Cubs,Pittsburgh Pirates,8,2
19420421,Detroit Tigers,Chicago White Sox,4,2
19420421,St. Louis Browns,Cleveland Indians,2,4
19420421,New York Yankees,Philadelphia Athletics,10,4
19420421,Boston Braves,Brooklyn Dodgers,2,13
19420421,Chicago Cubs,Pittsburgh Pirates,2,5
19420421,Cincinnati Reds,St. Louis Cardinals,0,8
19420422,Detroit Tigers,Chicago White Sox,1,3
19420422,St. Louis Browns,Cleveland Indians,2,3
19420422,Philadelphia Athletics,New York Yankees,5,11
19420422,Boston Red Sox,Washington Senators,13,4
19420422,Brooklyn Dodgers,Boston Braves,4,0
19420422,New York Giants,Philadelpia Phillies,3,0
19420422,Chicago Cubs,Pittsburgh Pirates,1,9
19420422,Cincinnati Reds,St. Louis Cardinals,1,6
19420423,Chicago White Sox,Detroit Tigers,0,9
19420423,Philadelphia Athletics,New York Yankees,4,6
19420423,Cleveland Indians,St. Louis Browns,9,2
19420423,Boston Red Sox,Washington Senators,5,10
19420423,Brooklyn Dodgers,Boston Braves,9,5
19420423,St. Louis Cardinals,Chicago Cubs,1,2
19420423,New York Giants,Philadelpia Phillies,5,2
19420423,Cincinnati Reds,Pittsburgh Pirates,5,3
19420424,New York Yankees,Boston Red Sox,8,5
19420424,Chicago White Sox,Detroit Tigers,1,2
19420424,Cleveland Indians,St. Louis Browns,2,0
19420424,Philadelphia Athletics,Washington Senators,7,2
19420424,Boston Braves,New York Giants,1,3
19420424,Brooklyn Dodgers,Philadelpia Phillies,2,4
19420424,Cincinnati Reds,Pittsburgh Pirates,9,5
19420424,St. Louis Cardinals,Chicago Cubs,3,4
19420425,New York Yankees,Boston Red Sox,2,4
19420425,Cleveland Indians,Chicago White Sox,5,4
19420425,St. Louis Browns,Detroit Tigers,2,4
19420425,Philadelphia Athletics,Washington Senators,7,10
19420425,Chicago Cubs,Cincinnati Reds,5,4
19420425,Boston Braves,New York Giants,1,5
19420425,Brooklyn Dodgers,Philadelpia Phillies,4,1
19420426,New York Yankees,Boston Red Sox,7,2
19420426,Cleveland Indians,Chicago White Sox,3,2
19420426,St. Louis Browns,Detroit Tigers,5,10
19420426,St. Louis Browns,Detroit Tigers,5,7
19420426,Philadelphia Athletics,Washington Senators,6,1
19420426,Philadelphia Athletics,Washington Senators,6,3
19420426,Chicago Cubs,Cincinnati Reds,5,9
19420426,Boston Braves,New York Giants,3,2
19420426,Brooklyn Dodgers,Philadelpia Phillies,3,1
19420426,Brooklyn Dodgers,Philadelpia Phillies,10,2
19420426,Pittsburgh Pirates,St. Louis Cardinals,2,0
19420426,Pittsburgh Pirates,St. Louis Cardinals,4,4
19420426,Boston Braves,New York Giants,8,5
19420427,Chicago Cubs,Cincinnati Reds,4,3
19420428,Detroit Tigers,Boston Red Sox,1,6
19420428,St. Louis Browns,New York Yankees,3,1
19420428,Cleveland Indians,Philadelphia Athletics,6,4
19420428,Chicago White Sox,Washington Senators,3,4
19420428,Boston Braves,Chicago Cubs,6,3
