Date,away_team,home_team,away_team_score,home_team_score
19510416,Pittsburgh Pirates,Cincinnati Reds,4,3
19510417,Cleveland Indians,Detroit Tigers,2,1
19510417,Boston Red Sox,New York Yankees,0,5
19510417,Washington Senators,Philadelphia Athletics,6,1
19510417,Chicago White Sox,St. Louis Browns,17,3
19510417,Philadelpia Phillies,Brooklyn Dodgers,5,2
19510417,New York Giants,Boston Braves,4,0
19510417,Cincinnati Reds,Chicago Cubs,3,8
19510417,St. Louis Cardinals,Pittsburgh Pirates,4,5
19510418,Cleveland Indians,Detroit Tigers,4,2
19510418,Boston Red Sox,New York Yankees,1,6
19510418,Washington Senators,Philadelphia Athletics,6,4
19510418,Philadelpia Phillies,Brooklyn Dodgers,3,4
19510418,New York Giants,Boston Braves,5,8
19510419,Chicago White Sox,St. Louis Browns,13,5
19510419,New York Giants,Boston Braves,4,2
19510419,New York Giants,Boston Braves,12,13
19510419,Cincinnati Reds,Chicago Cubs,0,3
19510420,Philadelphia Athletics,Boston Red Sox,6,3
19510420,Detroit Tigers,Chicago White Sox,0,5
19510420,St. Louis Browns,Cleveland Indians,1,4
19510420,New York Yankees,Washington Senators,3,5
19510420,New York Yankees,Washington Senators,4,8
19510420,Brooklyn Dodgers,New York Giants,7,3
19510420,Boston Braves,Philadelpia Phillies,2,1
19510420,Chicago Cubs,St. Louis Cardinals,1,5
19510421,Philadelphia Athletics,Boston Red Sox,3,6
19510421,Detroit Tigers,Chicago White Sox,7,6
19510421,St. Louis Browns,Cleveland Indians,9,1
19510421,New York Yankees,Washington Senators,8,7
19510421,Pittsburgh Pirates,Cincinnati Reds,3,8
19510421,Brooklyn Dodgers,New York Giants,7,3
19510421,Boston Braves,Philadelpia Phillies,8,6
19510422,Philadelphia Athletics,Boston Red Sox,5,6
19510422,Philadelphia Athletics,Boston Red Sox,4,7
19510422,Detroit Tigers,Chicago White Sox,2,3
19510422,St. Louis Browns,Cleveland Indians,3,10
19510422,St. Louis Browns,Cleveland Indians,3,4
19510422,Pittsburgh Pirates,Cincinnati Reds,7,5
19510422,Brooklyn Dodgers,New York Giants,4,3
19510422,Boston Braves,Philadelpia Phillies,5,6
19510422,Chicago Cubs,St. Louis Cardinals,10,5
