Date,away_team,home_team,away_team_score,home_team_score
19980331,Kansas City Royals,Baltimore Orioles,4,1
19980331,Cleveland Indians,Seattle Mariners,10,9
19980331,Detroit Tigers,Tampa Bay Devil Rays,11,6
19980331,Chicago White Sox,Texas Rangers,9,2
19980331,Colorado Rockies,Arizona Diamondbacks,9,2
19980331,Milwaukee Brewers,Atlanta Braves,1,2
19980331,San Diego Padres,Cincinnati Reds,10,2
19980331,Chicago Cubs,Florida Marlins,6,11
19980331,San  Francisco Giants,Houston Colts,9,4
19980331,Philadelpia Phillies,New York Mets,0,1
19980331,Los Angeles Dodgers,St. Louis Cardinals,0,6
19980401,New York Yankees,Anaheim Angels,1,4
19980401,Kansas City Royals,Baltimore Orioles,1,10
19980401,Boston Red Sox,Oakland Athletics,2,0
19980401,Cleveland Indians,Seattle Mariners,9,7
19980401,Detroit Tigers,Tampa Bay Devil Rays,8,11
19980401,Minensota Twins,Toronto Blue Jays,2,3
19980401,Colorado Rockies,Arizona Diamondbacks,6,0
19980401,San Diego Padres,Cincinnati Reds,10,9
19980401,Chicago Cubs,Florida Marlins,10,3
19980401,San  Francisco Giants,Houston Colts,6,7
19980401,Pittsburgh Pirates,Montreal Expos,4,0
19980402,New York Yankees,Anaheim Angels,2,10
19980402,Kansas City Royals,Baltimore Orioles,3,4
19980402,Boston Red Sox,Oakland Athletics,6,3
19980402,Detroit Tigers,Tampa Bay Devil Rays,1,7
19980402,Chicago White Sox,Texas Rangers,4,20
19980402,Minensota Twins,Toronto Blue Jays,3,2
19980402,Colorado Rockies,Arizona Diamondbacks,6,4
19980402,Milwaukee Brewers,Atlanta Braves,8,6
19980402,San Diego Padres,Cincinnati Reds,1,5
19980402,Chicago Cubs,Florida Marlins,8,7
19980402,San  Francisco Giants,Houston Colts,9,2
19980402,Pittsburgh Pirates,Montreal Expos,4,3
19980402,Philadelpia Phillies,New York Mets,6,5
19980402,Los Angeles Dodgers,St. Louis Cardinals,5,8
19980403,Cleveland Indians,Anaheim Angels,6,2
19980403,Detroit Tigers,Baltimore Orioles,2,10
19980403,Kansas City Royals,Minensota Twins,9,5
19980403,Boston Red Sox,Seattle Mariners,6,11
19980403,Chicago White Sox,Tampa Bay Devil Rays,10,4
19980403,Texas Rangers,Toronto Blue Jays,5,0
19980403,San  Francisco Giants,Arizona Diamondbacks,8,3
19980403,Philadelpia Phillies,Atlanta Braves,1,5
19980403,Montreal Expos,Chicago Cubs,2,6
19980403,Los Angeles Dodgers,Cincinnati Reds,3,6
19980403,Milwaukee Brewers,Florida Marlins,7,1
19980403,Colorado Rockies,Houston Colts,2,15
19980403,Pittsburgh Pirates,New York Mets,1,2
19980403,San Diego Padres,St. Louis Cardinals,13,5
19980404,Cleveland Indians,Anaheim Angels,11,0
19980404,Detroit Tigers,Baltimore Orioles,1,2
19980404,Kansas City Royals,Minensota Twins,3,2
19980404,New York Yankees,Oakland Athletics,3,7
19980404,Boston Red Sox,Seattle Mariners,6,12
19980404,Chicago White Sox,Tampa Bay Devil Rays,2,8
19980404,Texas Rangers,Toronto Blue Jays,2,9
19980404,San  Francisco Giants,Arizona Diamondbacks,5,3
19980404,Philadelpia Phillies,Atlanta Braves,4,5
19980404,Montreal Expos,Chicago Cubs,1,3
19980404,Los Angeles Dodgers,Cincinnati Reds,1,3
19980404,Milwaukee Brewers,Florida Marlins,6,2
19980404,Colorado Rockies,Houston Colts,5,3
19980404,Pittsburgh Pirates,New York Mets,6,7
19980404,San Diego Padres,St. Louis Cardinals,6,8
19980405,Cleveland Indians,Anaheim Angels,6,4
19980405,Detroit Tigers,Baltimore Orioles,3,6
19980405,Kansas City Royals,Minensota Twins,1,10
19980405,New York Yankees,Oakland Athletics,9,7
19980405,Boston Red Sox,Seattle Mariners,10,5
19980405,Chicago White Sox,Tampa Bay Devil Rays,0,5
19980405,Texas Rangers,Toronto Blue Jays,6,5
19980405,San  Francisco Giants,Arizona Diamondbacks,2,3
19980405,Philadelpia Phillies,Atlanta Braves,2,1
19980405,Montreal Expos,Chicago Cubs,2,7
19980405,Los Angeles Dodgers,Cincinnati Reds,1,0
19980405,Milwaukee Brewers,Florida Marlins,5,2
19980405,Colorado Rockies,Houston Colts,2,6
19980405,Pittsburgh Pirates,New York Mets,0,7
19980405,San Diego Padres,St. Louis Cardinals,8,7
19980406,Boston Red Sox,Anaheim Angels,1,2
19980406,Texas Rangers,Chicago White Sox,4,5
19980406,Cleveland Indians,Oakland Athletics,6,5
19980406,New York Yankees,Seattle Mariners,0,8
19980406,Montreal Expos,Chicago Cubs,2,3
19980406,Milwaukee Brewers,Florida Marlins,8,5
19980406,Colorado Rockies,Houston Colts,4,13
19980406,Pittsburgh Pirates,New York Mets,4,2
19980407,Boston Red Sox,Anaheim Angels,1,6
19980407,Tampa Bay Devil Rays,Detroit Tigers,1,3
19980407,Baltimore Orioles,Kansas City Royals,11,7
19980407,Toronto Blue Jays,Minensota Twins,2,12
19980407,New York Yankees,Seattle Mariners,13,7
19980407,New York Mets,Chicago Cubs,3,2
19980407,St. Louis Cardinals,Colorado Rockies,12,11
19980407,Arizona Diamondbacks,Los Angeles Dodgers,1,9
19980407,Montreal Expos,Milwaukee Brewers,4,6
19980407,Florida Marlins,Philadelpia Phillies,8,9
19980407,Atlanta Braves,Pittsburgh Pirates,11,3
19980407,Cincinnati Reds,San Diego Padres,2,3
19980407,Houston Colts,San  Francisco Giants,4,5
19980408,Boston Red Sox,Anaheim Angels,1,2
19980408,Toronto Blue Jays,Minensota Twins,9,6
19980408,Cleveland Indians,Oakland Athletics,1,3
19980408,New York Yankees,Seattle Mariners,4,3
19980408,St. Louis Cardinals,Colorado Rockies,13,9
19980408,Arizona Diamondbacks,Los Angeles Dodgers,3,0
19980408,Florida Marlins,Philadelpia Phillies,5,9
19980408,Atlanta Braves,Pittsburgh Pirates,3,5
19980408,Cincinnati Reds,San Diego Padres,3,6
19980408,Houston Colts,San  Francisco Giants,6,3
19980409,Texas Rangers,Chicago White Sox,11,0
19980409,Baltimore Orioles,Kansas City Royals,2,1
19980409,Toronto Blue Jays,Minensota Twins,2,13
19980409,New York Mets,Chicago Cubs,7,8
19980409,St. Louis Cardinals,Colorado Rockies,7,5
19980409,Arizona Diamondbacks,Los Angeles Dodgers,2,7
19980409,Montreal Expos,Milwaukee Brewers,6,5
19980409,Atlanta Braves,Pittsburgh Pirates,4,3
19980409,Cincinnati Reds,San Diego Padres,2,6
19980409,Houston Colts,San  Francisco Giants,3,1
19980410,Seattle Mariners,Boston Red Sox,7,9
19980410,Tampa Bay Devil Rays,Chicago White Sox,0,3
19980410,Anaheim Angels,Cleveland Indians,5,8
